event,episode,gradient_step,loss,td_error,epsilon,reward,episode_nodes,episode_solving_time,validation_nodes,validation_time,replay_size,q_value_mean,q_value_std,selected_candidate_rank,forward_time,cpu_memory_mb,gpu_memory_mb,status,instance
train_update,0,4,2.8420066833496094,3.2518672943115234,1.0,,,,,,4,-43.301429748535156,0.0057525634765625,111.0,0.09243792300549103,1500.71875,64.85595703125,,data/instances/train/real_06.cip
train_update,0,8,2.750807762145996,3.6488895416259766,0.8875,,,,,,5,-42.900264739990234,0.19037628173828125,1.0,0.09084687299764482,1515.01171875,64.85595703125,,data/instances/train/real_06.cip
train_update,0,12,2.710304021835327,3.9053001403808594,0.775,,,,,,6,-42.569915771484375,0.3481712341308594,1.0,0.09240958000009414,1519.56640625,64.85595703125,,data/instances/train/real_06.cip
train_update,0,16,2.6545050144195557,4.39140510559082,0.6625,,,,,,7,-41.967132568359375,0.3370704650878906,131.0,0.09849206599756144,1524.60546875,64.85595703125,,data/instances/train/real_06.cip
train_update,0,20,2.5907111167907715,4.677490234375,0.55,,,,,,8,-41.47711944580078,0.4839038848876953,98.0,0.09511720499722287,1528.734375,64.85595703125,,data/instances/train/real_06.cip
train_update,0,24,2.3276662826538086,5.15953254699707,0.4375,,,,,,9,-40.746498107910156,1.4967670440673828,1.0,0.09127954400173621,1533.09765625,64.85595703125,,data/instances/train/real_06.cip
train_update,0,28,2.65275239944458,3.357053756713867,0.32499999999999996,,,,,,10,-42.47344207763672,0.4895343780517578,108.0,0.08582698400277877,1537.8984375,64.85595703125,,data/instances/train/real_06.cip
train_update,0,32,2.09275221824646,6.173946380615234,0.21250000000000002,,,,,,11,-38.76203155517578,2.9540576934814453,1.0,0.0987946879977244,1542.3984375,64.85595703125,,data/instances/train/real_06.cip
train_update,0,36,2.1316075325012207,7.24897575378418,0.09999999999999998,,,,,,12,-37.13344955444336,0.6786231994628906,1.0,0.09553231800236972,1547.65234375,64.85595703125,,data/instances/train/real_06.cip
train_update,0,40,1.9121696949005127,7.501405715942383,0.09999999999999998,,,,,,13,-35.992401123046875,1.2648906707763672,1.0,0.09900607999588829,1552.15234375,64.85595703125,,data/instances/train/real_06.cip
episode,0,40,1.9121696949005127,7.501405715942383,0.09999999999999998,-19.0,20,27.31415,,,20,,,33.15,,1446.734375,64.85595703125,nodelimit,data/instances/train/real_06.cip
validation,1,40,,,,,,,20.0,23.946464,20,,,,,,,nodelimit,data/instances/validation/real_08.cip
