event,episode,gradient_step,loss,td_error,epsilon,reward,episode_nodes,episode_solving_time,validation_nodes,validation_time,replay_size,q_value_mean,q_value_std,selected_candidate_rank,forward_time,cpu_memory_mb,gpu_memory_mb,status,instance
train_update,0,5,2.429952621459961,2.9303665161132812,0.955,,,,,,5,0.09380665421485901,0.008648183196783066,61.0,0.043017553165555,1548.578125,64.84375,,data/instances/train/real_06.cip
train_update,0,10,2.386794090270996,2.8945846557617188,0.91,,,,,,6,0.047955289483070374,0.016092924401164055,40.0,0.05070388503372669,1553.76171875,64.84375,,data/instances/train/real_06.cip
train_update,0,15,2.3541786670684814,2.85752534866333,0.865,,,,,,7,0.002240613102912903,0.013427592813968658,73.0,0.05723895505070686,1558.87109375,64.84375,,data/instances/train/real_06.cip
train_update,0,20,2.2339751720428467,2.7490179538726807,0.82,,,,,,8,-0.10816466808319092,0.05077208951115608,82.0,0.057540321722626686,1563.0625,64.84375,,data/instances/train/real_06.cip
train_update,0,25,2.3402576446533203,2.8557705879211426,0.73,,,,,,10,-0.051627349108457565,0.05795765295624733,86.0,0.05879062041640282,1572.80859375,64.84375,,data/instances/train/real_06.cip
train_update,0,30,2.1411588191986084,2.663198947906494,0.685,,,,,,11,-0.27584174275398254,0.10866078734397888,140.0,0.05788201093673706,1577.68359375,64.84375,,data/instances/train/real_06.cip
train_update,0,35,2.121999979019165,2.6385087966918945,0.6399999999999999,,,,,,12,-0.351207971572876,0.032027170062065125,73.0,0.05752178095281124,1582.4765625,64.84375,,data/instances/train/real_06.cip
train_update,0,40,1.814322590827942,2.3675687313079834,0.595,,,,,,13,-0.7059342861175537,0.18832889199256897,54.0,0.05503435060381889,1587.40234375,64.84375,,data/instances/train/real_06.cip
train_update,0,45,1.7027347087860107,2.2029740810394287,0.5049999999999999,,,,,,15,-0.9783270955085754,0.8467869162559509,1.0,0.05847170762717724,1597.4296875,64.84375,,data/instances/train/real_06.cip
train_update,0,50,1.5497171878814697,2.075294017791748,0.45999999999999996,,,,,,16,-1.1515898704528809,0.08983898162841797,133.0,0.05791350640356541,1602.98046875,64.84375,,data/instances/train/real_06.cip
train_update,0,55,0.6456897854804993,0.9984422922134399,0.4149999999999999,,,,,,17,-2.545318841934204,0.9639256000518799,1.0,0.05770261585712433,1607.08203125,64.84375,,data/instances/train/real_06.cip
train_update,0,60,0.683204710483551,1.2647430896759033,0.37,,,,,,18,-2.3256168365478516,1.396722674369812,1.0,0.057525018230080605,1612.14453125,64.84375,,data/instances/train/real_06.cip
train_update,0,65,0.368257999420166,1.2948095798492432,0.2799999999999999,,,,,,20,-3.39656925201416,1.6750288009643555,1.0,0.06030534580349922,1621.4140625,64.84375,,data/instances/train/real_06.cip
train_update,0,70,1.528529405593872,2.2899818420410156,0.235,,,,,,21,-3.5644242763519287,3.079096555709839,1.0,0.05860082991421223,1626.21484375,64.84375,,data/instances/train/real_06.cip
train_update,0,75,0.48580077290534973,1.303833246231079,0.18999999999999995,,,,,,22,-6.450395107269287,0.8823494911193848,1.0,0.05803579092025757,1630.71875,64.84375,,data/instances/train/real_06.cip
train_update,0,80,0.9173364043235779,1.474156141281128,0.14500000000000002,,,,,,23,-4.319280624389648,2.407228708267212,124.0,0.057656699791550636,1635.37890625,64.84375,,data/instances/train/real_06.cip
train_update,0,85,0.12533259391784668,0.5474991798400879,0.09999999999999998,,,,,,25,-6.362305641174316,1.6321558952331543,1.0,0.058610182255506516,1646.70703125,64.84375,,data/instances/train/real_06.cip
train_update,0,90,0.30216124653816223,0.9303923845291138,0.09999999999999998,,,,,,26,-5.1825995445251465,2.6231608390808105,1.0,0.06039803847670555,1650.4765625,64.84375,,data/instances/train/real_06.cip
train_update,0,95,1.1860746145248413,5.007376194000244,0.09999999999999998,,,,,,29,-6.995222091674805,2.0691566467285156,1.0,0.05191046558320522,1650.66796875,64.84375,,data/instances/train/real_06.cip
episode,0,96,0.9808873534202576,1.550901174545288,0.09999999999999998,-29.0,30,18.168748,,,29,,,48.827586206896555,,1636.69140625,64.84375,nodelimit,data/instances/train/real_06.cip
validation,1,96,,,,,,,30.0,14.448255,29,,,,,,,nodelimit,data/instances/validation/real_08.cip
