event,episode,gradient_step,loss,td_error,epsilon,reward,episode_nodes,episode_solving_time,validation_nodes,validation_time,replay_size,q_value_mean,q_value_std,selected_candidate_rank,forward_time,cpu_memory_mb,gpu_memory_mb,status,instance
episode,0,0,,,1.0,-87.0,88,20.516429,,,80,,,53.225,,1644.03515625,33.21875,optimal,data/instances/train/real_06.cip
train_update,1,20,0.4895537495613098,1.5194385051727295,0.9936666666666667,,,,,,130,-2.007603883743286,1.3282310962677002,4.0,1.6065725199878216,2617.95703125,67.03369140625,,data/instances/train/real_07.cip
episode,1,32,0.4400186538696289,1.4749394655227661,0.9873333333333333,-53.0,54,65.495864,,,133,,,107.43396226415095,,2321.7421875,67.03369140625,timelimit,data/instances/train/real_07.cip
train_update,2,40,0.24306580424308777,1.1181352138519287,0.9873333333333333,,,,,,133,-2.764831066131592,1.1189868450164795,118.0,1.5389719512313604,2438.2578125,67.03369140625,,data/instances/train/real_06.cip
train_update,2,60,0.1489296555519104,0.8587324619293213,0.9778333333333333,,,,,,135,-4.206049919128418,1.0078039169311523,142.0,1.5589461270719767,2438.265625,67.03369140625,,data/instances/train/real_06.cip
train_update,2,80,0.09768234193325043,0.775303840637207,0.9715,,,,,,139,-4.311469078063965,0.5988779664039612,178.0,1.547510251402855,2438.26953125,67.03369140625,,data/instances/train/real_06.cip
episode,2,80,0.09768234193325043,0.775303840637207,0.9683333333333334,-5.0,6,71.449025,,,139,,,96.66666666666667,,2327.03515625,67.03369140625,timelimit,data/instances/train/real_06.cip
train_update,3,100,0.1101607233285904,0.7140907049179077,0.962,,,,,,140,-4.461402893066406,0.6806725859642029,22.0,1.5349196009337902,2668.2890625,67.03369140625,,data/instances/train/real_07.cip
train_update,3,120,0.13414862751960754,0.8973953723907471,0.9556666666666667,,,,,,144,-4.7863922119140625,0.7626972794532776,7.0,1.4949456676840782,2674.86328125,67.03369140625,,data/instances/train/real_07.cip
episode,3,120,0.13414862751960754,0.8973953723907471,0.9525,-4.0,5,66.538136,,,144,,,76.2,,2402.859375,67.03369140625,timelimit,data/instances/train/real_07.cip
train_update,4,140,0.1839856207370758,0.9361665844917297,0.9461666666666667,,,,,,145,-5.1354169845581055,0.8081855177879333,136.0,1.5444745477288961,2512.98828125,67.03369140625,,data/instances/train/real_06.cip
train_update,4,160,0.09599728882312775,0.9868296384811401,0.9398333333333333,,,,,,147,-5.197426795959473,0.8406261205673218,76.0,1.479261426255107,2512.98828125,67.03369140625,,data/instances/train/real_06.cip
episode,4,168,0.13179753720760345,1.1150561571121216,0.9335,-5.0,6,67.794867,,,150,,,145.16666666666666,,2435.61328125,67.03369140625,timelimit,data/instances/train/real_06.cip
train_update,5,180,0.12453929334878922,1.092219591140747,0.9303333333333333,,,,,,150,-5.086161136627197,1.0565271377563477,101.0,1.4959135986864567,2738.53125,67.03369140625,,data/instances/train/real_07.cip
train_update,5,200,0.25474926829338074,1.3573176860809326,0.924,,,,,,154,-5.445243835449219,1.1880180835723877,173.0,1.4735276978462934,2725.61328125,67.03369140625,,data/instances/train/real_07.cip
episode,5,200,0.25474926829338074,1.3573176860809326,0.9208333333333334,-3.0,4,63.736154,,,154,,,128.75,,2484.3828125,67.03369140625,timelimit,data/instances/train/real_07.cip
train_update,6,220,0.25770193338394165,1.3742387294769287,0.9145,,,,,,155,-5.752121925354004,1.272373914718628,138.0,1.4225876946002245,2615.8203125,67.03369140625,,data/instances/train/real_06.cip
train_update,6,240,0.25101011991500854,1.309382677078247,0.9081666666666667,,,,,,157,-5.762210369110107,1.2855987548828125,8.0,1.4926001634448767,2615.8203125,67.03369140625,,data/instances/train/real_06.cip
episode,6,248,0.20048576593399048,1.396862268447876,0.9018333333333334,-5.0,6,70.767158,,,160,,,53.666666666666664,,2483.3984375,67.03369140625,timelimit,data/instances/train/real_06.cip
train_update,7,260,0.3215206563472748,1.4200329780578613,0.8986666666666667,,,,,,160,-5.641478538513184,1.3345452547073364,1.0,1.4719727747142315,2788.6640625,67.03369140625,,data/instances/train/real_07.cip
train_update,7,280,0.2137754261493683,1.231684684753418,0.8923333333333333,,,,,,162,-5.37723970413208,1.424432635307312,21.0,1.5135017894208431,2804.43359375,67.03369140625,,data/instances/train/real_07.cip
episode,7,288,0.3905065953731537,1.4047794342041016,0.886,-4.0,5,66.827357,,,165,,,75.4,,2546.64453125,67.03369140625,timelimit,data/instances/train/real_07.cip
validation,8,288,,,,,,,100.0,25.513409,165,,,,,,,nodelimit,data/instances/validation/real_08.cip
train_update,8,300,0.21632274985313416,1.424680233001709,0.8828333333333334,,,,,,165,-5.728031158447266,1.697865605354309,120.0,1.432548064738512,2751.55859375,67.03369140625,,data/instances/train/real_06.cip
train_update,8,320,0.25842806696891785,1.492821216583252,0.8765000000000001,,,,,,167,-5.89595365524292,1.9028851985931396,128.0,1.4224022310227156,2751.55859375,67.03369140625,,data/instances/train/real_06.cip
episode,8,336,0.23980361223220825,1.3495898246765137,0.867,-5.0,6,69.223707,,,171,,,52.666666666666664,,2624.1796875,67.03369140625,timelimit,data/instances/train/real_06.cip
