event,episode,gradient_step,loss,td_error,epsilon,reward,episode_nodes,episode_solving_time,validation_nodes,validation_time,replay_size,q_value_mean,q_value_std,selected_candidate_rank,cpu_memory_mb,gpu_memory_mb,status,instance
train_update,0,50,0.8695244193077087,1.313095211982727,0.9886,,,,,,38,-2.4988021850585938,1.5507421493530273,54.0,1392.60546875,64.423828125,,data/instances/train/real_06.cip
train_update,0,100,0.6121219396591187,1.0119528770446777,0.9772,,,,,,44,-2.4781265258789062,1.1064404249191284,24.0,1393.89453125,64.423828125,,data/instances/train/real_06.cip
train_update,0,150,0.21181854605674744,0.5051360130310059,0.9658,,,,,,50,-3.1335089206695557,0.7788405418395996,1.0,1395.046875,64.423828125,,data/instances/train/real_06.cip
train_update,0,200,0.09851037710905075,0.36222198605537415,0.9544,,,,,,56,-3.201432228088379,0.5441545844078064,2.0,1395.13671875,64.423828125,,data/instances/train/real_06.cip
train_update,0,250,0.03752659633755684,0.21416273713111877,0.9411,,,,,,63,-3.4206979274749756,0.43469753861427307,1.0,1395.2890625,64.423828125,,data/instances/train/real_06.cip
episode,0,296,0.2787834405899048,0.47384029626846313,0.9297,-71.0,72,60.2174,,,70,,,48.6,1371.0703125,64.423828125,timelimit,data/instances/train/real_06.cip
train_update,1,300,0.799604058265686,1.0659594535827637,0.9297,,,,,,70,-6.583830833435059,1.2236424684524536,60.0,1455.10546875,64.423828125,,data/instances/train/real_06.cip
train_update,1,350,0.3036327660083771,0.5314134359359741,0.9183,,,,,,75,-6.346610069274902,0.8922938108444214,76.0,1456.578125,64.423828125,,data/instances/train/real_06.cip
train_update,1,400,0.07458379119634628,0.28309962153434753,0.9069,,,,,,81,-6.4167633056640625,0.7666562795639038,48.0,1456.6796875,64.423828125,,data/instances/train/real_06.cip
train_update,1,450,0.2919018566608429,0.48714619874954224,0.8936,,,,,,88,-6.335186958312988,0.7914552688598633,201.0,1456.7109375,64.423828125,,data/instances/train/real_06.cip
train_update,1,500,0.26710307598114014,0.46661168336868286,0.8822,,,,,,94,-6.286563873291016,0.7367196679115295,55.0,1456.86328125,64.423828125,,data/instances/train/real_06.cip
train_update,1,550,0.3816872835159302,0.6463569402694702,0.8708,,,,,,100,-9.699536323547363,1.136500597000122,175.0,1456.9375,64.423828125,,data/instances/train/real_06.cip
train_update,1,600,0.31862929463386536,0.5161542892456055,0.8594,,,,,,106,-9.929756164550781,1.7024110555648804,1.0,1458.37890625,64.423828125,,data/instances/train/real_06.cip
episode,1,640,0.31069982051849365,0.47764497995376587,0.848,-43.0,44,60.527302,,,113,,,91.51162790697674,1418.0234375,64.423828125,timelimit,data/instances/train/real_06.cip
train_update,2,650,1.1110247373580933,1.3287560939788818,0.8461,,,,,,113,-9.901215553283691,1.8858110904693604,162.0,1447.4765625,64.423828125,,data/instances/train/real_06.cip
train_update,2,700,0.6885992288589478,0.9084725379943848,0.8347,,,,,,119,-10.731882095336914,4.909745216369629,109.0,1447.54296875,64.423828125,,data/instances/train/real_06.cip
train_update,2,750,0.0777416080236435,0.3141140937805176,0.8233,,,,,,125,-11.681142807006836,5.932294845581055,80.0,1447.62109375,64.423828125,,data/instances/train/real_06.cip
