event,episode,gradient_step,loss,td_error,epsilon,reward,episode_nodes,episode_solving_time,validation_nodes,validation_time,replay_size,q_value_mean,q_value_std,selected_candidate_rank,cpu_memory_mb,gpu_memory_mb,status,instance
train_update,0,25,1.8946774005889893,2.3946774005889893,0.964,,,,,,17,-0.4924178123474121,0.22419904172420502,1.0,1361.73046875,64.42138671875,,data/instances/train/real_06.cip
train_update,0,50,0.8263343572616577,1.2334260940551758,0.892,,,,,,19,-1.7243151664733887,0.9092836380004883,45.0,1364.14453125,64.42138671875,,data/instances/train/real_06.cip
train_update,0,75,0.505422830581665,0.8786198496818542,0.856,,,,,,20,-2.6149191856384277,1.1376991271972656,126.0,1364.23828125,64.42138671875,,data/instances/train/real_06.cip
train_update,0,100,0.5040537118911743,0.8801170587539673,0.784,,,,,,22,-2.5826053619384766,1.0180424451828003,58.0,1364.23828125,64.42138671875,,data/instances/train/real_06.cip
train_update,0,125,0.7575079202651978,1.146301031112671,0.748,,,,,,23,-6.546906471252441,2.6734111309051514,52.0,1364.26171875,64.42138671875,,data/instances/train/real_06.cip
train_update,0,150,0.6549002528190613,1.0654823780059814,0.6759999999999999,,,,,,25,-5.297137260437012,2.3882625102996826,1.0,1364.453125,64.42138671875,,data/instances/train/real_06.cip
train_update,0,175,0.4516598582267761,0.8236367702484131,0.6399999999999999,,,,,,26,-5.615843772888184,2.4380016326904297,71.0,1364.45703125,64.42138671875,,data/instances/train/real_06.cip
train_update,0,200,0.3097382187843323,0.6769341230392456,0.5680000000000001,,,,,,28,-6.615032196044922,2.6798224449157715,1.0,1365.5078125,64.42138671875,,data/instances/train/real_06.cip
train_update,0,225,0.8071821928024292,1.211940050125122,0.4959999999999999,,,,,,30,-11.54479694366455,5.191323757171631,1.0,1365.53125,64.42138671875,,data/instances/train/real_06.cip
train_update,0,250,0.2923055589199066,0.5859980583190918,0.45999999999999996,,,,,,31,-8.669327735900879,2.79801082611084,41.0,1365.5625,64.42138671875,,data/instances/train/real_06.cip
train_update,0,275,0.22755283117294312,0.5318601727485657,0.3879999999999999,,,,,,33,-12.617194175720215,4.622087478637695,127.0,1365.56640625,64.42138671875,,data/instances/train/real_06.cip
train_update,0,300,0.15143102407455444,0.46497756242752075,0.352,,,,,,34,-11.009160995483398,4.890787124633789,1.0,1365.56640625,64.42138671875,,data/instances/train/real_06.cip
train_update,0,325,0.40991225838661194,0.776100754737854,0.2799999999999999,,,,,,36,-17.29172134399414,6.879388332366943,1.0,1365.56640625,64.42138671875,,data/instances/train/real_06.cip
train_update,0,350,0.25931960344314575,0.6233702898025513,0.244,,,,,,37,-19.106908798217773,7.164371490478516,52.0,1365.66015625,64.42138671875,,data/instances/train/real_06.cip
train_update,0,375,0.18096962571144104,0.4903484582901001,0.17199999999999993,,,,,,39,-18.49258804321289,7.720214366912842,1.0,1365.8046875,64.42138671875,,data/instances/train/real_06.cip
train_update,0,400,0.11831173300743103,0.4287669360637665,0.136,,,,,,40,-18.610515594482422,7.703840732574463,1.0,1365.84765625,64.42138671875,,data/instances/train/real_06.cip
train_update,0,425,0.7403879761695862,1.1797089576721191,0.09999999999999998,,,,,,42,-23.162761688232422,9.525246620178223,25.0,1365.84765625,64.42138671875,,data/instances/train/real_06.cip
train_update,0,450,0.288239061832428,0.6942217946052551,0.09999999999999998,,,,,,44,-22.036502838134766,10.624787330627441,24.0,1365.98828125,64.42138671875,,data/instances/train/real_06.cip
train_update,0,475,0.05991043895483017,0.3028416633605957,0.09999999999999998,,,,,,45,-23.57760238647461,9.793197631835938,1.0,1366.125,64.42138671875,,data/instances/train/real_06.cip
episode,0,496,0.18164798617362976,0.4905710220336914,0.09999999999999998,-49.0,50,58.744581,,,48,,,44.708333333333336,1274.03125,64.42138671875,nodelimit,data/instances/train/real_06.cip
validation,1,496,,,,,,,48.0,26.812259,48,,,,,,optimal,data/instances/validation/real_08.cip
train_update,1,500,5.4588398933410645,5.800418853759766,0.09999999999999998,,,,,,48,-27.39383888244629,10.82135009765625,1.0,1481.0390625,64.42138671875,,data/instances/train/real_06.cip
episode,1,500,5.4588398933410645,5.800418853759766,0.09999999999999998,-49.0,50,23.015861,,,97,,,4.612244897959184,1482.2109375,64.42138671875,nodelimit,data/instances/train/real_06.cip
validation,2,500,,,,,,,46.0,26.534933,97,,,,,,optimal,data/instances/validation/real_08.cip
