event,episode,gradient_step,loss,td_error,epsilon,reward,episode_nodes,episode_solving_time,validation_nodes,validation_time,replay_size,q_value_mean,q_value_std,selected_candidate_rank,cpu_memory_mb,gpu_memory_mb,status,instance
train_update,0,50,0.9197524785995483,1.361930012702942,0.9886,,,,,,38,-2.0607106685638428,1.3176448345184326,71.0,1364.68359375,64.42138671875,,data/instances/train/real_06.cip
train_update,0,100,0.6702583432197571,1.0715824365615845,0.9772,,,,,,44,-2.1787171363830566,1.025719165802002,24.0,1364.98828125,64.42138671875,,data/instances/train/real_06.cip
train_update,0,150,0.2635185718536377,0.5712157487869263,0.9658,,,,,,50,-2.6002039909362793,0.6389225125312805,1.0,1365.984375,64.42138671875,,data/instances/train/real_06.cip
train_update,0,200,0.11628270149230957,0.40658777952194214,0.9544,,,,,,56,-2.756340980529785,0.43316859006881714,17.0,1366.0625,64.42138671875,,data/instances/train/real_06.cip
train_update,0,250,0.04597976803779602,0.2485874891281128,0.9411,,,,,,63,-2.8346378803253174,0.24669156968593597,1.0,1366.58203125,64.42138671875,,data/instances/train/real_06.cip
episode,0,264,1.2665525674819946,1.719124436378479,0.9373,-67.0,68,60.755031,,,66,,,50.59090909090909,1357.87109375,64.42138671875,timelimit,data/instances/train/real_06.cip
train_update,1,300,0.13385577499866486,0.39550071954727173,0.9297,,,,,,69,-5.613158226013184,0.7922088503837585,210.0,1429.52734375,64.42138671875,,data/instances/train/real_06.cip
train_update,1,350,0.21172407269477844,0.4597622752189636,0.9183,,,,,,75,-5.888862609863281,0.623960018157959,74.0,1429.56640625,64.42138671875,,data/instances/train/real_06.cip
train_update,1,400,0.12371110916137695,0.31394708156585693,0.9069,,,,,,81,-5.795982837677002,0.512090265750885,138.0,1431.05078125,64.42138671875,,data/instances/train/real_06.cip
train_update,1,450,0.19510789215564728,0.3971578776836395,0.8936,,,,,,88,-5.694375991821289,0.5693114399909973,83.0,1432.046875,64.42138671875,,data/instances/train/real_06.cip
train_update,1,500,0.06173088029026985,0.2571006417274475,0.8822,,,,,,94,-5.833855628967285,0.7312904000282288,106.0,1432.16015625,64.42138671875,,data/instances/train/real_06.cip
train_update,1,550,0.32992973923683167,0.588940441608429,0.8708,,,,,,100,-8.56715202331543,0.8479107022285461,135.0,1432.44921875,64.42138671875,,data/instances/train/real_06.cip
episode,1,576,0.3386882245540619,0.5310840606689453,0.8632,-38.0,39,60.895714,,,105,,,101.76923076923077,1242.2109375,64.42138671875,timelimit,data/instances/train/real_06.cip
train_update,2,600,0.9378954172134399,1.1920287609100342,0.8594,,,,,,106,-10.002517700195312,7.027676582336426,1.0,1379.51171875,64.42138671875,,data/instances/train/real_06.cip
train_update,2,650,0.5582082271575928,0.7531045079231262,0.8461,,,,,,113,-12.157886505126953,10.238995552062988,177.0,1379.5625,64.42138671875,,data/instances/train/real_06.cip
train_update,2,700,0.5524016618728638,0.766102135181427,0.8347,,,,,,119,-12.968400955200195,11.594322204589844,102.0,1379.66015625,64.42138671875,,data/instances/train/real_06.cip
train_update,2,750,0.30470186471939087,0.5265440940856934,0.8233,,,,,,125,-12.867043495178223,10.65231990814209,5.0,1380.66796875,64.42138671875,,data/instances/train/real_06.cip
train_update,2,800,0.08886875957250595,0.31303998827934265,0.8119000000000001,,,,,,131,-19.054656982421875,13.457300186157227,9.0,1380.94140625,64.42138671875,,data/instances/train/real_06.cip
train_update,2,850,0.5476616621017456,0.8474494218826294,0.7986,,,,,,138,-20.254737854003906,14.181034088134766,16.0,1381.02734375,64.42138671875,,data/instances/train/real_06.cip
train_update,2,900,0.9912379384040833,1.231466293334961,0.7872,,,,,,144,-18.93600845336914,13.708281517028809,25.0,1381.04296875,64.42138671875,,data/instances/train/real_06.cip
episode,2,912,0.09167126566171646,0.3224870562553406,0.7834,-41.0,42,60.219682,,,147,,,42.785714285714285,1221.4453125,64.42138671875,timelimit,data/instances/train/real_06.cip
train_update,3,950,0.05428236722946167,0.26279565691947937,0.7758,,,,,,150,-21.683448791503906,15.318733215332031,123.0,1404.04296875,64.42138671875,,data/instances/train/real_06.cip
train_update,3,1000,1.4936504364013672,1.6983997821807861,0.7644,,,,,,156,-21.051368713378906,15.01498031616211,30.0,1404.12109375,64.42138671875,,data/instances/train/real_06.cip
train_update,3,1050,1.103101134300232,1.3775988817214966,0.7511,,,,,,163,-21.890684127807617,13.695731163024902,107.0,1404.12890625,64.42138671875,,data/instances/train/real_06.cip
train_update,3,1100,0.10910646617412567,0.3672996759414673,0.7397,,,,,,169,-28.88630485534668,16.29511070251465,4.0,1404.12890625,64.42138671875,,data/instances/train/real_06.cip
train_update,3,1150,1.6718670129776,1.9163610935211182,0.7283000000000001,,,,,,175,-31.699140548706055,16.9224796295166,13.0,1404.234375,64.42138671875,,data/instances/train/real_06.cip
episode,3,1192,2.28751277923584,2.55780291557312,0.7169000000000001,-34.0,35,60.374135,,,182,,,38.25714285714286,1239.40234375,64.42138671875,timelimit,data/instances/train/real_06.cip
validation,4,1192,,,,,,,78.0,30.677366,182,,,,,,optimal,data/instances/validation/real_08.cip
train_update,4,1200,2.905576705932617,3.242300510406494,0.7169000000000001,,,,,,182,-24.92967987060547,15.717809677124023,75.0,1502.3671875,64.42138671875,,data/instances/train/real_06.cip
train_update,4,1250,0.5781412720680237,0.8687208890914917,0.7036,,,,,,188,-29.212024688720703,16.833314895629883,21.0,1501.38671875,64.42138671875,,data/instances/train/real_06.cip
train_update,4,1300,2.570826530456543,2.8019514083862305,0.6921999999999999,,,,,,194,-27.009746551513672,14.915945053100586,1.0,1501.5546875,64.42138671875,,data/instances/train/real_06.cip
train_update,4,1350,1.206775426864624,1.5192464590072632,0.6808000000000001,,,,,,200,-31.64905548095703,16.40054702758789,1.0,1501.5546875,64.42138671875,,data/instances/train/real_06.cip
train_update,4,1400,1.6519368886947632,1.887606143951416,0.6694,,,,,,206,-31.58832550048828,16.469343185424805,12.0,1501.75390625,64.42138671875,,data/instances/train/real_06.cip
train_update,4,1450,4.250638008117676,4.501286506652832,0.6561,,,,,,213,-30.984027862548828,16.62555503845215,1.0,1501.75390625,64.42138671875,,data/instances/train/real_06.cip
train_update,4,1500,4.946183681488037,5.205962657928467,0.6447,,,,,,219,-36.74342346191406,16.427417755126953,8.0,1501.75390625,64.42138671875,,data/instances/train/real_06.cip
episode,4,1536,4.712588787078857,5.076319694519043,0.6352,-42.0,43,60.810204,,,225,,,37.093023255813954,1501.88671875,64.42138671875,timelimit,data/instances/train/real_06.cip
train_update,5,1550,2.909451484680176,3.242192268371582,0.6333,,,,,,225,-36.83348083496094,16.318130493164062,18.0,1505.51171875,64.42138671875,,data/instances/train/real_06.cip
train_update,5,1600,1.7727102041244507,2.057377576828003,0.6219,,,,,,231,-41.4185791015625,15.756726264953613,73.0,1505.51171875,64.42138671875,,data/instances/train/real_06.cip
train_update,5,1650,3.4366464614868164,3.671051502227783,0.6086,,,,,,238,-38.34018325805664,16.545438766479492,15.0,1505.51171875,64.42138671875,,data/instances/train/real_06.cip
train_update,5,1700,4.602527141571045,4.871987819671631,0.5972,,,,,,244,-40.91007995605469,15.387251853942871,96.0,1508.234375,64.42138671875,,data/instances/train/real_06.cip
train_update,5,1750,2.272195339202881,2.5380406379699707,0.5858000000000001,,,,,,250,-34.49200439453125,15.929569244384766,12.0,1508.25,64.42138671875,,data/instances/train/real_06.cip
train_update,5,1800,3.5220866203308105,3.7845101356506348,0.5744,,,,,,256,-41.464786529541016,16.085124969482422,1.0,1508.25,64.42138671875,,data/instances/train/real_06.cip
train_update,5,1850,3.6115758419036865,3.8707287311553955,0.5610999999999999,,,,,,263,-42.179954528808594,15.556357383728027,7.0,1508.25,64.42138671875,,data/instances/train/real_06.cip
episode,5,1872,2.5006566047668457,2.816782236099243,0.5554,-41.0,42,60.692329,,,267,,,24.11904761904762,1508.9765625,64.42138671875,timelimit,data/instances/train/real_06.cip
train_update,6,1900,5.987997055053711,6.273594856262207,0.5497000000000001,,,,,,269,-39.17948913574219,16.27304458618164,1.0,1509.53515625,64.42138671875,,data/instances/train/real_06.cip
train_update,6,1950,4.266165733337402,4.590673923492432,0.5383,,,,,,275,-38.399906158447266,15.78797435760498,55.0,1509.53515625,64.42138671875,,data/instances/train/real_06.cip
train_update,6,2000,2.5547854900360107,2.8794755935668945,0.5269,,,,,,281,-41.83909606933594,15.306818962097168,1.0,1509.53515625,64.42138671875,,data/instances/train/real_06.cip
train_update,6,2050,1.4941813945770264,1.7898085117340088,0.5136000000000001,,,,,,288,-42.579986572265625,16.149944305419922,1.0,1509.53515625,64.42138671875,,data/instances/train/real_06.cip
train_update,6,2100,1.9592821598052979,2.198246479034424,0.5022,,,,,,294,-40.52070617675781,16.020936965942383,1.0,1509.53515625,64.42138671875,,data/instances/train/real_06.cip
train_update,6,2150,0.3468949794769287,0.655000627040863,0.4908,,,,,,300,-43.99269104003906,15.04002857208252,1.0,1509.53515625,64.42138671875,,data/instances/train/real_06.cip
episode,6,2160,3.483616828918457,3.7698287963867188,0.487,-35.0,36,60.526755,,,303,,,29.055555555555557,1509.53515625,64.42138671875,timelimit,data/instances/train/real_06.cip
validation,7,2160,,,,,,,85.0,32.443065,303,,,,,,optimal,data/instances/validation/real_08.cip
episode,7,2160,3.483616828918457,3.7698287963867188,0.487,0.0,1,14.949184,,,303,,,0.0,1536.046875,64.42138671875,optimal,data/instances/train/real_06.cip
train_update,8,2200,1.9875718355178833,2.263996124267578,0.47939999999999994,,,,,,306,-48.23931121826172,14.860268592834473,1.0,1536.046875,64.42138671875,,data/instances/train/real_06.cip
train_update,8,2250,4.4157304763793945,4.761983871459961,0.46609999999999996,,,,,,313,-46.11711120605469,13.890210151672363,1.0,1536.046875,64.42138671875,,data/instances/train/real_06.cip
train_update,8,2300,2.1813535690307617,2.500253200531006,0.4547000000000001,,,,,,319,-48.766685485839844,13.868934631347656,1.0,1536.046875,64.42138671875,,data/instances/train/real_06.cip
train_update,8,2350,0.2261086404323578,0.5434420704841614,0.4433,,,,,,325,-43.569793701171875,14.86308765411377,1.0,1536.046875,64.42138671875,,data/instances/train/real_06.cip
train_update,8,2400,2.093055009841919,2.382706642150879,0.43190000000000006,,,,,,331,-43.86581039428711,14.414933204650879,1.0,1536.046875,64.42138671875,,data/instances/train/real_06.cip
train_update,8,2450,2.0809903144836426,2.332624673843384,0.4186000000000001,,,,,,340,-43.726348876953125,14.854436874389648,1.0,1536.046875,64.42138671875,,data/instances/train/real_06.cip
episode,8,2456,1.020004391670227,1.3184006214141846,0.41670000000000007,-36.0,37,60.09846,,,340,,,19.675675675675677,1536.046875,64.42138671875,timelimit,data/instances/train/real_06.cip
train_update,9,2500,4.7862396240234375,5.083473205566406,0.4072,,,,,,344,-48.427310943603516,14.630908012390137,2.0,1536.046875,64.42138671875,,data/instances/train/real_06.cip
train_update,9,2550,0.31224390864372253,0.6462429165840149,0.39580000000000004,,,,,,350,-49.69615936279297,15.163503646850586,1.0,1536.046875,64.42138671875,,data/instances/train/real_06.cip
train_update,9,2600,2.1797873973846436,2.4481680393218994,0.38439999999999996,,,,,,356,-49.20215606689453,15.774266242980957,1.0,1536.046875,64.42138671875,,data/instances/train/real_06.cip
train_update,9,2650,0.9390342235565186,1.208754301071167,0.3711,,,,,,363,-50.72356033325195,14.924176216125488,1.0,1536.046875,64.42138671875,,data/instances/train/real_06.cip
train_update,9,2700,6.451320648193359,6.7271013259887695,0.3597,,,,,,369,-47.592384338378906,15.594568252563477,1.0,1536.046875,64.42138671875,,data/instances/train/real_06.cip
