i,i,i,i,i
1,TESTA01,B01-X01,E50,171.5239636
2,TESTA01,E50,N396,183.5
3,TESTA01,E50,N397,180.4659918
4,TESTA01,T201-X01,E1506,245.3233746
5,TESTA01,E1506,N238,62.30726422
6,TESTA01,E1506,N239,107.596568
7,TESTA01,T201-X02,E84,198.2089399
8,TESTA01,E84,N286,226.3963043
9,TESTA01,E84,N238,108.2154932
10,TESTA01,T201-X03,E84,171.1338185
11,TESTA01,C01-X01,E1499,100.7193654
12,TESTA01,E1499,N252,172.8836815
13,TESTA01,E1499,N260,736.3100828
14,TESTA01,C01-X02,E1499,95.24740373
15,TESTA01,C01-X03,E1499,92.25912024
16,TESTA01,T202-X01,E162,126.5342031
17,TESTA01,E162,N261,388.2604366
18,TESTA01,E162,N262,30.10809077
19,TESTA01,T202-X02,E179,126.5342031
20,TESTA01,E179,N261,293.2604366
21,TESTA01,E179,N262,125.1080908
22,TESTA01,T202-X03,E179,127.6752337
23,TESTA01,T203-X01,E206,184.2960452
24,TESTA01,E206,N104,398.6492325
25,TESTA01,E206,N121,601.8006663
26,TESTA01,T203-X02,E223,182.2497347
27,TESTA01,E223,N104,493.6080824
28,TESTA01,E223,N121,506.8418164
29,TESTA01,T203-X03,E223,153.7327664
30,TESTA01,T506-X01,E250,106.6611208
31,TESTA01,E250,N370,140.5935011
32,TESTA01,E250,N343,292.0534027
33,TESTA01,T506-X02,E267,106.4872976
34,TESTA01,E267,N370,219.5375783
35,TESTA01,E267,N343,213.1093256
36,TESTA01,T506-X03,E250,113.180349
37,TESTA01,T253-X01,E294,177.8351783
38,TESTA01,E294,N323,97.0479705
39,TESTA01,E294,N325,0.00079631
40,TESTA01,T253-X02,E311,151.390854
41,TESTA01,E311,N323,212.7916309
42,TESTA01,E311,N324,99.8184531
43,TESTA01,T253-X03,E328,109.5427159
44,TESTA01,E328,N323,54.64163087
45,TESTA01,E328,N324,257.9684531
46,TESTA01,T254-X01,E345,168.5616085
47,TESTA01,E345,N326,108.6506051
48,TESTA01,E345,N327,60.52328538
49,TESTA01,T254-X02,E362,141.4529325
50,TESTA01,E362,N75,193.55
51,TESTA01,E362,N326,306.9897637
52,TESTA01,T254-X03,E379,99.00531719
53,TESTA01,E379,N75,351.7
54,TESTA01,E379,N326,148.8397637
55,TESTA01,F01-X01,E396,104.6097526
56,TESTA01,E396,N330,234.8126478
57,TESTA01,E396,N331,274.3371773
58,TESTA01,F01-X02,E413,104.6097526
59,TESTA01,E413,N330,352.6126478
60,TESTA01,E413,N331,156.5371773
61,TESTA01,F01-X03,E396,87.6889787
62,TESTA01,F01-X04,E413,87.6889787
63,TESTA01,T204-X01,E450,155.7743779
64,TESTA01,E450,N130,176.3178683
65,TESTA01,E450,N131,395.4499612
66,TESTA01,T503-X01,E1466,127.6226839
67,TESTA01,E1466,N378,264.7525024
68,TESTA01,E1466,N379,118.6360833
69,TESTA01,T503-X02,E1473,129.0145374
70,TESTA01,E1473,N378,172.7634389
71,TESTA01,E1473,N379,210.6251469
72,TESTA01,T505-X01,E489,102.9408084
73,TESTA01,E489,N365,167.8020475
74,TESTA01,E489,N366,192.8068883
75,TESTA01,T507-X05,E506,61.06741673
76,TESTA01,E506,N113,150.5
77,TESTA01,E506,N315,216.6457059
78,TESTA01,C02-X06,E523,85.88321114
79,TESTA01,E523,N313,446.5215842
80,TESTA01,E523,N113,598.3
81,TESTA01,C02-X07,E523,153.2483426
82,TESTA01,C02-X08,E523,138.7496
83,TESTA01,T251-X03,E560,53.63394899
84,TESTA01,E560,N303,163.4421735
85,TESTA01,E560,N305,182.8415469
86,TESTA01,T252-X03,E577,104.2181893
87,TESTA01,E577,N160,139.77
88,TESTA01,E577,N322,140.7401777
89,TESTA01,B02-X01,E594,201.6231393
90,TESTA01,E594,N263,655
91,TESTA01,E594,N264,40.77996937
92,TESTA01,B02-X02,E611,201.6231393
93,TESTA01,E611,N263,575
94,TESTA01,E611,N264,120.7799694
95,TESTA01,B02-X03,E628,201.6231393
96,TESTA01,E628,N263,495
97,TESTA01,E628,N264,200.7799694
98,TESTA01,B02-X13,E645,319.2828003
99,TESTA01,E645,N263,415
100,TESTA01,E645,N264,280.7799694
101,TESTA01,T501-X05G,E662,79.26376422
102,TESTA01,E662,N249,145.2792926
103,TESTA01,E662,N250,109.9104351
104,TESTA01,T502-X06G,E679,93.87853287
105,TESTA01,E679,N266,144.2951267
106,TESTA01,E679,N267,125.9241725
107,TESTA01,T401-X01,E696,61.81261258
108,TESTA01,E696,N100,47.5314551
109,TESTA01,E696,N101,259.9062805
110,TESTA01,T402-X01,E1513,350.6593798
111,TESTA01,E1513,N49,169.7089917
112,TESTA01,E1513,N50,432.1518815
113,TESTA01,T403-X01,E730,287.2774332
114,TESTA01,E730,N55,89.27294488
115,TESTA01,E730,N56,512.5879284
116,TESTA01,T251-X02,E747,72.0028947
117,TESTA01,E747,N303,79.13937564
118,TESTA01,E747,N304,62.30006497
119,TESTA01,T252-X01,E764,252.6333953
120,TESTA01,E764,N387,135.0176769
121,TESTA01,E764,N390,86.90200147
122,TESTA01,T252-X02,E781,140.2378581
123,TESTA01,E781,N160,280.51
124,TESTA01,E781,N322,0.000177672
125,TESTA01,T255-X01,E798,245.7770813
126,TESTA01,E798,N31,173.8600354
127,TESTA01,E798,N328,0.000528221
128,TESTA01,T255-X02,E1520,323.0178672
129,TESTA01,E1520,N29,258.9723427
130,TESTA01,E1520,N30,351.1220709
131,TESTA01,T301-X01,E1541,409.2494049
132,TESTA01,E1541,N106,297.5371669
133,TESTA01,E1541,N107,264.7275963
