id,type1,type2,source,misc,target,misc,misc,misc,weight,misc
,,,60,,215,,,,0.005,
,,,60,,215,,,,0.003,
,,,60,,215,,,,0.005,
,,,60,,215,,,,0.002,
,,,60,,215,,,,0.002,
,,,60,,215,,,,0.005,
,,,60,,215,,,,0.008,
,,,60,,215,,,,0.003,
,,,60,,215,,,,0.002,
,,,60,,215,,,,0.007,
,,,60,,215,,,,0.007,
,,,60,,215,,,,0.003,
,,,60,,215,,,,0.001,
,,,60,,215,,,,0.004,
,,,60,,215,,,,0.007,
,,,60,,215,,,,0.009,
,,,60,,215,,,,0.006,
,,,60,,215,,,,0.004,
,,,60,,215,,,,0.003,
,,,60,,215,,,,0.006,
,,,60,,215,,,,0.006,
,,,60,,215,,,,0.009,
,,,60,,215,,,,0.001,
,,,60,,215,,,,0.005,
,,,60,,215,,,,0.003,
,,,60,,215,,,,0.006,
,,,60,,215,,,,0.001,
,,,60,,215,,,,0.006,
,,,60,,215,,,,0.001,
,,,60,,215,,,,0.005,
,,,60,,215,,,,0.007,
,,,60,,215,,,,0.006,
,,,60,,215,,,,0.004,
,,,60,,215,,,,0.004,
,,,60,,215,,,,0.003,
,,,60,,215,,,,0.009,
,,,60,,215,,,,0.009,
,,,60,,215,,,,0.004,
,,,60,,215,,,,0.004,
,,,60,,215,,,,0.003,
,,,60,,215,,,,0.006,
,,,60,,215,,,,0.001,
,,,60,,215,,,,0.002,
,,,60,,215,,,,0.008,
,,,60,,215,,,,0.004,
,,,60,,215,,,,0.005,
,,,60,,215,,,,0.008,
,,,60,,215,,,,0.004,
,,,60,,215,,,,0.002,
,,,60,,215,,,,0.009,
,,,60,,215,,,,0.009,
,,,60,,215,,,,0.005,
,,,60,,215,,,,0.006,
,,,60,,215,,,,0.002,
,,,60,,215,,,,0.001,
,,,60,,215,,,,0.009,
,,,60,,215,,,,0.009,
,,,60,,215,,,,0.003,
,,,60,,215,,,,0.005,
,,,60,,215,,,,0.007,
,,,60,,215,,,,0.002,
,,,60,,215,,,,0.007,
,,,60,,215,,,,0.005,
,,,60,,215,,,,0.006,
,,,60,,215,,,,0.001,
,,,60,,215,,,,0.007,
,,,60,,215,,,,0.001,
,,,60,,215,,,,0.001,
,,,60,,215,,,,0.009,
,,,60,,215,,,,0.002,
,,,60,,215,,,,0.007,
,,,60,,215,,,,0.006,
,,,60,,215,,,,0.001,
,,,60,,215,,,,0.004,
,,,60,,215,,,,0.004,
,,,60,,215,,,,0.004,
,,,60,,215,,,,0.006,
,,,60,,215,,,,0.005,
,,,60,,215,,,,0.008,
,,,60,,215,,,,0.005,
,,,60,,215,,,,0.003,
,,,60,,215,,,,0.002,
,,,60,,215,,,,0.003,
,,,60,,215,,,,0.003,
,,,60,,215,,,,0.003,
,,,60,,215,,,,0.006,
,,,60,,215,,,,0.008,
,,,60,,215,,,,0.001,
,,,60,,215,,,,0.001,
