i,i,i,i,i
1,TESTJK01,K140B-X01,E179,158.47
2,TESTJK01,E179,N186,182.13
3,TESTJK01,E179,N163,145.599
4,TESTJK01,V201-X02,E145,123.416
5,TESTJK01,E145,N156,0.00120838
6,TESTJK01,E145,N157,331.48
7,TESTJK01,K210-X01,E67,142.815
8,TESTJK01,E67,N146,245
9,TESTJK01,E67,N184,60.4034
10,TESTJK01,K404-X03,E111,261.761
11,TESTJK01,E111,N166,238.27
12,TESTJK01,E111,N167,209.231
13,TESTJK01,K140A-X03,E128,156.658
14,TESTJK01,E128,N278,164.335
15,TESTJK01,E128,N167,497.341
16,TESTJK01,V201-X17,E162,107.383
17,TESTJK01,E162,N148,22.6373
18,TESTJK01,E162,N149,113.39
19,TESTJK01,DL-18,E84,97.4114
20,TESTJK01,E84,N152,305.35
21,TESTJK01,E84,N147,28.21
22,TESTJK01,K210-X10,E186,359.152
23,TESTJK01,E186,N280,226.875
24,TESTJK01,E186,N281,103.522
25,TESTJK01,K403-X01,E50,270.284
26,TESTJK01,E50,N163,196.323
27,TESTJK01,E50,N164,211.912
28,TESTJK01,K210-X02,E67,109.076
29,TESTJK01,N0,N1,17.3326
30,TESTJK01,N1,N2,835.119
31,TESTJK01,N2,N3,211.615
32,TESTJK01,N3,N4,594.663
33,TESTJK01,N4,N5,190.743
34,TESTJK01,N6,N7,799.439
35,TESTJK01,N4,N8,408.146
36,TESTJK01,N8,N9,439.137
37,TESTJK01,N9,N10,638.341
38,TESTJK01,N11,N8,594.663
39,TESTJK01,N8,N12,167.183
40,TESTJK01,N3,N11,408.146
41,TESTJK01,N2,N6,405.779
42,TESTJK01,N13,N14,756.609
43,TESTJK01,N14,N15,361.744
44,TESTJK01,N15,N16,3.29992
45,TESTJK01,N17,N18,780.625
46,TESTJK01,N18,N19,812.631
47,TESTJK01,N19,N20,42.1455
48,TESTJK01,N20,N21,128.269
49,TESTJK01,N22,N23,246.862
50,TESTJK01,N23,N24,452.997
51,TESTJK01,N24,N25,107.651
52,TESTJK01,N25,N26,190.81
53,TESTJK01,N26,N27,878.425
54,TESTJK01,N28,N29,8
55,TESTJK01,N29,N26,24.4452
56,TESTJK01,N26,N30,313.436
57,TESTJK01,N30,N31,504.411
58,TESTJK01,N30,N32,269.615
59,TESTJK01,N32,N33,438.395
60,TESTJK01,N33,N34,42.1455
61,TESTJK01,N34,N35,128.269
62,TESTJK01,N36,N19,17.7864
63,TESTJK01,N19,N37,449.921
64,TESTJK01,N37,N38,58.0327
65,TESTJK01,N38,N33,446.378
66,TESTJK01,N256,N32,172.448
67,TESTJK01,N32,N39,194.178
68,TESTJK01,N39,N40,283.852
69,TESTJK01,N31,N37,708.01
70,TESTJK01,N17,N41,467.436
71,TESTJK01,N42,N43,527.613
72,TESTJK01,N43,N41,253.011
73,TESTJK01,N25,N44,441.286
74,TESTJK01,N44,N45,237.516
75,TESTJK01,N45,N46,203.909
76,TESTJK01,N46,N47,210.371
77,TESTJK01,N47,N48,155.714
78,TESTJK01,N48,N22,441.286
79,TESTJK01,N43,N49,154.535
80,TESTJK01,N49,N46,204.511
81,TESTJK01,N49,N50,166.341
82,TESTJK01,N23,N269,398.448
83,TESTJK01,N269,N270,286.552
84,TESTJK01,N270,N271,392.309
