id,type,source,target,weight
,,M0,M1,30
,,M1,M2,140
,,M2,M3,20
,,M3,M4,450
,,M4,M5,70
,,M5,M6,220
,,M6,M7,310
,,M7,M8,380
,,M8,M9,450
,,M9,M10,70
,,M10,M11,420
,,M11,M12,180
,,M12,M13,280
,,M13,M14,230
,,M14,M15,460
,,M15,M16,340
,,M16,M17,400
,,M17,M18,430
,,M18,M19,150
,,M19,M20,130
,,M20,M21,180
,,M21,M22,180
,,M22,M23,20
,,M23,M24,150
,,M24,M25,400
,,M25,M26,270
,,M26,M27,310
,,M27,M28,340
,,M28,M29,350
,,M29,M30,410
,,M30,M31,10
,,M31,M32,150
,,M32,M33,220
,,M33,M34,190
,,M34,M35,410
,,M35,M36,370
,,M36,M37,420
,,M37,M38,90
,,M38,M39,250
,,M39,M40,160
,,M40,M41,370
,,M41,M42,210
,,M42,M43,270
,,M43,M44,400
,,M44,M45,30
,,M45,M46,230
,,M46,M47,500
,,M47,M48,340
,,M48,M49,470
,,M49,M50,210
,,M50,M51,280
,,M51,M52,500
,,M52,M53,480
,,M53,M54,430
,,M54,M55,200
,,M55,M56,40
,,M56,M57,430
,,M57,M58,140
,,M58,M59,10
,,M59,M60,480
,,M60,M61,330
,,M61,M62,140
,,M62,M63,170
,,M63,M64,30
,,M64,M65,250
,,M65,M66,390
,,M66,M67,450
,,M67,M68,240
,,M68,M69,150
,,M69,M70,140
,,M70,M71,330
,,M71,M72,380
,,M72,M73,390
,,M73,M74,390
,,M74,M75,240
,,M75,M76,160
,,M76,M77,440
,,M77,M78,30
,,M78,M79,190
,,M79,M80,110
,,M80,M81,470
,,M81,M82,290
,,M82,M83,420
,,M83,M84,490
,,M84,M85,130
,,M85,M86,360
,,M86,M87,280
,,M87,M88,450
,,M88,M89,190
,,M89,M90,290
,,M90,M91,430
,,M91,M92,270
,,M92,M93,380
,,M93,M94,220
,,M94,M95,160
,,M95,M96,380
,,M96,M97,80
,,M97,M98,180
,,M98,M99,80
,,M99,M100,400
,,M100,M101,20
,,M101,M102,320
,,M102,M103,30
,,M103,M104,150
,,M104,M105,90
,,M105,M106,60
,,M106,M107,50
,,M107,M108,440
,,M108,M109,110
,,M109,M110,80
,,M110,M111,130
,,M111,M112,330
,,M112,M113,120
,,M113,M114,200
,,M114,M115,500
,,M115,M116,410
,,M116,M117,110
,,M117,M118,470
,,M118,M119,450
,,M119,M120,100
,,M120,M121,150
,,M121,M122,90
,,M122,M123,320
,,M123,M124,240
,,M124,M125,440
,,M125,M126,100
,,M126,M127,70
,,M127,M128,250
,,M128,M129,480
,,M129,M130,230
,,M130,M131,130
,,M131,M132,300
,,M132,M133,100
,,M133,M134,390
,,M134,M135,410
,,M135,M136,240
,,M136,M137,440
,,M137,M138,180
,,M138,M139,160
,,M139,M140,280
,,M140,M141,150
,,M141,M142,480
,,M142,M143,140
,,M143,M144,240
,,M144,M145,440
,,M145,M146,210
,,M146,M147,180
,,M147,M148,190
,,M148,M149,20
,,M149,M150,450
,,M150,M151,350
,,M151,M152,150
,,M152,M153,340
,,M153,M154,260
,,M154,M155,280
,,M155,M156,410
,,M156,M157,360
,,M157,M158,90
,,M158,M159,330
,,M159,M160,150
,,M160,M161,90
,,M161,M162,90
,,M162,M163,40
,,M163,M164,340
,,M164,M165,240
,,M165,M166,500
,,M166,M167,390
,,M167,M168,300
,,M168,M169,440
,,M169,M170,30
,,M170,M171,360
,,M171,M172,120
,,M172,M173,450
,,M173,M174,140
,,M174,M175,100
,,M175,M176,40
,,M176,M177,330
,,M177,M178,380
,,M178,M179,30
,,M179,M180,390
,,M180,M181,470
,,M181,M182,210
,,M182,M183,30
,,M183,M184,410
,,M184,M185,360
,,M185,M186,300
,,M186,M187,30
,,M187,M188,490
,,M188,M189,350
,,M189,M190,280
,,M190,M191,300
,,M191,M192,400
,,M192,M193,230
,,M193,M194,410
,,M194,M195,290
,,M195,M196,490
,,M196,M197,90
,,M197,M198,420
,,M198,M199,310
,,M199,M200,120
,,M200,M201,440
,,M201,M202,420
,,M202,M203,490
,,M203,M204,250
,,M204,M205,420
,,M205,M206,30
