t,t,t,t,t,t,t
1,TESTA01,TESTA01-1,B01-X01,T201-X01,1.00E-06,1.0
2,TESTA01,TESTA01-2,B01-X01,T201-X02,1.00E-06,1.0
3,TESTA01,TESTA01-3,B01-X01,T201-X03,1.00E-06,1.0
4,TESTA01,TESTA01-4,B01-X01,C01-X01,1.00E-06,1.0
5,TESTA01,TESTA01-5,B01-X01,C01-X02,1.00E-06,1.0
6,TESTA01,TESTA01-6,B01-X01,C01-X03,1.00E-06,1.0
7,TESTA01,TESTA01-7,B01-X01,T202-X01,1.00E-06,1.0
8,TESTA01,TESTA01-8,B01-X01,T202-X02,1.00E-06,1.0
9,TESTA01,TESTA01-9,B01-X01,T202-X03,1.00E-06,1.0
10,TESTA01,TESTA01-10,B01-X01,T203-X01,1.00E-06,1.0
11,TESTA01,TESTA01-11,B01-X01,T203-X02,1.00E-06,1.0
12,TESTA01,TESTA01-12,B01-X01,T203-X03,1.00E-06,1.0
13,TESTA01,TESTA01-13,B01-X01,T506-X01,1.00E-06,1.0
14,TESTA01,TESTA01-14,B01-X01,T506-X02,1.00E-06,1.0
15,TESTA01,TESTA01-15,B01-X01,T506-X03,1.00E-06,1.0
16,TESTA01,TESTA01-16,B01-X01,T253-X01,1.00E-06,1.0
17,TESTA01,TESTA01-17,B01-X01,T253-X02,1.00E-06,1.0
18,TESTA01,TESTA01-18,B01-X01,T253-X03,1.00E-06,1.0
19,TESTA01,TESTA01-19,B01-X01,T254-X01,1.00E-06,1.0
20,TESTA01,TESTA01-20,B01-X01,T254-X02,1.00E-06,1.0
21,TESTA01,TESTA01-21,B01-X01,T254-X03,1.00E-06,1.0
22,TESTA01,TESTA01-22,B01-X01,F01-X01,1.00E-06,1.0
23,TESTA01,TESTA01-23,B01-X01,F01-X02,1.00E-06,1.0
24,TESTA01,TESTA01-24,B01-X01,F01-X03,1.00E-06,1.0
25,TESTA01,TESTA01-25,B01-X01,F01-X04,1.00E-06,1.0
26,TESTA01,TESTA01-26,T204-X01,T201-X01,1.00E-06,1.0
27,TESTA01,TESTA01-27,T204-X01,T201-X02,1.00E-06,1.0
28,TESTA01,TESTA01-28,T204-X01,T201-X03,1.00E-06,1.0
29,TESTA01,TESTA01-29,T204-X01,C01-X01,1.00E-06,1.0
30,TESTA01,TESTA01-30,T204-X01,C01-X02,1.00E-06,1.0
31,TESTA01,TESTA01-31,T204-X01,C01-X03,1.00E-06,1.0
32,TESTA01,TESTA01-32,T204-X01,T202-X01,1.00E-06,1.0
33,TESTA01,TESTA01-33,T204-X01,T202-X02,1.00E-06,1.0
34,TESTA01,TESTA01-34,T204-X01,T202-X03,1.00E-06,1.0
35,TESTA01,TESTA01-35,T204-X01,T203-X01,1.00E-06,1.0
36,TESTA01,TESTA01-36,T204-X01,T203-X02,2.00E-06,1.0
37,TESTA01,TESTA01-37,T204-X01,T203-X03,2.00E-06,1.0
38,TESTA01,TESTA01-38,T204-X01,T506-X01,2.00E-06,1.0
39,TESTA01,TESTA01-39,T204-X01,T506-X02,2.00E-06,1.0
40,TESTA01,TESTA01-40,T204-X01,T506-X03,2.00E-06,1.0
41,TESTA01,TESTA01-41,T204-X01,T253-X01,2.00E-06,1.0
42,TESTA01,TESTA01-42,T204-X01,T253-X02,2.00E-06,1.0
43,TESTA01,TESTA01-43,T204-X01,T253-X03,2.00E-06,1.0
44,TESTA01,TESTA01-44,T204-X01,T254-X01,2.00E-06,1.0
45,TESTA01,TESTA01-45,T204-X01,T254-X02,2.00E-06,1.0
46,TESTA01,TESTA01-46,T204-X01,T254-X03,2.00E-06,1.0
47,TESTA01,TESTA01-47,T204-X01,F01-X01,2.00E-06,1.0
48,TESTA01,TESTA01-48,T204-X01,F01-X02,2.00E-06,1.0
49,TESTA01,TESTA01-49,T204-X01,F01-X03,2.00E-06,1.0
50,TESTA01,TESTA01-50,T204-X01,F01-X04,2.00E-06,1.0
51,TESTA01,TESTA01-51,T201-X01,T503-X01,2.00E-06,1.0
52,TESTA01,TESTA01-52,T201-X01,T503-X02,2.00E-06,1.0
53,TESTA01,TESTA01-53,T503-X02,B01-X01,2.00E-06,1.0
54,TESTA01,TESTA01-54,T253-X01,T505-X01,2.00E-06,1.0
