i,i,i,i,i,i,i,i,i,i
1,TESTA02,TESTA02-1,K210-X08,,K403-X01,,,,1e-07
2,TESTA02,TESTA02-2,K210-X08,,K140B-X04,,,,1e-07
3,TESTA02,TESTA02-3,K210-X08,,DL-2,,,,1e-07
4,TESTA02,TESTA02-4,K210-X08,,V201-X08,,,,1e-07
5,TESTA02,TESTA02-5,K210-X08,,N301H-X01,,,,1e-07
6,TESTA02,TESTA02-6,K210-X09,,K404-X03,,,,1e-07
7,TESTA02,TESTA02-7,K210-X09,,DL-3,,,,1e-07
8,TESTA02,TESTA02-8,K210-X09,,V201-X09,,,,1e-07
9,TESTA02,TESTA02-9,K210-X09,,N301A-X02,,,,1e-07
10,TESTA02,TESTA02-10,K140A-X01,,K210-X10,,,,1e-07
11,TESTA02,TESTA02-11,K140A-X01,,K403-X01,,,,1e-07
12,TESTA02,TESTA02-12,K140A-X01,,DL-4,,,,1e-07
13,TESTA02,TESTA02-13,K140A-X01,,V201-X10,,,,1e-07
14,TESTA02,TESTA02-14,K140A-X01,,N301B-X02,,,,1e-07
15,TESTA02,TESTA02-15,K140A-X02,,K210-X11,,,,1e-07
16,TESTA02,TESTA02-16,K140A-X02,,K404-X03,,,,1e-07
17,TESTA02,TESTA02-17,K140A-X02,,DL-5,,,,1e-07
18,TESTA02,TESTA02-18,K140A-X02,,V201-X11,,,,1e-07
19,TESTA02,TESTA02-19,K140A-X02,,N301C-X02,,,,1e-07
20,TESTA02,TESTA02-20,V201-X12,,K210-X12,,,,1e-07
21,TESTA02,TESTA02-21,V201-X12,,K140A-X03,,,,1e-07
22,TESTA02,TESTA02-22,V201-X12,,K140B-X03,,,,1e-07
23,TESTA02,TESTA02-23,V201-X12,,DL-6,,,,1e-07
24,TESTA02,TESTA02-24,V201-X12,,N301D-X02,,,,1e-07
25,TESTA02,TESTA02-25,DL-7,,K210-X13,,,,1e-07
26,TESTA02,TESTA02-26,DL-7,,K140A-X04,,,,1e-07
27,TESTA02,TESTA02-27,DL-7,,K140B-X04,,,,1e-07
28,TESTA02,TESTA02-28,DL-7,,V201-X13,,,,1e-07
29,TESTA02,TESTA02-29,DL-7,,N301E-X02,,,,1e-07
30,TESTA02,TESTA02-30,K403-X01,,K210-X14,,,,1e-07
31,TESTA02,TESTA02-31,K403-X01,,DL-8,,,,1e-07
32,TESTA02,TESTA02-32,K403-X01,,V201-X14,,,,1e-07
33,TESTA02,TESTA02-33,K403-X01,,N301F-X02,,,,1e-07
