id,type1,type2,source,misc,target,misc,misc,misc,weight,misc
,,,E212,,E449,,,,0.004,
,,,E654,,E655,,,,0.003,
,,,E353,,E396,,,,0.004,
,,,E471,,E577,,,,0.002,
,,,E359,,E644,,,,0.002,
,,,E434,,E465,,,,0.007,
,,,E284,,E321,,,,0.007,
,,,E392,,E585,,,,0.003,
,,,E341,,E592,,,,0.004,
,,,E581,,E632,,,,0.001,
,,,E536,,E571,,,,0.005,
,,,E330,,E637,,,,0.005,
,,,E334,,E539,,,,0.007,
,,,E376,,E643,,,,0.007,
,,,E363,,E403,,,,0.002,
,,,E441,,E456,,,,0.006,
,,,E434,,E682,,,,0.006,
,,,E451,,E603,,,,0.001,
,,,E341,,E491,,,,0.001,
,,,E561,,E698,,,,0.005,
,,,E386,,E633,,,,0.007,
,,,E481,,E482,,,,0.006,
,,,E464,,E537,,,,0.008,
,,,E603,,E690,,,,0.006,
,,,E203,,E709,,,,0.004,
,,,E310,,E626,,,,0.003,
,,,E326,,E387,,,,0.001,
,,,E592,,E718,,,,0.002,
,,,E665,,E742,,,,0.003,
,,,E403,,E611,,,,0.008,
,,,E445,,E560,,,,0.006,
,,,E638,,E655,,,,0.004,
,,,E491,,E498,,,,0.001,
,,,E331,,E504,,,,0.003,
,,,E423,,E619,,,,0.008,
,,,E217,,E256,,,,0.002,
,,,E287,,E596,,,,0.007,
,,,E190,,E223,,,,0.006,
,,,E216,,E250,,,,0.009,
,,,E201,,E277,,,,0.008,
,,,E527,,E533,,,,0.008,
,,,E549,,E718,,,,0.004,
,,,E387,,E740,,,,0.005,
,,,E287,,E648,,,,0.007,
,,,E225,,E587,,,,0.004,
,,,E231,,E304,,,,0.002,
,,,E430,,E496,,,,0.002,
,,,E276,,E316,,,,0.003,
,,,E310,,E706,,,,0.008,
,,,E450,,E711,,,,0.006,
,,,E576,,E739,,,,0.009,
,,,E493,,E663,,,,0.004,
,,,E568,,E730,,,,0.007,
,,,E266,,E274,,,,0.005,
,,,E590,,E646,,,,0.002,
,,,E371,,E748,,,,0.007,
,,,E259,,E318,,,,0.007,
,,,E203,,E562,,,,0.003,
,,,E532,,E682,,,,0.009,
,,,E655,,E725,,,,0.001,
,,,E404,,E706,,,,0.006,
,,,E564,,E745,,,,0.009,
,,,E346,,E687,,,,0.003,
,,,E358,,E500,,,,0.008,
,,,E538,,E560,,,,0.002,
,,,E219,,E317,,,,0.008,
,,,E517,,E625,,,,0.001,
,,,E513,,E636,,,,0.002,
,,,E557,,E744,,,,0.008,
,,,E463,,E580,,,,0.007,
,,,E371,,E642,,,,0.001,
,,,E330,,E481,,,,0.009,
,,,E203,,E307,,,,0.006,
,,,E496,,E532,,,,0.003,
