t,t,t,t,t,t
B01-X01,T201-X01,6370.158,TESTA01-1,TESTA01,
B01-X01,T201-X02,6489.589,TESTA01-2,TESTA01,
B01-X01,T201-X03,6460.736,TESTA01-3,TESTA01,
B01-X01,C01-X01,8244.818,TESTA01-4,TESTA01,
B01-X01,C01-X02,8214.229,TESTA01-5,TESTA01,
B01-X01,C01-X03,8230.556,TESTA01-6,TESTA01,
B01-X01,T202-X01,9391.584,TESTA01-7,TESTA01,
B01-X01,T202-X02,9303.304,TESTA01-8,TESTA01,
B01-X01,T202-X03,9302.902,TESTA01-9,TESTA01,
B01-X01,T203-X01,3777.466,TESTA01-10,TESTA01,
B01-X01,T203-X02,3678.441,TESTA01-11,TESTA01,
B01-X01,T203-X03,3641.439,TESTA01-12,TESTA01,
B01-X01,T506-X01,4295.881,TESTA01-13,TESTA01,
B01-X01,T506-X02,4376.436,TESTA01-14,TESTA01,
B01-X01,T506-X03,4306.555,TESTA01-15,TESTA01,
B01-X01,T253-X01,14955.506,TESTA01-16,TESTA01,
B01-X01,T253-X02,15046.651,TESTA01-17,TESTA01,
B01-X01,T253-X03,14815.716,TESTA01-18,TESTA01,
B01-X01,T254-X01,13308.256,TESTA01-19,TESTA01,
B01-X01,T254-X02,12868.93,TESTA01-20,TESTA01,
B01-X01,T254-X03,12945.817,TESTA01-21,TESTA01,
B01-X01,F01-X01,8546.948,TESTA01-22,TESTA01,
B01-X01,F01-X02,8669.576,TESTA01-23,TESTA01,
B01-X01,F01-X03,8516.904,TESTA01-24,TESTA01,
B01-X01,F01-X04,8635.855,TESTA01-25,TESTA01,
T204-X01,T201-X01,9598.505,TESTA01-26,TESTA01,
T204-X01,T201-X02,9715.181,TESTA01-27,TESTA01,
T204-X01,T201-X03,9715.756,TESTA01-28,TESTA01,
T204-X01,C01-X01,8916.023,TESTA01-29,TESTA01,
T204-X01,C01-X02,8904.734,TESTA01-30,TESTA01,
T204-X01,C01-X03,8897.994,TESTA01-31,TESTA01,
T204-X01,T202-X01,7464.711,TESTA01-32,TESTA01,
T204-X01,T202-X02,7370.46,TESTA01-33,TESTA01,
T204-X01,T202-X03,7372.442,TESTA01-34,TESTA01,
T204-X01,T203-X01,6166.857,TESTA01-35,TESTA01,
T204-X01,T203-X02,6068.916,TESTA01-36,TESTA01,
T204-X01,T203-X03,6031.775,TESTA01-37,TESTA01,
T204-X01,T506-X01,4550.539,TESTA01-38,TESTA01,
T204-X01,T506-X02,4469.603,TESTA01-39,TESTA01,
T204-X01,T506-X03,4523.706,TESTA01-40,TESTA01,
T204-X01,T253-X01,8533.033,TESTA01-41,TESTA01,
T204-X01,T253-X02,8620.521,TESTA01-42,TESTA01,
T204-X01,T253-X03,8383.851,TESTA01-43,TESTA01,
T204-X01,T254-X01,6883.258,TESTA01-44,TESTA01,
T204-X01,T254-X02,6441.201,TESTA01-45,TESTA01,
T204-X01,T254-X03,6527.8,TESTA01-46,TESTA01,
T204-X01,F01-X01,1729.482,TESTA01-47,TESTA01,
T204-X01,F01-X02,1847.194,TESTA01-48,TESTA01,
T204-X01,F01-X03,1703.234,TESTA01-49,TESTA01,
T204-X01,F01-X04,1821.702,TESTA01-50,TESTA01,
T201-X01,T503-X01,6073.808,TESTA01-51,TESTA01,
T201-X01,T503-X02,5985.558,TESTA01-52,TESTA01,
