t,t,t,t,t
1,TESTA01,M63,M62,220
2,TESTA01,M95,M96,60
3,TESTA01,M97,T201-X03,460
4,TESTA01,M126,T202-X03,390
5,TESTA01,M89,T203-X02,460
6,TESTA01,M89,T203-X03,360
7,TESTA01,M59,T506-X01,280
8,TESTA01,M113,C01-X01,360
9,TESTA01,M113,C01-X02,330
10,TESTA01,M113,C01-X03,320
11,TESTA01,M126,T202-X02,390
12,TESTA01,T507-X05,M122,320
13,TESTA01,M120,C02-X06,290
14,TESTA01,M120,C02-X07,380
15,TESTA01,M120,C02-X08,420
16,TESTA01,M47,M48,190
17,TESTA01,M48,T251-X03,300
18,TESTA01,T253-X03,M42,480
19,TESTA01,M42,M41,60
20,TESTA01,T503-X02,M27,430
21,TESTA01,M98,M99,270
22,TESTA01,M102,M103,330
23,TESTA01,M104,B01-X01,590
24,TESTA01,T201-X01,M96,540
25,TESTA01,C01-X04,M113,310
26,TESTA01,M115,C03-X01,380
27,TESTA01,M38,C05-X01,340
28,TESTA01,M25,C06-X04,310
29,TESTA01,M34,D01-X02,370
30,TESTA01,M25,C06-X03,260
31,TESTA01,M118,C03-X04,300
32,TESTA01,M73,C04-X01,1540
33,TESTA01,M75,M76,200
34,TESTA01,M76,C04-X03,330
35,TESTA01,M115,M116,80
36,TESTA01,M38,C05-X02,270
37,TESTA01,M115,C03-X02,310
38,TESTA01,M38,C05-X03,370
39,TESTA01,M59,T506-X03,330
40,TESTA01,M34,D01-X03,380
41,TESTA01,M31,C06-X01,370
42,TESTA01,M76,C04-X04,400
43,TESTA01,M76,C04-X05,370
44,TESTA01,M31,C06-X02,330
45,TESTA01,M34,D01-X01,420
46,TESTA01,M115,C03-X03,330
47,TESTA01,M74,C04-X02,400
48,TESTA01,T402-X01,M92,590
49,TESTA01,M98,M106,350
50,TESTA01,M106,T301-X01,800
51,TESTA01,M43,M44,170
52,TESTA01,M44,M45,160
53,TESTA01,M81,M82,90
54,TESTA01,M82,M83,90
55,TESTA01,M83,B02-X02,530
56,TESTA01,M43,T254-X02,500
57,TESTA01,T204-X06,M67,420
58,TESTA01,M120,C02-X01,380
59,TESTA01,M104,B01-X02,520
60,TESTA01,M82,B02-X03,530
61,TESTA01,M106,M107,130
62,TESTA01,M107,T301-X02,770
63,TESTA01,M120,C02-X02,360
64,TESTA01,M120,C02-X03,350
65,TESTA01,M10,M11,600
66,TESTA01,M12,M13,120
67,TESTA01,M13,F01-X04,340
68,TESTA01,M97,T201-X02,500
69,TESTA01,M13,F01-X02,370
