id,type,source,target,weight
,,M0,M1,50
,,M1,M2,90
,,M2,M3,480
,,M3,M4,90
,,M4,M5,500
,,M5,M6,200
,,M6,M7,430
,,M7,M8,50
,,M8,M9,70
,,M9,M10,330
,,M10,M11,330
,,M11,M12,390
,,M12,M13,50
,,M13,M14,280
,,M14,M15,300
,,M15,M16,20
,,M16,M17,60
,,M17,M18,260
,,M18,M19,80
,,M19,M20,400
,,M20,M21,430
,,M21,M22,280
,,M22,M23,120
,,M23,M24,350
,,M24,M25,360
,,M25,M26,200
,,M26,M27,210
,,M27,M28,190
,,M28,M29,440
,,M29,M30,120
,,M30,M31,50
,,M31,M32,180
,,M32,M33,410
,,M33,M34,230
,,M34,M35,370
,,M35,M36,350
,,M36,M37,110
,,M37,M38,150
,,M38,M39,110
,,M39,M40,490
,,M40,M41,170
,,M41,M42,420
,,M42,M43,350
,,M43,M44,150
,,M44,M45,450
,,M45,M46,190
,,M46,M47,200
,,M47,M48,70
,,M48,M49,160
,,M49,M50,160
,,M50,M51,110
,,M51,M52,310
,,M52,M53,80
,,M53,M54,210
,,M54,M55,470
,,M55,M56,470
,,M56,M57,470
,,M57,M58,180
,,M58,M59,370
,,M59,M60,80
,,M60,M61,460
,,M61,M62,160
,,M62,M63,480
,,M63,M64,70
,,M64,M65,160
,,M65,M66,340
,,M66,M67,170
,,M67,M68,400
,,M68,M69,130
,,M69,M70,10
,,M70,M71,360
,,M71,M72,380
,,M72,M73,170
,,M73,M74,440
,,M74,M75,500
,,M75,M76,440
,,M76,M77,180
,,M77,M78,360
,,M78,M79,300
,,M79,M80,140
,,M80,M81,280
,,M81,M82,500
,,M82,M83,360
,,M83,M84,430
,,M84,M85,60
,,M85,M86,80
,,M86,M87,180
,,M87,M88,410
,,M88,M89,100
,,M89,M90,60
,,M90,M91,200
,,M91,M92,60
,,M92,M93,200
,,M93,M94,460
,,M94,M95,190
,,M95,M96,80
,,M96,M97,250
,,M97,M98,150
,,M98,M99,370
,,M99,M100,20
,,M100,M101,120
,,M101,M102,250
,,M102,M103,110
,,M103,M104,410
,,M104,M105,410
,,M105,M106,370
,,M106,M107,450
,,M107,M108,440
,,M108,M109,500
,,M109,M110,450
,,M110,M111,20
,,M111,M112,310
,,M112,M113,280
,,M113,M114,430
,,M114,M115,30
,,M115,M116,370
,,M116,M117,100
,,M117,M118,150
,,M118,M119,260
,,M119,M120,370
,,M120,M121,120
,,M121,M122,250
,,M122,M123,240
,,M123,M124,70
,,M124,M125,200
,,M125,M126,290
,,M126,M127,180
,,M127,M128,30
,,M128,M129,60
,,M129,M130,180
,,M130,M131,430
,,M131,M132,370
,,M132,M133,450
,,M133,M134,30
,,M134,M135,480
,,M135,M136,450
,,M136,M137,130
,,M137,M138,330
,,M138,M139,290
,,M139,M140,290
,,M140,M141,100
,,M141,M142,220
,,M142,M143,230
,,M143,M144,330
,,M144,M145,200
,,M145,M146,420
,,M146,M147,80
,,M147,M148,490
,,M148,M149,170
,,M149,M150,440
,,M150,M151,30
,,M151,M152,20
,,M152,M153,420
,,M153,M154,220
,,M154,M155,280
,,M120,E156,30
,,M60,E157,360
,,M91,E158,460
,,M119,E159,440
,,M42,E160,210
,,M112,E161,140
,,M28,E162,120
,,M147,E163,310
,,M107,E164,390
,,M61,E165,400
,,M141,E166,230
,,M139,E167,320
,,M97,E168,350
,,M118,E169,410
,,M45,E170,220
,,M97,E171,310
,,M132,E172,90
,,M21,E173,490
,,M121,E174,230
,,M134,E175,460
,,M123,E176,430
,,M46,E177,70
,,M142,E178,110
,,M84,E179,90
,,M67,E180,150
,,M69,E181,300
,,M66,E182,60
,,M115,E183,190
,,M81,E184,100
,,M35,E185,150
,,M37,E186,20
,,M16,E187,230
,,M8,E188,150
,,M105,E189,200
,,M106,E190,350
,,M87,E191,320
,,M105,E192,20
,,M88,E193,270
,,M19,E194,320
,,M65,E195,140
,,M32,E196,430
,,M60,E197,300
,,M102,E198,330
,,M154,E199,150
,,M20,E200,440
,,M144,E201,420
,,M139,E202,250
,,M77,E203,420
,,M94,E204,380
,,M76,E205,10
,,M32,E206,220
,,M117,E207,220
,,M85,E208,100
,,M111,E209,250
,,M72,E210,110
,,M150,E211,330
,,M54,E212,150
,,M122,E213,200
,,M101,E214,230
,,M141,E215,280
,,M75,E216,230
,,M34,E217,40
,,M61,E218,340
,,M53,E219,480
,,M35,E220,50
,,M143,E221,380
,,M89,E222,350
,,M70,E223,500
,,M40,E224,350
,,M151,E225,290
,,M97,E226,240
,,M26,E227,130
,,M96,E228,130
,,M146,E229,240
,,M94,E230,170
,,M134,E231,200
,,M73,E232,420
,,M56,E233,160
,,M5,E234,140
,,M137,E235,400
,,M133,E236,400
,,M130,E237,450
,,M62,E238,170
,,M12,E239,30
,,M114,E240,200
,,M57,E241,300
,,M74,E242,500
,,M89,E243,330
,,M128,E244,70
,,M144,E245,430
,,M46,E246,170
,,M57,E247,250
,,M8,E248,100
,,M19,E249,450
,,M27,E250,320
,,M64,E251,440
,,M128,E252,20
,,M100,E253,50
,,M45,E254,50
,,M115,E255,500
,,M122,E256,20
,,M62,E257,400
,,M50,E258,160
,,M35,E259,450
,,M13,E260,130
,,M46,E261,210
,,M143,E262,150
,,M17,E263,360
,,M100,E264,480
,,M48,E265,20
,,M53,E266,480
,,M151,E267,290
,,M109,E268,170
,,M78,E269,320
,,M55,E270,20
,,M5,E271,460
,,M8,E272,250
,,M64,E273,180
,,M89,E274,160
,,M9,E275,400
,,M24,E276,250
,,M10,E277,20
,,M78,E278,460
,,M2,E279,240
,,M154,E280,140
,,M132,E281,220
,,M66,E282,120
,,M115,E283,220
,,M26,E284,240
,,M112,E285,130
,,M128,E286,460
,,M49,E287,70
,,M15,E288,60
,,M89,E289,340
,,M113,E290,410
,,M73,E291,280
,,M62,E292,440
,,M142,E293,170
,,M65,E294,80
,,M115,E295,290
,,M150,E296,390
,,M32,E297,500
,,M5,E298,110
,,M38,E299,340
,,M69,E300,370
,,M98,E301,440
,,M150,E302,340
,,M28,E303,360
,,M113,E304,10
,,M85,E305,270
,,M125,E306,130
,,M113,E307,150
,,M92,E308,150
,,M144,E309,30
,,M134,E310,90
,,M12,E311,190
,,M71,E312,180
,,M115,E313,20
,,M151,E314,220
,,M134,E315,360
,,M1,E316,390
,,M94,E317,100
,,M120,E318,270
,,M133,E319,350
,,M94,E320,270
,,M20,E321,260
,,M66,E322,150
,,M23,E323,100
,,M14,E324,180
,,M58,E325,340
,,M86,E326,230
,,M13,E327,400
,,M24,E328,320
,,M133,E329,460
,,M107,E330,30
,,M80,E331,20
,,M63,E332,270
,,M78,E333,230
,,M66,E334,290
,,M0,E335,240
,,M81,E336,70
,,M64,E337,460
,,M56,E338,320
,,M11,E339,500
,,M24,E340,200
,,M59,E341,390
,,M113,E342,50
,,M19,E343,360
,,M93,E344,100
,,M22,E345,230
,,M118,E346,20
,,M93,E347,460
,,M91,E348,380
,,M71,E349,270
,,M9,E350,50
,,M52,E351,210
,,M152,E352,40
,,M108,E353,270
,,M137,E354,190
,,M146,E355,310
,,M114,E356,70
,,M81,E357,500
,,M124,E358,180
,,M5,E359,110
,,M51,E360,340
,,M126,E361,360
,,M3,E362,20
,,M142,E363,460
,,M10,E364,70
,,M66,E365,80
