i,i,i,i,i,i,i
1,TESTA01,TESTA01-1,B01-X01,T201-X01,1.00E-06,
2,TESTA01,TESTA01-2,B01-X01,T201-X02,1.00E-06,
3,TESTA01,TESTA01-3,B01-X01,T201-X03,1.00E-06,
4,TESTA01,TESTA01-4,B01-X01,C01-X01,1.00E-06,
5,TESTA01,TESTA01-5,B01-X01,C01-X02,1.00E-06,
6,TESTA01,TESTA01-6,B01-X01,C01-X03,1.00E-06,
7,TESTA01,TESTA01-7,B01-X01,T202-X01,1.00E-06,
8,TESTA01,TESTA01-8,B01-X01,T202-X02,1.00E-06,
9,TESTA01,TESTA01-9,B01-X01,T202-X03,1.00E-06,
10,TESTA01,TESTA01-10,B01-X01,T203-X01,1.00E-06,
11,TESTA01,TESTA01-11,B01-X01,T203-X02,1.00E-06,
12,TESTA01,TESTA01-12,B01-X01,T203-X03,1.00E-06,
13,TESTA01,TESTA01-13,B01-X01,T506-X01,1.00E-06,
14,TESTA01,TESTA01-14,B01-X01,T506-X02,1.00E-06,
15,TESTA01,TESTA01-15,B01-X01,T506-X03,1.00E-06,
16,TESTA01,TESTA01-16,B01-X01,T253-X01,1.00E-06,
17,TESTA01,TESTA01-17,B01-X01,T253-X02,1.00E-06,
18,TESTA01,TESTA01-18,B01-X01,T253-X03,1.00E-06,
19,TESTA01,TESTA01-19,B01-X01,T254-X01,1.00E-06,
20,TESTA01,TESTA01-20,B01-X01,T254-X02,1.00E-06,
21,TESTA01,TESTA01-21,B01-X01,T254-X03,1.00E-06,
22,TESTA01,TESTA01-22,B01-X01,F01-X01,1.00E-06,
23,TESTA01,TESTA01-23,B01-X01,F01-X02,1.00E-06,
24,TESTA01,TESTA01-24,B01-X01,F01-X03,1.00E-06,
25,TESTA01,TESTA01-25,B01-X01,F01-X04,1.00E-06,
26,TESTA01,TESTA01-26,T204-X01,T201-X01,1.00E-06,
27,TESTA01,TESTA01-27,T204-X01,T201-X02,1.00E-06,
28,TESTA01,TESTA01-28,T204-X01,T201-X03,1.00E-06,
29,TESTA01,TESTA01-29,T204-X01,C01-X01,1.00E-06,
30,TESTA01,TESTA01-30,T204-X01,C01-X02,1.00E-06,
31,TESTA01,TESTA01-31,T204-X01,C01-X03,1.00E-06,
32,TESTA01,TESTA01-32,T204-X01,T202-X01,1.00E-06,
33,TESTA01,TESTA01-33,T204-X01,T202-X02,1.00E-06,
34,TESTA01,TESTA01-34,T204-X01,T202-X03,1.00E-06,
35,TESTA01,TESTA01-35,T204-X01,T203-X01,1.00E-06,
36,TESTA01,TESTA01-36,T204-X01,T203-X02,2.00E-06,
37,TESTA01,TESTA01-37,T204-X01,T203-X03,2.00E-06,
38,TESTA01,TESTA01-38,T204-X01,T506-X01,2.00E-06,
39,TESTA01,TESTA01-39,T204-X01,T506-X02,2.00E-06,
40,TESTA01,TESTA01-40,T204-X01,T506-X03,2.00E-06,
