id,type1,type2,source,misc,target,misc,misc,misc,weight,misc
,,,E526,,E992,,,,0.009,
,,,E1201,,E658,,,,0.005,
,,,E727,,E814,,,,0.008,
,,,E1137,,E1264,,,,0.005,
,,,E1031,,E722,,,,0.005,
,,,E1305,,E1333,,,,0.005,
,,,E1156,,E625,,,,0.001,
,,,E360,,E733,,,,0.002,
,,,E775,,E893,,,,0.001,
,,,E1346,,E794,,,,0.001,
,,,E1251,,E849,,,,0.007,
,,,E1253,,E1345,,,,0.008,
,,,E1042,,E848,,,,0.008,
,,,E1059,,E809,,,,0.001,
,,,E1308,,E674,,,,0.001,
,,,E1168,,E1290,,,,0.003,
,,,E1107,,E679,,,,0.002,
,,,E1138,,E509,,,,0.008,
,,,E1253,,E746,,,,0.001,
,,,E1013,,E608,,,,0.004,
,,,E1039,,E988,,,,0.008,
,,,E508,,E707,,,,0.007,
,,,E1110,,E825,,,,0.006,
,,,E1167,,E816,,,,0.001,
,,,E1010,,E390,,,,0.008,
,,,E1336,,E407,,,,0.006,
,,,E345,,E356,,,,0.005,
,,,E646,,E949,,,,0.008,
,,,E1152,,E1166,,,,0.005,
,,,E553,,E891,,,,0.003,
,,,E1324,,E901,,,,0.009,
,,,E1023,,E1209,,,,0.003,
,,,E761,,E899,,,,0.006,
,,,E1234,,E683,,,,0.003,
,,,E1353,,E924,,,,0.001,
,,,E1000,,E1335,,,,0.004,
,,,E448,,E671,,,,0.006,
,,,E1010,,E785,,,,0.003,
,,,E1175,,E567,,,,0.009,
,,,E1103,,E1325,,,,0.009,
,,,E1025,,E504,,,,0.007,
,,,E1073,,E1107,,,,0.005,
,,,E1216,,E1246,,,,0.004,
,,,E795,,E903,,,,0.004,
,,,E1174,,E1195,,,,0.003,
,,,E426,,E682,,,,0.008,
,,,E620,,E931,,,,0.003,
,,,E610,,E689,,,,0.007,
,,,E582,,E775,,,,0.005,
,,,E1088,,E799,,,,0.002,
,,,E1021,,E1143,,,,0.001,
,,,E673,,E829,,,,0.008,
,,,E1310,,E854,,,,0.003,
,,,E394,,E496,,,,0.009,
,,,E1079,,E1138,,,,0.005,
,,,E1090,,E560,,,,0.004,
,,,E1032,,E695,,,,0.001,
,,,E1083,,E716,,,,0.007,
,,,E533,,E795,,,,0.004,
,,,E402,,E869,,,,0.007,
,,,E1299,,E833,,,,0.007,
,,,E1061,,E522,,,,0.002,
,,,E1062,,E747,,,,0.005,
,,,E1149,,E411,,,,0.009,
,,,E1022,,E1097,,,,0.009,
,,,E1027,,E1051,,,,0.004,
,,,E1279,,E555,,,,0.005,
,,,E675,,E872,,,,0.007,
,,,E404,,E739,,,,0.006,
,,,E495,,E781,,,,0.008,
,,,E1367,,E1373,,,,0.002,
,,,E1299,,E428,,,,0.002,
,,,E598,,E899,,,,0.008,
,,,E1046,,E609,,,,0.006,
,,,E1034,,E392,,,,0.001,
,,,E491,,E520,,,,0.004,
,,,E1153,,E774,,,,0.004,
,,,E1144,,E416,,,,0.001,
,,,E1088,,E642,,,,0.004,
,,,E654,,E948,,,,0.003,
,,,E428,,E469,,,,0.004,
,,,E419,,E794,,,,0.004,
,,,E651,,E672,,,,0.003,
,,,E1195,,E902,,,,0.002,
,,,E651,,E700,,,,0.002,
,,,E1086,,E584,,,,0.003,
,,,E646,,E783,,,,0.004,
,,,E819,,E835,,,,0.003,
,,,E1062,,E1154,,,,0.003,
,,,E1039,,E762,,,,0.008,
,,,E1321,,E958,,,,0.009,
,,,E368,,E505,,,,0.001,
,,,E1217,,E767,,,,0.008,
,,,E1132,,E1354,,,,0.009,
,,,E656,,E683,,,,0.007,
,,,E1203,,E939,,,,0.006,
,,,E1056,,E653,,,,0.007,
,,,E615,,E907,,,,0.004,
,,,E1279,,E1295,,,,0.004,
,,,E1054,,E803,,,,0.004,
,,,E1182,,E883,,,,0.001,
,,,E1274,,E701,,,,0.006,
,,,E1190,,E356,,,,0.003,
,,,E703,,E739,,,,0.008,
,,,E477,,E723,,,,0.008,
,,,E1269,,E561,,,,0.003,
,,,E1163,,E929,,,,0.004,
,,,E1313,,E884,,,,0.003,
,,,E1203,,E653,,,,0.004,
,,,E1052,,E834,,,,0.001,
,,,E428,,E950,,,,0.005,
,,,E1232,,E884,,,,0.004,
,,,E1334,,E790,,,,0.002,
,,,E465,,E734,,,,0.004,
,,,E1353,,E453,,,,0.004,
,,,E1196,,E445,,,,0.008,
,,,E1136,,E1262,,,,0.005,
,,,E1132,,E568,,,,0.009,
,,,E1116,,E772,,,,0.008,
,,,E1217,,E475,,,,0.003,
,,,E669,,E685,,,,0.007,
,,,E919,,E980,,,,0.006,
,,,E1240,,E698,,,,0.007,
,,,E1037,,E997,,,,0.008,
,,,E1284,,E985,,,,0.006,
,,,E1327,,E988,,,,0.003,
,,,E383,,E941,,,,0.004,
,,,E1343,,E395,,,,0.006,
,,,E1048,,E914,,,,0.002,
,,,E1252,,E728,,,,0.001,
