id,scenario,source,target,length
1,SYN_SYN_LARGE_S101,N0,N1,377
2,SYN_SYN_LARGE_S101,N1,N2,179
3,SYN_SYN_LARGE_S101,N2,N3,356
4,SYN_SYN_LARGE_S101,N3,N4,263
5,SYN_SYN_LARGE_S101,N4,N5,319
6,SYN_SYN_LARGE_S101,N5,N6,104
7,SYN_SYN_LARGE_S101,N6,N7,419
8,SYN_SYN_LARGE_S101,N7,N8,337
9,SYN_SYN_LARGE_S101,N8,N9,189
10,SYN_SYN_LARGE_S101,N9,N10,388
11,SYN_SYN_LARGE_S101,N10,N11,193
12,SYN_SYN_LARGE_S101,N11,N12,227
13,SYN_SYN_LARGE_S101,N12,N13,328
14,SYN_SYN_LARGE_S101,N13,N14,434
15,SYN_SYN_LARGE_S101,N14,N15,480
16,SYN_SYN_LARGE_S101,N15,N16,188
17,SYN_SYN_LARGE_S101,N16,N17,248
18,SYN_SYN_LARGE_S101,N17,N18,304
19,SYN_SYN_LARGE_S101,N18,N19,116
20,SYN_SYN_LARGE_S101,N19,N20,210
21,SYN_SYN_LARGE_S101,N20,N21,178
22,SYN_SYN_LARGE_S101,N21,N22,162
23,SYN_SYN_LARGE_S101,N22,N23,125
24,SYN_SYN_LARGE_S101,N23,N24,307
25,SYN_SYN_LARGE_S101,N24,N25,474
26,SYN_SYN_LARGE_S101,N25,N26,355
27,SYN_SYN_LARGE_S101,N26,N27,267
28,SYN_SYN_LARGE_S101,N27,N28,178
29,SYN_SYN_LARGE_S101,N28,N29,321
30,SYN_SYN_LARGE_S101,N29,N30,482
31,SYN_SYN_LARGE_S101,N30,N31,246
32,SYN_SYN_LARGE_S101,N31,N32,202
33,SYN_SYN_LARGE_S101,N32,N33,406
34,SYN_SYN_LARGE_S101,N33,N34,485
35,SYN_SYN_LARGE_S101,N34,N35,286
36,SYN_SYN_LARGE_S101,N35,N36,296
37,SYN_SYN_LARGE_S101,N36,N37,186
38,SYN_SYN_LARGE_S101,N37,N38,112
39,SYN_SYN_LARGE_S101,N38,N39,300
40,SYN_SYN_LARGE_S101,N39,N40,319
41,SYN_SYN_LARGE_S101,N40,N41,235
42,SYN_SYN_LARGE_S101,N41,N42,188
43,SYN_SYN_LARGE_S101,N42,N43,136
44,SYN_SYN_LARGE_S101,N43,N44,413
45,SYN_SYN_LARGE_S101,N44,N45,399
46,SYN_SYN_LARGE_S101,N45,N46,428
47,SYN_SYN_LARGE_S101,N46,N47,248
48,SYN_SYN_LARGE_S101,N47,N48,420
49,SYN_SYN_LARGE_S101,N48,N49,216
50,SYN_SYN_LARGE_S101,N49,N50,282
51,SYN_SYN_LARGE_S101,N50,N51,480
52,SYN_SYN_LARGE_S101,N51,N52,274
53,SYN_SYN_LARGE_S101,N52,N53,197
54,SYN_SYN_LARGE_S101,N53,N54,296
55,SYN_SYN_LARGE_S101,N54,N55,119
56,SYN_SYN_LARGE_S101,N55,N56,287
57,SYN_SYN_LARGE_S101,N56,N57,461
58,SYN_SYN_LARGE_S101,N57,N58,422
59,SYN_SYN_LARGE_S101,N58,N59,294
60,SYN_SYN_LARGE_S101,N25,N53,432
61,SYN_SYN_LARGE_S101,N51,N59,480
62,SYN_SYN_LARGE_S101,N7,N48,381
63,SYN_SYN_LARGE_S101,N4,N49,204
64,SYN_SYN_LARGE_S101,N0,N51,236
65,SYN_SYN_LARGE_S101,N26,N49,276
66,SYN_SYN_LARGE_S101,N12,N23,401
67,SYN_SYN_LARGE_S101,N21,N26,107
68,SYN_SYN_LARGE_S101,N8,N42,157
69,SYN_SYN_LARGE_S101,N11,N31,292
70,SYN_SYN_LARGE_S101,N12,N52,186
71,SYN_SYN_LARGE_S101,N17,N50,273
72,SYN_SYN_LARGE_S101,N15,N43,331
73,SYN_SYN_LARGE_S101,N0,N18,202
74,SYN_SYN_LARGE_S101,N1,N20,303
75,SYN_SYN_LARGE_S101,N12,N34,175
76,SYN_SYN_LARGE_S101,N16,N29,218
77,SYN_SYN_LARGE_S101,N9,N12,332
78,SYN_SYN_LARGE_S101,N17,N40,308
79,SYN_SYN_LARGE_S101,N24,N28,222
80,SYN_SYN_LARGE_S101,N21,N45,132
81,SYN_SYN_LARGE_S101,N44,N51,287
82,SYN_SYN_LARGE_S101,N32,N47,450
83,SYN_SYN_LARGE_S101,N33,N44,481
84,SYN_SYN_LARGE_S101,N34,N41,290
85,SYN_SYN_LARGE_S101,N8,N20,381
86,SYN_SYN_LARGE_S101,N5,N45,380
87,SYN_SYN_LARGE_S101,N1,N9,304
88,SYN_SYN_LARGE_S101,N35,N50,313
89,SYN_SYN_LARGE_S101,N21,N57,91
90,SYN_SYN_LARGE_S101,N40,N43,408
91,SYN_SYN_LARGE_S101,N13,N52,209
92,SYN_SYN_LARGE_S101,N5,N46,466
93,SYN_SYN_LARGE_S101,N22,N37,457
94,SYN_SYN_LARGE_S101,N24,N47,300
95,SYN_SYN_LARGE_S101,N14,N47,309
96,SYN_SYN_LARGE_S101,N16,N18,345
97,SYN_SYN_LARGE_S101,N24,N58,189
98,SYN_SYN_LARGE_S101,N12,N56,146
99,SYN_SYN_LARGE_S101,N19,N50,170
100,SYN_SYN_LARGE_S101,N4,N44,399
101,SYN_SYN_LARGE_S101,N31,N45,169
102,SYN_SYN_LARGE_S101,N32,N55,439
103,SYN_SYN_LARGE_S101,N2,N18,117
104,SYN_SYN_LARGE_S101,N17,N42,113
105,SYN_SYN_LARGE_S101,N3,N9,399
106,SYN_SYN_LARGE_S101,N21,N58,455
107,SYN_SYN_LARGE_S101,N26,N55,134
108,SYN_SYN_LARGE_S101,N0,N34,137
109,SYN_SYN_LARGE_S101,N55,N58,461
110,SYN_SYN_LARGE_S101,N20,N59,411
111,SYN_SYN_LARGE_S101,N6,N18,236
112,SYN_SYN_LARGE_S101,N39,N50,297
113,SYN_SYN_LARGE_S101,N29,N32,458
114,SYN_SYN_LARGE_S101,N1,N31,361
115,SYN_SYN_LARGE_S101,N31,N39,287
116,SYN_SYN_LARGE_S101,N8,N28,148
117,SYN_SYN_LARGE_S101,N6,N33,416
118,SYN_SYN_LARGE_S101,N2,N48,344
119,SYN_SYN_LARGE_S101,N5,N26,449
120,SYN_SYN_LARGE_S101,E0,N42,164
121,SYN_SYN_LARGE_S101,E1,N0,97
122,SYN_SYN_LARGE_S101,E2,N8,146
123,SYN_SYN_LARGE_S101,E3,N23,219
124,SYN_SYN_LARGE_S101,E4,N37,91
125,SYN_SYN_LARGE_S101,E5,N26,33
126,SYN_SYN_LARGE_S101,E6,N25,227
127,SYN_SYN_LARGE_S101,E7,N42,117
128,SYN_SYN_LARGE_S101,E8,N15,129
129,SYN_SYN_LARGE_S101,E9,N18,75
130,SYN_SYN_LARGE_S101,E10,N29,66
131,SYN_SYN_LARGE_S101,E11,N59,138
132,SYN_SYN_LARGE_S101,E12,N25,104
133,SYN_SYN_LARGE_S101,E13,N4,43
134,SYN_SYN_LARGE_S101,E14,N14,232
135,SYN_SYN_LARGE_S101,E15,N33,236
136,SYN_SYN_LARGE_S101,E16,N31,194
137,SYN_SYN_LARGE_S101,E17,N58,166
138,SYN_SYN_LARGE_S101,E18,N58,90
139,SYN_SYN_LARGE_S101,E19,N46,115
140,SYN_SYN_LARGE_S101,L0000A,E10,53
141,SYN_SYN_LARGE_S101,L0000B,E17,83
142,SYN_SYN_LARGE_S101,L0001A,E0,31
143,SYN_SYN_LARGE_S101,L0001B,E16,22
144,SYN_SYN_LARGE_S101,L0002A,E4,34
145,SYN_SYN_LARGE_S101,L0002B,E15,54
146,SYN_SYN_LARGE_S101,L0003A,E7,47
147,SYN_SYN_LARGE_S101,L0003B,E14,56
148,SYN_SYN_LARGE_S101,L0004A,E4,80
149,SYN_SYN_LARGE_S101,L0004B,E11,36
150,SYN_SYN_LARGE_S101,L0005A,E11,100
151,SYN_SYN_LARGE_S101,L0005B,E14,43
152,SYN_SYN_LARGE_S101,L0006A,E6,12
153,SYN_SYN_LARGE_S101,L0006B,E12,98
154,SYN_SYN_LARGE_S101,L0007A,E9,23
155,SYN_SYN_LARGE_S101,L0007B,E11,95
156,SYN_SYN_LARGE_S101,L0008A,E2,92
157,SYN_SYN_LARGE_S101,L0008B,E15,86
158,SYN_SYN_LARGE_S101,L0009A,E0,51
159,SYN_SYN_LARGE_S101,L0009B,E7,25
160,SYN_SYN_LARGE_S101,L0010A,E8,58
161,SYN_SYN_LARGE_S101,L0010B,E9,87
162,SYN_SYN_LARGE_S101,L0011A,E2,58
163,SYN_SYN_LARGE_S101,L0011B,E8,40
164,SYN_SYN_LARGE_S101,L0012A,E3,21
165,SYN_SYN_LARGE_S101,L0012B,E8,53
166,SYN_SYN_LARGE_S101,L0013A,E1,13
167,SYN_SYN_LARGE_S101,L0013B,E6,96
168,SYN_SYN_LARGE_S101,L0014A,E4,19
169,SYN_SYN_LARGE_S101,L0014B,E10,98
170,SYN_SYN_LARGE_S101,L0015A,E0,46
171,SYN_SYN_LARGE_S101,L0015B,E12,28
172,SYN_SYN_LARGE_S101,L0016A,E5,86
173,SYN_SYN_LARGE_S101,L0016B,E13,18
174,SYN_SYN_LARGE_S101,L0017A,E4,79
175,SYN_SYN_LARGE_S101,L0017B,E13,85
176,SYN_SYN_LARGE_S101,L0018A,E5,85
177,SYN_SYN_LARGE_S101,L0018B,E14,35
178,SYN_SYN_LARGE_S101,L0019A,E5,39
179,SYN_SYN_LARGE_S101,L0019B,E11,43
180,SYN_SYN_LARGE_S101,L0020A,E4,86
181,SYN_SYN_LARGE_S101,L0020B,E12,93
182,SYN_SYN_LARGE_S101,L0021A,E5,23
183,SYN_SYN_LARGE_S101,L0021B,E9,13
184,SYN_SYN_LARGE_S101,L0022A,E15,94
185,SYN_SYN_LARGE_S101,L0022B,E16,41
186,SYN_SYN_LARGE_S101,L0023A,E8,20
187,SYN_SYN_LARGE_S101,L0023B,E11,41
188,SYN_SYN_LARGE_S101,L0024A,E8,95
189,SYN_SYN_LARGE_S101,L0024B,E17,18
190,SYN_SYN_LARGE_S101,L0025A,E9,84
191,SYN_SYN_LARGE_S101,L0025B,E18,70
192,SYN_SYN_LARGE_S101,L0026A,E1,25
193,SYN_SYN_LARGE_S101,L0026B,E4,27
194,SYN_SYN_LARGE_S101,L0027A,E10,37
195,SYN_SYN_LARGE_S101,L0027B,E15,58
196,SYN_SYN_LARGE_S101,L0028A,E12,64
197,SYN_SYN_LARGE_S101,L0028B,E17,80
198,SYN_SYN_LARGE_S101,L0029A,E0,32
199,SYN_SYN_LARGE_S101,L0029B,E19,70
200,SYN_SYN_LARGE_S101,L0030A,E1,36
201,SYN_SYN_LARGE_S101,L0030B,E15,12
202,SYN_SYN_LARGE_S101,L0031A,E4,66
203,SYN_SYN_LARGE_S101,L0031B,E8,55
204,SYN_SYN_LARGE_S101,L0032A,E14,26
205,SYN_SYN_LARGE_S101,L0032B,E17,20
206,SYN_SYN_LARGE_S101,L0033A,E2,93
207,SYN_SYN_LARGE_S101,L0033B,E12,68
208,SYN_SYN_LARGE_S101,L0034A,E8,14
209,SYN_SYN_LARGE_S101,L0034B,E16,67
210,SYN_SYN_LARGE_S101,L0035A,E5,37
211,SYN_SYN_LARGE_S101,L0035B,E8,54
212,SYN_SYN_LARGE_S101,L0036A,E3,56
213,SYN_SYN_LARGE_S101,L0036B,E15,80
214,SYN_SYN_LARGE_S101,L0037A,E1,99
215,SYN_SYN_LARGE_S101,L0037B,E17,33
216,SYN_SYN_LARGE_S101,L0038A,E4,25
217,SYN_SYN_LARGE_S101,L0038B,E17,20
218,SYN_SYN_LARGE_S101,L0039A,E6,64
219,SYN_SYN_LARGE_S101,L0039B,E14,53
220,SYN_SYN_LARGE_S101,L0040A,E2,29
221,SYN_SYN_LARGE_S101,L0040B,E9,52
222,SYN_SYN_LARGE_S101,L0041A,E4,41
223,SYN_SYN_LARGE_S101,L0041B,E16,42
224,SYN_SYN_LARGE_S101,L0042A,E4,47
225,SYN_SYN_LARGE_S101,L0042B,E14,11
226,SYN_SYN_LARGE_S101,L0043A,E10,40
227,SYN_SYN_LARGE_S101,L0043B,E13,37
228,SYN_SYN_LARGE_S101,L0044A,E9,79
229,SYN_SYN_LARGE_S101,L0044B,E17,37
