id,scenario,cable_id,source,target,weight
1,SYN_SYN_LARGE_S103,CABLE-0001,L0000A,L0000B,1e-07
2,SYN_SYN_LARGE_S103,CABLE-0002,L0001A,L0001B,2e-07
3,SYN_SYN_LARGE_S103,CABLE-0003,L0002A,L0002B,4e-07
4,SYN_SYN_LARGE_S103,CABLE-0004,L0003A,L0003B,1e-07
5,SYN_SYN_LARGE_S103,CABLE-0005,L0004A,L0004B,2e-07
6,SYN_SYN_LARGE_S103,CABLE-0006,L0005A,L0005B,4e-07
7,SYN_SYN_LARGE_S103,CABLE-0007,L0006A,L0006B,1e-07
8,SYN_SYN_LARGE_S103,CABLE-0008,L0007A,L0007B,2e-07
9,SYN_SYN_LARGE_S103,CABLE-0009,L0008A,L0008B,4e-07
10,SYN_SYN_LARGE_S103,CABLE-0010,L0009A,L0009B,1e-07
11,SYN_SYN_LARGE_S103,CABLE-0011,L0010A,L0010B,2e-07
12,SYN_SYN_LARGE_S103,CABLE-0012,L0011A,L0011B,4e-07
13,SYN_SYN_LARGE_S103,CABLE-0013,L0012A,L0012B,1e-07
14,SYN_SYN_LARGE_S103,CABLE-0014,L0013A,L0013B,2e-07
15,SYN_SYN_LARGE_S103,CABLE-0015,L0014A,L0014B,4e-07
16,SYN_SYN_LARGE_S103,CABLE-0016,L0015A,L0015B,1e-07
17,SYN_SYN_LARGE_S103,CABLE-0017,L0016A,L0016B,2e-07
18,SYN_SYN_LARGE_S103,CABLE-0018,L0017A,L0017B,4e-07
19,SYN_SYN_LARGE_S103,CABLE-0019,L0018A,L0018B,1e-07
20,SYN_SYN_LARGE_S103,CABLE-0020,L0019A,L0019B,2e-07
21,SYN_SYN_LARGE_S103,CABLE-0021,L0020A,L0020B,4e-07
22,SYN_SYN_LARGE_S103,CABLE-0022,L0021A,L0021B,1e-07
23,SYN_SYN_LARGE_S103,CABLE-0023,L0022A,L0022B,2e-07
24,SYN_SYN_LARGE_S103,CABLE-0024,L0023A,L0023B,4e-07
25,SYN_SYN_LARGE_S103,CABLE-0025,L0024A,L0024B,1e-07
26,SYN_SYN_LARGE_S103,CABLE-0026,L0025A,L0025B,2e-07
27,SYN_SYN_LARGE_S103,CABLE-0027,L0026A,L0026B,4e-07
28,SYN_SYN_LARGE_S103,CABLE-0028,L0027A,L0027B,1e-07
29,SYN_SYN_LARGE_S103,CABLE-0029,L0028A,L0028B,2e-07
30,SYN_SYN_LARGE_S103,CABLE-0030,L0029A,L0029B,4e-07
31,SYN_SYN_LARGE_S103,CABLE-0031,L0030A,L0030B,1e-07
32,SYN_SYN_LARGE_S103,CABLE-0032,L0031A,L0031B,2e-07
33,SYN_SYN_LARGE_S103,CABLE-0033,L0032A,L0032B,4e-07
34,SYN_SYN_LARGE_S103,CABLE-0034,L0033A,L0033B,1e-07
35,SYN_SYN_LARGE_S103,CABLE-0035,L0034A,L0034B,2e-07
36,SYN_SYN_LARGE_S103,CABLE-0036,L0035A,L0035B,4e-07
37,SYN_SYN_LARGE_S103,CABLE-0037,L0036A,L0036B,1e-07
38,SYN_SYN_LARGE_S103,CABLE-0038,L0037A,L0037B,2e-07
39,SYN_SYN_LARGE_S103,CABLE-0039,L0038A,L0038B,4e-07
40,SYN_SYN_LARGE_S103,CABLE-0040,L0039A,L0039B,1e-07
41,SYN_SYN_LARGE_S103,CABLE-0041,L0040A,L0040B,2e-07
42,SYN_SYN_LARGE_S103,CABLE-0042,L0041A,L0041B,4e-07
43,SYN_SYN_LARGE_S103,CABLE-0043,L0042A,L0042B,1e-07
44,SYN_SYN_LARGE_S103,CABLE-0044,L0043A,L0043B,2e-07
45,SYN_SYN_LARGE_S103,CABLE-0045,L0044A,L0044B,4e-07
