id,scenario,source,target,length
1,SYN_SYN_MEDIUM_S101,N0,N1,377
2,SYN_SYN_MEDIUM_S101,N1,N2,179
3,SYN_SYN_MEDIUM_S101,N2,N3,356
4,SYN_SYN_MEDIUM_S101,N3,N4,263
5,SYN_SYN_MEDIUM_S101,N4,N5,319
6,SYN_SYN_MEDIUM_S101,N5,N6,104
7,SYN_SYN_MEDIUM_S101,N6,N7,419
8,SYN_SYN_MEDIUM_S101,N7,N8,337
9,SYN_SYN_MEDIUM_S101,N8,N9,189
10,SYN_SYN_MEDIUM_S101,N9,N10,388
11,SYN_SYN_MEDIUM_S101,N10,N11,193
12,SYN_SYN_MEDIUM_S101,N11,N12,227
13,SYN_SYN_MEDIUM_S101,N12,N13,328
14,SYN_SYN_MEDIUM_S101,N13,N14,434
15,SYN_SYN_MEDIUM_S101,N14,N15,480
16,SYN_SYN_MEDIUM_S101,N15,N16,188
17,SYN_SYN_MEDIUM_S101,N16,N17,248
18,SYN_SYN_MEDIUM_S101,N17,N18,304
19,SYN_SYN_MEDIUM_S101,N18,N19,116
20,SYN_SYN_MEDIUM_S101,N19,N20,210
21,SYN_SYN_MEDIUM_S101,N20,N21,178
22,SYN_SYN_MEDIUM_S101,N21,N22,162
23,SYN_SYN_MEDIUM_S101,N22,N23,125
24,SYN_SYN_MEDIUM_S101,N6,N14,250
25,SYN_SYN_MEDIUM_S101,N0,N14,340
26,SYN_SYN_MEDIUM_S101,N1,N14,145
27,SYN_SYN_MEDIUM_S101,N19,N23,375
28,SYN_SYN_MEDIUM_S101,N8,N11,417
29,SYN_SYN_MEDIUM_S101,N4,N23,326
30,SYN_SYN_MEDIUM_S101,N10,N14,145
31,SYN_SYN_MEDIUM_S101,N5,N11,136
32,SYN_SYN_MEDIUM_S101,N6,N23,136
33,SYN_SYN_MEDIUM_S101,N3,N15,100
34,SYN_SYN_MEDIUM_S101,N9,N22,309
35,SYN_SYN_MEDIUM_S101,N9,N17,393
36,SYN_SYN_MEDIUM_S101,N0,N12,372
37,SYN_SYN_MEDIUM_S101,N5,N18,444
38,SYN_SYN_MEDIUM_S101,N14,N17,393
39,SYN_SYN_MEDIUM_S101,N8,N20,388
40,SYN_SYN_MEDIUM_S101,N2,N9,126
41,SYN_SYN_MEDIUM_S101,N7,N14,220
42,SYN_SYN_MEDIUM_S101,N4,N22,286
43,SYN_SYN_MEDIUM_S101,N0,N13,465
44,SYN_SYN_MEDIUM_S101,E0,N4,209
45,SYN_SYN_MEDIUM_S101,E1,N1,59
46,SYN_SYN_MEDIUM_S101,E2,N9,205
47,SYN_SYN_MEDIUM_S101,E3,N16,45
48,SYN_SYN_MEDIUM_S101,E4,N3,106
49,SYN_SYN_MEDIUM_S101,E5,N9,90
50,SYN_SYN_MEDIUM_S101,E6,N5,215
51,SYN_SYN_MEDIUM_S101,E7,N12,197
52,SYN_SYN_MEDIUM_S101,E8,N17,127
53,SYN_SYN_MEDIUM_S101,E9,N4,233
54,SYN_SYN_MEDIUM_S101,E10,N22,223
55,SYN_SYN_MEDIUM_S101,E11,N22,192
56,SYN_SYN_MEDIUM_S101,L0000A,E5,31
57,SYN_SYN_MEDIUM_S101,L0000B,E10,76
58,SYN_SYN_MEDIUM_S101,L0001A,E2,94
59,SYN_SYN_MEDIUM_S101,L0001B,E4,72
60,SYN_SYN_MEDIUM_S101,L0002A,E9,48
61,SYN_SYN_MEDIUM_S101,L0002B,E11,39
62,SYN_SYN_MEDIUM_S101,L0003A,E6,63
63,SYN_SYN_MEDIUM_S101,L0003B,E11,77
64,SYN_SYN_MEDIUM_S101,L0004A,E6,15
65,SYN_SYN_MEDIUM_S101,L0004B,E8,16
66,SYN_SYN_MEDIUM_S101,L0005A,E3,77
67,SYN_SYN_MEDIUM_S101,L0005B,E10,23
68,SYN_SYN_MEDIUM_S101,L0006A,E5,100
69,SYN_SYN_MEDIUM_S101,L0006B,E11,11
70,SYN_SYN_MEDIUM_S101,L0007A,E1,99
71,SYN_SYN_MEDIUM_S101,L0007B,E11,72
72,SYN_SYN_MEDIUM_S101,L0008A,E1,46
73,SYN_SYN_MEDIUM_S101,L0008B,E9,68
74,SYN_SYN_MEDIUM_S101,L0009A,E1,90
75,SYN_SYN_MEDIUM_S101,L0009B,E4,57
76,SYN_SYN_MEDIUM_S101,L0010A,E5,89
77,SYN_SYN_MEDIUM_S101,L0010B,E8,46
78,SYN_SYN_MEDIUM_S101,L0011A,E7,27
79,SYN_SYN_MEDIUM_S101,L0011B,E10,56
80,SYN_SYN_MEDIUM_S101,L0012A,E3,71
81,SYN_SYN_MEDIUM_S101,L0012B,E6,41
82,SYN_SYN_MEDIUM_S101,L0013A,E2,27
83,SYN_SYN_MEDIUM_S101,L0013B,E9,66
84,SYN_SYN_MEDIUM_S101,L0014A,E0,18
85,SYN_SYN_MEDIUM_S101,L0014B,E7,59
86,SYN_SYN_MEDIUM_S101,L0015A,E3,22
87,SYN_SYN_MEDIUM_S101,L0015B,E11,89
88,SYN_SYN_MEDIUM_S101,L0016A,E0,71
89,SYN_SYN_MEDIUM_S101,L0016B,E8,22
90,SYN_SYN_MEDIUM_S101,L0017A,E4,79
91,SYN_SYN_MEDIUM_S101,L0017B,E8,17
