id,scenario,cable_id,source,target,weight
1,SYN_SYN_MEDIUM_S101,CABLE-0001,L0000A,L0000B,1e-07
2,SYN_SYN_MEDIUM_S101,CABLE-0002,L0001A,L0001B,2e-07
3,SYN_SYN_MEDIUM_S101,CABLE-0003,L0002A,L0002B,4e-07
4,SYN_SYN_MEDIUM_S101,CABLE-0004,L0003A,L0003B,1e-07
5,SYN_SYN_MEDIUM_S101,CABLE-0005,L0004A,L0004B,2e-07
6,SYN_SYN_MEDIUM_S101,CABLE-0006,L0005A,L0005B,4e-07
7,SYN_SYN_MEDIUM_S101,CABLE-0007,L0006A,L0006B,1e-07
8,SYN_SYN_MEDIUM_S101,CABLE-0008,L0007A,L0007B,2e-07
9,SYN_SYN_MEDIUM_S101,CABLE-0009,L0008A,L0008B,4e-07
10,SYN_SYN_MEDIUM_S101,CABLE-0010,L0009A,L0009B,1e-07
11,SYN_SYN_MEDIUM_S101,CABLE-0011,L0010A,L0010B,2e-07
12,SYN_SYN_MEDIUM_S101,CABLE-0012,L0011A,L0011B,4e-07
13,SYN_SYN_MEDIUM_S101,CABLE-0013,L0012A,L0012B,1e-07
14,SYN_SYN_MEDIUM_S101,CABLE-0014,L0013A,L0013B,2e-07
15,SYN_SYN_MEDIUM_S101,CABLE-0015,L0014A,L0014B,4e-07
16,SYN_SYN_MEDIUM_S101,CABLE-0016,L0015A,L0015B,1e-07
17,SYN_SYN_MEDIUM_S101,CABLE-0017,L0016A,L0016B,2e-07
18,SYN_SYN_MEDIUM_S101,CABLE-0018,L0017A,L0017B,4e-07
