id,scenario,source,target,length
1,SYN_SYN_SMALL_S102,N0,N1,155
2,SYN_SYN_SMALL_S102,N1,N2,426
3,SYN_SYN_SMALL_S102,N2,N3,395
4,SYN_SYN_SMALL_S102,N3,N4,263
5,SYN_SYN_SMALL_S102,N4,N5,166
6,SYN_SYN_SMALL_S102,N5,N6,363
7,SYN_SYN_SMALL_S102,N6,N7,444
8,SYN_SYN_SMALL_S102,N5,N7,391
9,SYN_SYN_SMALL_S102,N2,N7,374
10,SYN_SYN_SMALL_S102,N0,N5,306
11,SYN_SYN_SMALL_S102,N0,N2,336
12,SYN_SYN_SMALL_S102,E0,N3,212
13,SYN_SYN_SMALL_S102,E1,N2,155
14,SYN_SYN_SMALL_S102,E2,N6,191
15,SYN_SYN_SMALL_S102,E3,N7,201
16,SYN_SYN_SMALL_S102,E4,N1,93
17,SYN_SYN_SMALL_S102,E5,N1,242
18,SYN_SYN_SMALL_S102,L0000A,E3,90
19,SYN_SYN_SMALL_S102,L0000B,E4,47
20,SYN_SYN_SMALL_S102,L0001A,E0,65
21,SYN_SYN_SMALL_S102,L0001B,E5,26
22,SYN_SYN_SMALL_S102,L0002A,E0,81
23,SYN_SYN_SMALL_S102,L0002B,E1,88
24,SYN_SYN_SMALL_S102,L0003A,E4,66
25,SYN_SYN_SMALL_S102,L0003B,E5,95
26,SYN_SYN_SMALL_S102,L0004A,E0,44
27,SYN_SYN_SMALL_S102,L0004B,E3,50
28,SYN_SYN_SMALL_S102,L0005A,E1,91
29,SYN_SYN_SMALL_S102,L0005B,E4,70
