split,instance_id,source_type,source_scenario,seed,size,graph_nodes,graph_edges,center_nodes,center_edges,cables,commodities,copy_num,variables,integer_variables,constraints,baseline_status,baseline_time,baseline_nodes,baseline_gap,cip_path,metadata_path
train,real_06,real,TESTA10,0,medium,295,339,286,330,23,17,4,20682,2708,48140,optimal,27.350410786,29,0,data/instances/train/real_06.cip,data/instances/train/real_06.json
train,real_07,real,TESTA02,0,medium,339,400,303,364,33,31,4,38100,3036,93965,time_limit,30.523121935,1,,data/instances/train/real_07.cip,data/instances/train/real_07.json
train,syn_small_s101,synthetic,SYN_SYN_SMALL_S101,101,small,26,29,14,17,6,6,4,522,160,1023,optimal,0.049694386,1,0,data/instances/train/syn_small_s101.cip,data/instances/train/syn_small_s101.json
train,syn_small_s102,synthetic,SYN_SYN_SMALL_S102,102,small,26,29,14,17,6,6,4,522,160,1023,optimal,0.048334037,1,0,data/instances/train/syn_small_s102.cip,data/instances/train/syn_small_s102.json
train,syn_small_s103,synthetic,SYN_SYN_SMALL_S103,103,small,26,29,14,17,6,6,4,522,160,1023,optimal,0.04621071,1,0,data/instances/train/syn_small_s103.cip,data/instances/train/syn_small_s103.json
train,syn_medium_s101,synthetic,SYN_SYN_MEDIUM_S101,101,medium,72,91,36,55,18,18,4,3626,512,8363,optimal,4.928823799,26,0,data/instances/train/syn_medium_s101.cip,data/instances/train/syn_medium_s101.json
train,syn_medium_s102,synthetic,SYN_SYN_MEDIUM_S102,102,medium,72,91,36,55,18,18,4,3626,512,8363,optimal,1.843155594,8,0,data/instances/train/syn_medium_s102.cip,data/instances/train/syn_medium_s102.json
train,syn_medium_s103,synthetic,SYN_SYN_MEDIUM_S103,103,medium,72,91,36,55,18,18,4,3626,512,8363,optimal,0.953416678,1,0,data/instances/train/syn_medium_s103.cip,data/instances/train/syn_medium_s103.json
train,syn_large_s101,synthetic,SYN_SYN_LARGE_S101,101,large,170,229,80,139,45,45,4,20377,1292,49675,time_limit,30.310550169,11,,data/instances/train/syn_large_s101.cip,data/instances/train/syn_large_s101.json
train,syn_large_s102,synthetic,SYN_SYN_LARGE_S102,102,large,170,229,80,139,45,45,4,20377,1292,49675,optimal,24.703332523,14,0,data/instances/train/syn_large_s102.cip,data/instances/train/syn_large_s102.json
train,syn_large_s103,synthetic,SYN_SYN_LARGE_S103,103,large,170,229,80,139,45,45,4,20377,1292,49675,optimal,24.996071438,18,0,data/instances/train/syn_large_s103.cip,data/instances/train/syn_large_s103.json
validation,real_08,real,TESTA03,0,medium,322,376,295,349,27,22,4,27094,2880,65069,optimal,28.83100787,12,0,data/instances/validation/real_08.cip,data/instances/validation/real_08.json
validation,syn_small_s201,synthetic,SYN_SYN_SMALL_S201,201,small,26,29,14,17,6,6,4,522,160,1023,optimal,0.047806761,1,0,data/instances/validation/syn_small_s201.cip,data/instances/validation/syn_small_s201.json
validation,syn_medium_s201,synthetic,SYN_SYN_MEDIUM_S201,201,medium,72,91,36,55,18,18,4,3626,512,8363,optimal,0.400457329,1,0,data/instances/validation/syn_medium_s201.cip,data/instances/validation/syn_medium_s201.json
validation,syn_large_s201,synthetic,SYN_SYN_LARGE_S201,201,large,170,229,80,139,45,45,4,20377,1292,49675,time_limit,30.490492806,19,0.00563861724968818,data/instances/validation/syn_large_s201.cip,data/instances/validation/syn_large_s201.json
test,real_09,real,TESTJK01,0,small,297,340,287,330,8,7,4,10746,2668,22075,optimal,4.091064817,9,0,data/instances/test/real_09.cip,data/instances/test/real_09.json
test,syn_small_s301,synthetic,SYN_SYN_SMALL_S301,301,small,26,29,14,17,6,6,4,522,160,1023,optimal,0.047090157,1,0,data/instances/test/syn_small_s301.cip,data/instances/test/syn_small_s301.json
test,syn_medium_s301,synthetic,SYN_SYN_MEDIUM_S301,301,medium,72,91,36,55,18,18,4,3626,512,8363,optimal,1.066926418,1,0,data/instances/test/syn_medium_s301.cip,data/instances/test/syn_medium_s301.json
test,syn_large_s301,synthetic,SYN_SYN_LARGE_S301,301,large,170,229,80,139,45,45,4,20377,1292,49675,time_limit,30.424550605,19,0.0450140444203501,data/instances/test/syn_large_s301.cip,data/instances/test/syn_large_s301.json
transfer,real_01,real,F0001,0,medium,556,564,152,160,202,105,4,52708,1700,135556,time_limit,30.675639269,2,,data/instances/transfer/real_01.cip,data/instances/transfer/real_01.json
transfer,real_02,real,TESTA01,0,large,218,244,126,150,246,181,4,83878,1924,214744,time_limit,31.748533594,1,,data/instances/transfer/real_02.cip,data/instances/transfer/real_02.json
transfer,real_03,real,TESTA01,0,medium,437,488,410,461,40,26,4,41390,3792,100803,time_limit,30.796640423,1,,data/instances/transfer/real_03.cip,data/instances/transfer/real_03.json
transfer,real_04,real,TESTA01,0,large,546,641,454,549,246,194,4,326502,5168,863691,time_limit,34.152863522,0,,data/instances/transfer/real_04.cip,data/instances/transfer/real_04.json
transfer,real_05,real,TESTA01,0,medium,347,409,304,366,41,32,4,39408,3056,97427,time_limit,30.739913355,6,,data/instances/transfer/real_05.cip,data/instances/transfer/real_05.json
