i,i,i,i,i
1,TESTA01,B01-X01,E22236,219.0304259
2,TESTA01,E22236,N396,272.3417191
3,TESTA01,E22236,N397,91.62427269
4,TESTA01,T201-X01,E1506,245.3233746
5,TESTA01,E1506,N238,62.30726422
6,TESTA01,E1506,N239,107.596568
7,TESTA01,T201-X02,E84,198.2089399
8,TESTA01,E84,N286,226.3963043
9,TESTA01,E84,N238,108.2154932
10,TESTA01,T201-X03,E84,171.1338185
11,TESTA01,C01-X01,E22222,98.45020714
12,TESTA01,E22222,N252,178.7407182
13,TESTA01,E22222,N260,730.4530461
14,TESTA01,C01-X02,E22222,93.84852589
15,TESTA01,C01-X03,E22222,91.84034156
16,TESTA01,T202-X01,E162,126.5342031
17,TESTA01,E162,N261,388.2604366
18,TESTA01,E162,N262,30.10809077
19,TESTA01,T202-X02,E179,126.5342031
20,TESTA01,E179,N261,293.2604366
21,TESTA01,E179,N262,125.1080908
22,TESTA01,T202-X03,E179,127.6752337
23,TESTA01,T203-X01,E206,184.2960452
24,TESTA01,E206,N104,398.6492325
25,TESTA01,E206,N121,601.8006663
26,TESTA01,T203-X02,E223,182.2497347
27,TESTA01,E223,N104,493.6080824
28,TESTA01,E223,N121,506.8418164
29,TESTA01,T203-X03,E223,153.7327664
30,TESTA01,T506-X01,E250,106.6611208
31,TESTA01,E250,N370,140.5935011
32,TESTA01,E250,N343,292.0534027
33,TESTA01,T506-X02,E267,106.4872976
34,TESTA01,E267,N370,219.5375783
35,TESTA01,E267,N343,213.1093256
36,TESTA01,T506-X03,E250,113.180349
37,TESTA01,T253-X01,E294,177.8351783
38,TESTA01,E294,N323,97.0479705
39,TESTA01,E294,N325,0.00079631
40,TESTA01,T253-X02,E311,151.390854
41,TESTA01,E311,N323,212.7916309
42,TESTA01,E311,N324,99.8184531
43,TESTA01,T253-X03,E328,109.5427159
44,TESTA01,E328,N323,54.64163087
45,TESTA01,E328,N324,257.9684531
46,TESTA01,T254-X01,E345,168.5616085
47,TESTA01,E345,N326,108.6506051
48,TESTA01,E345,N327,60.52328538
49,TESTA01,T254-X02,E362,141.4529325
50,TESTA01,E362,N75,193.55
51,TESTA01,E362,N326,306.9897637
52,TESTA01,T254-X03,E379,99.00531719
53,TESTA01,E379,N75,351.7
54,TESTA01,E379,N326,148.8397637
55,TESTA01,F01-X01,E396,104.6097526
56,TESTA01,E396,N330,234.8126478
57,TESTA01,E396,N331,274.3371773
58,TESTA01,F01-X02,E413,104.6097526
59,TESTA01,E413,N330,352.6126478
60,TESTA01,E413,N331,156.5371773
61,TESTA01,F01-X03,E396,87.6889787
62,TESTA01,F01-X04,E413,87.6889787
63,TESTA01,T204-X01,E450,155.7743779
64,TESTA01,E450,N130,176.3178683
65,TESTA01,E450,N131,395.4499612
66,TESTA01,N0,N1,77.53392617
67,TESTA01,N2,N3,277.1727706
68,TESTA01,N3,N4,277.1727706
69,TESTA01,N4,N5,277.1727706
70,TESTA01,N5,N6,277.1727706
71,TESTA01,N6,N7,277.1727706
72,TESTA01,N7,N8,277.1727706
73,TESTA01,N8,N9,277.1727706
74,TESTA01,N9,N10,277.1727706
75,TESTA01,N10,N11,200.5723788
76,TESTA01,N11,N12,76.60039173
77,TESTA01,N13,N14,277.1727706
78,TESTA01,N14,N15,277.1727706
79,TESTA01,N15,N16,277.1727706
80,TESTA01,N16,N17,277.1727706
81,TESTA01,N17,N18,277.1727706
82,TESTA01,N18,N19,277.1727706
83,TESTA01,N20,N21,277.1727706
84,TESTA01,N21,N22,277.1727706
85,TESTA01,N22,N2,277.1727706
86,TESTA01,N23,N24,610.0944137
87,TESTA01,N24,N25,610.0944137
88,TESTA01,N25,N26,610.0944137
89,TESTA01,N26,N27,610.0944137
90,TESTA01,N27,N28,610.0944137
91,TESTA01,N28,N29,610.0944137
92,TESTA01,N29,N30,610.0944137
93,TESTA01,N30,N31,133.9094274
94,TESTA01,N31,N32,476.1849863
95,TESTA01,N32,N33,610.0944137
96,TESTA01,N34,N35,610.0944137
97,TESTA01,N35,N36,610.0944137
98,TESTA01,N36,N37,610.0944137
99,TESTA01,N37,N38,610.0944137
100,TESTA01,N38,N39,610.0944137
101,TESTA01,N39,N40,610.0944137
102,TESTA01,N41,N42,610.0944137
103,TESTA01,N42,N43,610.0944137
104,TESTA01,N43,N23,610.0944137
105,TESTA01,N44,N45,601.8608732
106,TESTA01,N46,N47,334.1605198
107,TESTA01,N47,N48,267.7003534
108,TESTA01,N48,N49,601.8608732
109,TESTA01,N49,N50,601.8608732
110,TESTA01,N51,N52,601.8608732
111,TESTA01,N52,N53,385.5854093
112,TESTA01,N53,N54,216.2754639
113,TESTA01,N55,N56,601.8608732
114,TESTA01,N56,N57,601.8608732
115,TESTA01,N57,N58,601.8608732
116,TESTA01,N58,N59,601.8608732
117,TESTA01,N59,N60,218.9871398
118,TESTA01,N60,N61,382.8737335
119,TESTA01,N61,N62,601.8608732
120,TESTA01,N62,N63,387.4466391
121,TESTA01,N63,N64,214.4142341
122,TESTA01,N64,N65,601.8608732
123,TESTA01,N65,N66,301.7000579
124,TESTA01,N66,N68,300.1608154
125,TESTA01,N68,N69,428.4176408
126,TESTA01,N69,N70,173.4432324
127,TESTA01,N71,N72,524.0554579
128,TESTA01,N73,N74,524.0554579
129,TESTA01,N74,N75,252.5853502
130,TESTA01,N75,N76,271.4701077
131,TESTA01,N76,N77,524.0554579
132,TESTA01,N77,N78,453.9996805
133,TESTA01,N78,N79,70.05577738
134,TESTA01,N79,N81,524.0554579
135,TESTA01,N81,N83,524.0554579
136,TESTA01,N83,N84,524.0554579
137,TESTA01,N84,N85,380.5171046
138,TESTA01,N85,N86,143.5383533
139,TESTA01,N86,N87,524.0554579
140,TESTA01,N87,N88,524.0554579
141,TESTA01,N88,N89,140.0521294
142,TESTA01,N89,N90,384.0033285
143,TESTA01,N90,N91,524.0554579
144,TESTA01,N91,N92,524.0554579
145,TESTA01,N92,N93,524.0554579
146,TESTA01,N93,N94,524.0554579
147,TESTA01,N94,N95,524.0554579
148,TESTA01,N95,N96,524.0554579
149,TESTA01,N96,N97,401.1278642
150,TESTA01,N97,N71,122.9275937
151,TESTA01,N98,N99,562.2647632
152,TESTA01,N100,N101,307.4377356
153,TESTA01,N101,N102,254.8270276
154,TESTA01,N102,N401,471.5216488
155,TESTA01,N401,N103,90.74311431
156,TESTA01,N103,N104,378.9541878
157,TESTA01,N104,N105,183.3105754
158,TESTA01,N105,N382,446.604462
159,TESTA01,N382,N106,115.6603012
160,TESTA01,N106,N107,562.2647632
161,TESTA01,N108,N109,141.468662
162,TESTA01,N109,N110,562.2647632
163,TESTA01,N110,N111,379.5299009
164,TESTA01,N111,N112,182.7348622
165,TESTA01,N112,N113,257.8172454
166,TESTA01,N113,N114,304.4475177
167,TESTA01,N115,N116,408.6195857
168,TESTA01,N117,N118,571.7678296
169,TESTA01,N118,N119,571.7678296
170,TESTA01,N119,N383,123.2001031
171,TESTA01,N383,N384,196.6042167
172,TESTA01,N384,N120,251.9635098
173,TESTA01,N120,N121,188.0621086
174,TESTA01,N121,N122,383.705721
175,TESTA01,N122,N402,129.1177898
176,TESTA01,N402,N123,269.0477195
177,TESTA01,N124,N125,312.1892688
178,TESTA01,N125,N126,571.7678296
179,TESTA01,N126,N127,571.7678296
180,TESTA01,N127,N128,571.7678296
181,TESTA01,N128,N129,158.3967106
182,TESTA01,N129,N130,413.371119
183,TESTA01,N130,N131,571.7678296
184,TESTA01,N131,N133,571.7678296
185,TESTA01,N133,N134,199.3677123
186,TESTA01,N134,N135,372.4001173
187,TESTA01,N136,N137,185.7652248
188,TESTA01,N137,N385,250.5415701
189,TESTA01,N385,N138,168.3073117
190,TESTA01,N138,N139,152.9189478
191,TESTA01,N140,N141,524.0554579
192,TESTA01,N141,N142,524.0554579
193,TESTA01,N142,N144,524.0554579
194,TESTA01,N144,N145,524.0554579
195,TESTA01,N145,N146,524.0554579
196,TESTA01,N146,N147,524.0554579
197,TESTA01,N147,N148,524.0554579
198,TESTA01,N148,N149,524.0554579
199,TESTA01,N149,N150,524.0554579
200,TESTA01,N150,N151,524.0554579
201,TESTA01,N151,N152,524.0554579
202,TESTA01,N152,N154,524.0554579
203,TESTA01,N154,N156,524.0554579
204,TESTA01,N156,N157,524.0554579
205,TESTA01,N157,N158,524.0554579
206,TESTA01,N158,N159,524.0554579
207,TESTA01,N159,N387,287.9001383
208,TESTA01,N387,N160,96.10319023
209,TESTA01,N160,N161,140.0521294
210,TESTA01,N162,N163,524.0554579
211,TESTA01,N163,N140,524.0554579
212,TESTA01,N164,N165,601.8608732
213,TESTA01,N165,N166,601.8608732
214,TESTA01,N166,N167,201.2382462
215,TESTA01,N167,N168,192.8485094
216,TESTA01,N168,N169,207.7741177
217,TESTA01,N169,N170,601.8608732
218,TESTA01,N170,N171,601.8608732
219,TESTA01,N171,N172,300.9304366
220,TESTA01,N172,N173,154.0858129
221,TESTA01,N173,N174,146.8446237
222,TESTA01,N174,N175,203.1086304
223,TESTA01,N175,N176,398.7522428
224,TESTA01,N176,N403,171.8596435
225,TESTA01,N403,N177,430.0012298
226,TESTA01,N177,N178,274.6250826
227,TESTA01,N178,N179,327.2357906
228,TESTA01,N179,N180,601.8608732
229,TESTA01,N180,N181,601.8608732
230,TESTA01,N181,N182,601.8608732
231,TESTA01,N182,N183,173.4432324
232,TESTA01,N183,N184,428.4176408
233,TESTA01,N184,N185,601.8608732
234,TESTA01,N185,N186,324.2455728
235,TESTA01,N186,N187,277.6153005
236,TESTA01,N187,N188,215.4953593
237,TESTA01,N188,N189,386.3655139
238,TESTA01,N190,N191,401.0491266
239,TESTA01,N191,N192,200.8117467
240,TESTA01,N193,N194,368.136627
241,TESTA01,N194,N164,233.7242462
242,TESTA01,N195,N196,289.8435258
243,TESTA01,N196,N197,289.8435258
244,TESTA01,N197,N198,289.8435258
245,TESTA01,N198,N199,289.8435258
246,TESTA01,N199,N200,289.8435258
247,TESTA01,N200,N201,289.8435258
248,TESTA01,N201,N202,289.8435258
249,TESTA01,N202,N203,289.8435258
250,TESTA01,N203,N204,289.8435258
251,TESTA01,N204,N205,289.8435258
252,TESTA01,N205,N206,289.8435258
253,TESTA01,N206,N207,289.8435258
254,TESTA01,N207,N208,289.8435258
255,TESTA01,N208,N209,289.8435258
256,TESTA01,N209,N210,289.8435258
257,TESTA01,N210,N211,289.8435258
258,TESTA01,N211,N212,289.8435258
259,TESTA01,N212,N213,289.8435258
260,TESTA01,N213,N214,289.8435258
261,TESTA01,N214,N195,289.8435258
262,TESTA01,N215,N216,606.9657244
263,TESTA01,N216,N217,606.9657244
264,TESTA01,N217,N218,606.9657244
265,TESTA01,N218,N219,606.9657244
266,TESTA01,N219,N220,606.9657244
267,TESTA01,N220,N221,303.4828622
268,TESTA01,N221,N222,303.4828622
269,TESTA01,N222,N223,606.9657244
270,TESTA01,N223,N224,606.9657244
271,TESTA01,N224,N225,606.9657244
272,TESTA01,N225,N226,606.9657244
273,TESTA01,N226,N227,606.9657244
274,TESTA01,N227,N228,606.9657244
275,TESTA01,N228,N229,606.9657244
276,TESTA01,N229,N230,606.9657244
277,TESTA01,N230,N231,606.9657244
278,TESTA01,N231,N232,606.9657244
279,TESTA01,N232,N233,606.9657244
280,TESTA01,N233,N234,606.9657244
281,TESTA01,N234,N235,606.9657244
282,TESTA01,N235,N215,606.9657244
283,TESTA01,N236,N237,225.5540364
284,TESTA01,N238,N239,169.9038322
285,TESTA01,N239,N237,365
286,TESTA01,N51,N240,695.7799694
287,TESTA01,N45,N46,601.8608732
288,TESTA01,N54,N1,541.1628561
289,TESTA01,N1,N55,60.69801714
290,TESTA01,N241,N242,101.3539501
291,TESTA01,N243,N244,383.4433745
292,TESTA01,N244,N245,425
293,TESTA01,N246,N108,600
294,TESTA01,N108,N247,261.1507074
295,TESTA01,N247,N248,375.2545194
296,TESTA01,N247,N249,444.4932076
297,TESTA01,N249,N250,255.1897277
298,TESTA01,N241,N246,207.9224246
299,TESTA01,N248,N251,217.2897653
300,TESTA01,N106,N240,352.7077991
301,TESTA01,N252,N253,313.0406526
302,TESTA01,N253,N254,241.8854636
303,TESTA01,N245,N60,99.31960656
304,TESTA01,N255,N0,80
305,TESTA01,N236,N256,80.00114812
306,TESTA01,N257,N258,826.3672474
307,TESTA01,N258,N259,118.6327526
308,TESTA01,N259,N252,70.8062357
309,TESTA01,N252,N260,909.1937643
310,TESTA01,N256,N53,108.4122088
311,TESTA01,N242,N244,129.1083842
312,TESTA01,N261,N262,418.3685274
313,TESTA01,N66,N263,62.95688492
314,TESTA01,N263,N264,695.7799694
315,TESTA01,N192,N265,498.7890193
316,TESTA01,N265,N193,103.0718539
317,TESTA01,N266,N267,270.2192992
318,TESTA01,N268,N269,227.0880482
319,TESTA01,N194,N269,135.1372786
320,TESTA01,N265,N267,134.5037608
321,TESTA01,N111,N270,253.2664449
322,TESTA01,N270,N63,779.3957291
323,TESTA01,N111,N134,1000.520447
324,TESTA01,N134,N188,1004.502946
325,TESTA01,N270,N271,234.0699421
326,TESTA01,N104,N121,1000.449899
327,TESTA01,N175,N121,1004.502364
328,TESTA01,N272,N273,465.0626824
329,TESTA01,N139,N272,180.5145403
330,TESTA01,N274,N275,234.769505
331,TESTA01,N275,N138,765.6803938
332,TESTA01,N274,N276,216.5566255
333,TESTA01,N276,N277,309.6141788
334,TESTA01,N275,N278,314.0930744
335,TESTA01,N273,N279,524.0110082
336,TESTA01,N280,N281,75
337,TESTA01,N280,N282,181.7434344
338,TESTA01,N282,N260,163.9930438
339,TESTA01,N281,N283,267.7737664
340,TESTA01,N258,N284,346.691673
341,TESTA01,N284,N285,214.8075485
342,TESTA01,N286,N238,334.6117975
343,TESTA01,N255,N257,210.5009274
344,TESTA01,N11,N287,295.7369871
345,TESTA01,N287,N288,315.8591301
346,TESTA01,N289,N287,75.7190388
347,TESTA01,N287,N290,203.0636709
348,TESTA01,N20,N19,277.1727706
349,TESTA01,N57,N261,843.0297295
350,TESTA01,N41,N40,610.0944137
351,TESTA01,N246,N291,216.9815544
352,TESTA01,N291,N292,124.6633471
353,TESTA01,N292,N293,153.2918886
354,TESTA01,N294,N295,144.8565582
355,TESTA01,N296,N297,826.4628231
356,TESTA01,N297,N298,441.7978523
357,TESTA01,N296,N295,104.4398374
358,TESTA01,N294,N239,197.603519
359,TESTA01,N298,N404,245.2356529
360,TESTA01,N404,N299,133.9978762
361,TESTA01,N297,N300,367.8947674
362,TESTA01,N301,N302,94.22043548
363,TESTA01,N302,N291,300
364,TESTA01,N303,N304,141.4394406
365,TESTA01,N303,N305,346.2837204
366,TESTA01,N305,N85,512.2484531
367,TESTA01,N305,N306,117.7302275
368,TESTA01,N301,N78,300
369,TESTA01,N189,N190,601.8608732
370,TESTA01,N307,N308,75
371,TESTA01,N309,N310,382.8187487
372,TESTA01,N310,N311,457.5320875
373,TESTA01,N307,N312,233.2290933
374,TESTA01,N312,N311,382.8187487
375,TESTA01,N308,N168,109.7741296
376,TESTA01,N313,N113,1044.821584
377,TESTA01,N113,N315,367.1457059
378,TESTA01,N315,N316,304.4475177
379,TESTA01,N313,N186,963.3227943
380,TESTA01,N317,N318,209.2848825
381,TESTA01,N319,N318,309.4701955
382,TESTA01,N318,N320,220.3455578
383,TESTA01,N10,N321,278.8362617
384,TESTA01,N321,N319,727.6391129
385,TESTA01,N321,N289,225.9609193
386,TESTA01,N68,N317,243.8369165
387,TESTA01,N89,N160,1000
388,TESTA01,N160,N322,280.5101777
389,TESTA01,N97,N323,199.6383691
390,TESTA01,N323,N324,312.610084
391,TESTA01,N323,N325,97.04876681
392,TESTA01,N75,N326,500.5397637
393,TESTA01,N326,N327,169.1738904
394,TESTA01,N320,N32,101.8911954
395,TESTA01,N31,N328,173.8595072
396,TESTA01,N116,N329,333.4697031
397,TESTA01,N329,N69,699.1241183
398,TESTA01,N129,N116,1000.449899
399,TESTA01,N183,N330,360.5757323
400,TESTA01,N330,N129,643.9266321
401,TESTA01,N330,N331,509.1498252
402,TESTA01,N331,N332,311.343738
403,TESTA01,N333,N334,250
404,TESTA01,N136,N335,525.9572435
405,TESTA01,N335,N336,335.0386782
406,TESTA01,N336,N337,291.0246598
407,TESTA01,N337,N339,399.5747222
408,TESTA01,N339,N376,64.85756375
409,TESTA01,N191,N340,750
410,TESTA01,N340,N334,97.0766546
411,TESTA01,N333,N136,192.0766546
412,TESTA01,N124,N342,163.7848312
413,TESTA01,N342,N101,836.6650676
414,TESTA01,N178,N343,698.4760008
415,TESTA01,N343,N124,306.0263635
416,TESTA01,N98,N344,249.3313221
417,TESTA01,N344,N127,751.1298601
418,TESTA01,N98,N345,175.9887171
419,TESTA01,N344,N346,511.4458371
420,TESTA01,N346,N347,458.6382954
421,TESTA01,N347,N348,508.0843831
422,TESTA01,N50,N51,601.8608732
423,TESTA01,N209,N349,393.8999347
424,TESTA01,N349,N350,555.7162841
425,TESTA01,N351,N352,230.8425132
426,TESTA01,N352,N353,396.8208509
427,TESTA01,N349,N354,100.944852
428,TESTA01,N353,N354,70.43336764
429,TESTA01,N355,N356,213.8407013
430,TESTA01,N356,N221,258.6102264
431,TESTA01,N356,N350,365.6016387
432,TESTA01,N355,N172,302.2211743
433,TESTA01,N173,N357,457.8187487
434,TESTA01,N358,N359,264.8386493
435,TESTA01,N358,N360,192.6591658
436,TESTA01,N361,N359,314.931917
437,TESTA01,N359,N234,272.091525
438,TESTA01,N197,N361,853.8683688
