i,i,i,i,i,i,i,i,i,i
1,TESTA03,TESTA03-1,ZD06-X01,,K220-X01,,,,1e-07
2,TESTA03,TESTA03-2,ZD06-X01,,K220-X02,,,,1e-07
3,TESTA03,TESTA03-3,ZD06-X01,,K220-X03,,,,1e-07
4,TESTA03,TESTA03-4,ZD06-X01,,C106A-X01,,,,1e-07
5,TESTA03,TESTA03-5,ZD06-X01,,C106A-X02,,,,1e-07
6,TESTA03,TESTA03-6,ZD06-X01,,C106B-X01,,,,1e-07
7,TESTA03,TESTA03-7,ZD06-X01,,C106B-X02,,,,1e-07
8,TESTA03,TESTA03-8,ZD06-X01,,DL-9,,,,1e-07
9,TESTA03,TESTA03-9,ZD06-X01,,DL-10,,,,1e-07
10,TESTA03,TESTA03-10,ZD06-X02,,K220-X04,,,,1e-07
11,TESTA03,TESTA03-11,ZD06-X02,,K220-X05,,,,1e-07
12,TESTA03,TESTA03-12,ZD06-X02,,C106A-X03,,,,1e-07
13,TESTA03,TESTA03-13,ZD06-X02,,C106A-X04,,,,1e-07
14,TESTA03,TESTA03-14,ZD06-X02,,C106B-X03,,,,1e-07
15,TESTA03,TESTA03-15,ZD06-X02,,C106B-X04,,,,1e-07
16,TESTA03,TESTA03-16,ZD06-X02,,DL-11,,,,1e-07
17,TESTA03,TESTA03-17,ZD06-X02,,DL-12,,,,1e-07
18,TESTA03,TESTA03-18,K220-X01,,ZD06-X03,,,,1e-07
19,TESTA03,TESTA03-19,K220-X01,,K220-X06,,,,1e-07
20,TESTA03,TESTA03-20,K220-X01,,C106A-X05,,,,1e-07
21,TESTA03,TESTA03-21,K220-X01,,C106B-X05,,,,1e-07
22,TESTA03,TESTA03-22,K220-X01,,DL-13,,,,1e-07
23,TESTA03,TESTA03-23,K220-X02,,ZD06-X04,,,,1e-07
24,TESTA03,TESTA03-24,K220-X02,,K220-X07,,,,1e-07
25,TESTA03,TESTA03-25,K220-X02,,C106A-X01,,,,1e-07
26,TESTA03,TESTA03-26,K220-X02,,C106B-X01,,,,1e-07
27,TESTA03,TESTA03-27,K220-X02,,DL-14,,,,1e-07
