event_index,node_id,depth,candidate_count,selected_candidate_index,selected_variable_index,selected_variable_name,variable_family,lp_value,fractionality,selected_q,selected_bias,selected_biased,q_mean,q_std,q_min,q_max,q_top1_top2_margin,bias_mode,lambda_prim,primal_bound,dual_bound,gap,lp_iterations,nodes,graph_extract_time_seconds,inference_time_seconds,selection_time_seconds,selected_is_candidate,result,fallback_reason
0,1,0,1221,462,1357,t_z_131_130_2,z,0.39396547957006023,0.39396547957006023,-0.063850082457065582,0,-0.063850082457065582,-0.06485849143563481,0.00076665637713495033,-0.066854417324066162,-0.063850082457065582,2.0340085029602051e-06,none,0,1e+20,3.0719589999999921,1e+20,59508,1,0.1539903,0.082123752999999994,0.23613155399999999,true,branched,
1,2,1,1238,449,1244,t_z_98_105_2,z,0.43107131916516206,0.43107131916516206,-0.082352712750434875,0,-0.082352712750434875,-0.08295676172357383,0.00048399904901847535,-0.084363251924514771,-0.082352712750434875,9.4801187515258789e-05,none,0,1e+20,3.0719589999999921,1e+20,59551,2,0.15679141399999999,0.49074356899999999,0.647540848,true,branched,
2,4,2,1270,687,2243,t_z_295_294_1,z,0.77733333333333376,0.77733333333333376,-0.062055099755525589,0,-0.062055099755525589,-0.062799945174474417,0.00057144494918443564,-0.064214266836643219,-0.062055099755525589,2.5369226932525635e-06,none,0,1e+20,3.0719589999999921,1e+20,59616,3,0.15689509800000001,0.72597905600000001,0.882880522,true,branched,
3,7,3,1268,656,2195,t_z_289_288_1,z,0.77307676382668522,0.77307676382668522,-0.023254655301570892,0,-0.023254655301570892,-0.023969711409734813,0.0005765463749297043,-0.025832928717136383,-0.023254655301570892,7.413327693939209e-07,none,0,1e+20,3.0719589999999921,1e+20,59618,4,0.15658488200000001,0.029382077999999999,0.18597498900000001,true,branched,
4,8,4,1266,1122,3962,t_z_15_480_1,z,0.42661428047821914,0.42661428047821914,0.007056310772895813,0,0.007056310772895813,0.0062765210549130821,0.00058438911735169937,0.0043055340647697449,0.007056310772895813,6.8247318267822266e-06,none,0,1e+20,3.0719589999999921,1e+20,59668,5,0.15624865499999999,0.029486736999999999,0.18574453199999999,true,branched,
5,10,5,1260,1251,4441,t_z_337_155_0,z,0.39290929517722961,0.39290929517722961,0.038339622318744659,0,0.038339622318744659,0.037687677671275441,0.00055185611158915305,0.035586617887020111,0.038339622318744659,3.2037496566772461e-07,none,0,1e+20,3.0719589999999921,1e+20,59719,6,0.16650045899999999,0.029331229,0.19583953300000001,true,branched,
6,12,6,1280,1034,3623,t_z_538_537_3,z,0.39825732709797323,0.39825732709797323,0.067503243684768677,0,0.067503243684768677,0.06690608621574938,0.00048905714827278542,0.065004721283912659,0.067503243684768677,8.4936618804931641e-07,none,0,1e+20,3.0719589999999921,1e+20,59736,7,0.15843628100000001,0.030716762000000002,0.189164375,true,branched,
7,15,7,1279,681,2218,t_z_291_292_1,z,0.40000000000000013,0.40000000000000013,0.096491158008575439,0,0.096491158008575439,0.095687981109492379,0.00053165942107163662,0.093690991401672363,0.096491172909736633,1.4901161193847656e-08,none,0,1e+20,3.0719589999999921,1e+20,59738,8,0.172095629,0.031304766999999997,0.20341310100000001,true,branched,
8,16,8,1307,541,1547,t_z_175_174_1,z,0.38562138310943861,0.38562138310943861,0.12530267238616943,0,0.12530267238616943,0.12449640007126669,0.00052924642830306362,0.12230007350444794,0.12530267238616943,1.1831521987915039e-05,none,0,1e+20,3.0719589999999921,1e+20,59777,9,0.16200909399999999,0.030654979999999998,0.19267462599999999,true,branched,
9,19,9,1306,529,1507,t_z_393_35_1,z,0.37624999999999997,0.37624999999999997,0.15211482346057892,0,0.15211482346057892,0.15133670677543598,0.00056269455020059546,0.14874580502510071,0.15211482346057892,2.5331974029541016e-07,none,0,1e+20,3.0719589999999921,1e+20,59779,10,0.15988382200000001,0.030417313000000001,0.19030923299999999,true,branched,
10,20,10,1297,1045,3599,t_z_458_457_3,z,0.44071574780298572,0.44071574780298572,0.18068686127662659,0,0.18068686127662659,0.17990065308010569,0.00058797349088466765,0.17758962512016296,0.18068686127662659,1.9967555999755859e-06,none,0,1e+20,3.0719589999999921,1e+20,59883,11,0.177916571,0.03338472,0.21131323799999999,true,branched,
11,23,11,1296,952,3082,t_z_394_395_1,z,0.40000000000000024,0.40000000000000024,0.20977158844470978,0,0.20977158844470978,0.20891769094691601,0.00066483070245830804,0.20628748834133148,0.20977158844470978,2.9802322387695312e-08,none,0,1e+20,3.0719589999999921,1e+20,59884,12,0.16206046599999999,0.030606159000000001,0.192675286,true,branched,
12,25,12,1330,812,2504,t_z_27_327_0,z,0.35709817468671046,0.35709817468671046,0.24097038805484772,0,0.24097038805484772,0.23996066890264811,0.00088879795218089553,0.23659648001194,0.24097038805484772,8.2254409790039062e-06,none,0,1e+20,3.0719589999999921,1e+20,59926,13,0.166839447,0.030573323999999999,0.19742468899999999,true,branched,
13,26,13,1342,854,2583,t_z_334_81_3,z,0.43919419632727141,0.43919419632727141,0.27309614419937134,0,0.27309614419937134,0.27209020087331665,0.00088690565607175119,0.26872807741165161,0.27309614419937134,1.4901161193847656e-06,none,0,1e+20,3.0719589999999921,1e+20,59989,14,0.16886854800000001,0.033568471000000003,0.20244257399999999,true,branched,
14,29,14,1329,1146,3839,t_z_470_292_3,z,0.4008553624577802,0.4008553624577802,0.30512237548828125,0,0.30512237548828125,0.30406390983776727,0.00089995423923333899,0.30069255828857422,0.30512237548828125,1.1861324310302734e-05,none,0,1e+20,3.0719589999999921,1e+20,60053,15,0.160297305,0.030674505000000001,0.19097947800000001,true,branched,
15,30,15,1326,1139,3830,t_z_333_470_3,z,0.39952529167479928,0.39952529167479928,0.3371279239654541,0,0.3371279239654541,0.33606706961966926,0.00090030199683969125,0.33269780874252319,0.3371279239654541,7.7486038208007812e-06,none,0,1e+20,3.0719589999999921,1e+20,60066,16,0.159566771,0.030695615999999998,0.19027291399999999,true,branched,
16,32,16,1346,1147,3783,t_z_467_407_3,z,0.38884452855302748,0.38884452855302748,0.36905241012573242,0,0.36905241012573242,0.36795966302834859,0.00087660542575491193,0.36449295282363892,0.36905241012573242,1.7881393432617188e-07,none,0,1e+20,3.0719589999999921,1e+20,60098,17,0.16255549,0.030588642999999999,0.19315205699999999,true,branched,
17,35,17,1345,951,2967,t_z_381_380_3,z,0.38884452855302748,0.38884452855302748,0.40073740482330322,0,0.40073740482330322,0.39966390199377633,0.0008511921371939994,0.3963744044303894,0.400737464427948,5.9604644775390625e-08,none,0,1e+20,3.0719589999999921,1e+20,60099,18,0.172072324,0.03072683,0.20280774500000001,true,branched,
18,37,18,1344,1041,3183,t_z_409_408_3,z,0.38884452855302748,0.38884452855302748,0.43260705471038818,0,0.43260705471038818,0.43152424728586558,0.00083950782385083821,0.42825961112976074,0.43260705471038818,4.76837158203125e-07,none,0,1e+20,3.0719589999999921,1e+20,60100,19,0.165287185,0.030543163000000002,0.19583804699999999,true,branched,
19,39,19,1344,956,2982,t_z_382_383_3,z,0.38887920460709141,0.38887920460709141,0.46449410915374756,0,0.46449410915374756,0.46341066501502481,0.00084308630228329719,0.45923954248428345,0.46449410915374756,3.6358833312988281e-06,none,0,1e+20,3.0719589999999921,1e+20,60105,20,0.16923482000000001,0.030643284999999999,0.199886917,true,branched,
20,40,20,1344,956,2983,t_z_383_382_3,z,0.38911095641311833,0.38911095641311833,0.49638193845748901,0,0.49638193845748901,0.49529954822113115,0.00084283422261135599,0.49112904071807861,0.49638193845748901,2.384185791015625e-06,none,0,1e+20,3.0719589999999921,1e+20,60107,21,0.16371074399999999,0.030710530999999999,0.194431242,true,branched,
21,42,21,1356,1175,3851,t_z_403_352_1,z,0.42027593272417313,0.42027593272417313,0.52822035551071167,0,0.52822035551071167,0.52716021512286149,0.00083342428210252519,0.52299022674560547,0.52822035551071167,2.3245811462402344e-06,none,0,1e+20,3.0719589999999921,1e+20,60188,22,0.16479338900000001,0.032740579999999998,0.19754359299999999,true,branched,
22,44,22,1361,947,2770,t_z_356_357_1,z,0.39925221559486179,0.39925221559486179,0.56004297733306885,0,0.56004297733306885,0.55896696827150638,0.00083373888522440722,0.55479812622070312,0.56004297733306885,1.5556812286376953e-05,none,0,1e+20,3.0719589999999921,1e+20,60192,23,0.16633735299999999,0.031211928,0.19756056899999999,true,branched,
23,46,23,1361,1179,3850,t_z_352_403_1,z,0.41799271021806594,0.41799271021806594,0.59180831909179688,0,0.59180831909179688,0.59074492606934514,0.0008328978630426845,0.58658820390701294,0.59180831909179688,2.3245811462402344e-06,none,0,1e+20,3.0719589999999921,1e+20,60193,24,0.160631201,0.031129257,0.19177155100000001,true,branched,
24,49,24,1345,565,1569,t_z_347_35_0,z,0.39160544124058849,0.39160544124058849,0.62359112501144409,0,0.62359112501144409,0.62252161493974989,0.00085257777797049183,0.61837399005889893,0.62359112501144409,1.4901161193847656e-06,none,0,1e+20,3.0719589999999921,1e+20,60221,25,0.16027243799999999,0.030759732000000001,0.19104354900000001,true,branched,
25,50,25,1343,923,2720,t_z_67_68_0,z,0.39586025456006402,0.39586025456006402,0.65522593259811401,0,0.65522593259811401,0.65414000946642836,0.00085014658755997352,0.64998805522918701,0.65522593259811401,2.2232532501220703e-05,none,0,1e+20,3.0719589999999921,1e+20,60291,26,0.16516571099999999,0.030828208999999999,0.19600471,true,branched,
26,53,26,1343,908,2699,t_z_350_154_1,z,0.39981685357790658,0.39981685357790658,0.68681555986404419,0,0.68681555986404419,0.68572790251680038,0.00085908785206694708,0.68158072233200073,0.68681555986404419,7.152557373046875e-07,none,0,1e+20,3.0719589999999921,1e+20,60338,27,0.162228803,0.030761581999999999,0.19299743499999999,true,branched,
27,54,27,1349,880,2630,t_z_341_342_3,z,0.37390143062253633,0.37390143062253633,0.71847695112228394,0,0.71847695112228394,0.71741379482645384,0.00087936596775538029,0.71318012475967407,0.71847695112228394,1.7881393432617188e-07,none,0,1e+20,3.0719589999999921,1e+20,60358,28,0.170470541,0.030778941000000001,0.20125849600000001,true,branched,
28,57,28,1348,927,2727,t_z_68_67_3,z,0.37390143062253633,0.37390143062253633,0.75033581256866455,0,0.75033581256866455,0.74926707564192641,0.00088404209425480148,0.74494516849517822,0.75033581256866455,4.1723251342773438e-07,none,0,1e+20,3.0719589999999921,1e+20,60360,29,0.16555128999999999,0.030742467999999998,0.19630302499999999,true,branched,
29,59,29,1355,661,1943,t_z_536_346_3,z,0.37403617594169158,0.37403617594169158,0.78218972682952881,0,0.78218972682952881,0.78112118780832884,0.00088160843613617349,0.77678477764129639,0.78218972682952881,1.0728836059570312e-06,none,0,1e+20,3.0719589999999921,1e+20,60378,30,0.161700554,0.030932218000000001,0.192641388,true,branched,
30,61,30,1347,1232,4095,t_z_488_487_3,z,0.37639922431286754,0.37639922431286754,0.8140520453453064,0,0.8140520453453064,0.81297158730322105,0.00088916886792056405,0.80863112211227417,0.8140520453453064,5.9604644775390625e-08,none,0,1e+20,3.0719589999999921,1e+20,60386,31,0.17666859800000001,0.033006672000000001,0.20968548100000001,true,branched,
31,63,31,1346,869,2614,t_z_339_340_3,z,0.37639922431286754,0.37639922431286754,0.84591144323348999,0,0.84591144323348999,0.84482589780310113,0.0008914238563595896,0.84048193693161011,0.84591150283813477,5.9604644775390625e-08,none,0,1e+20,3.0719589999999921,1e+20,60387,32,0.161241565,0.030877984000000001,0.19213116,true,branched,
32,65,32,1345,1233,4103,t_z_490_489_3,z,0.37639922431286754,0.37639922431286754,0.87777048349380493,0,0.87777048349380493,0.87668382319375926,0.00089201567946074799,0.8723335862159729,0.87777048349380493,0,none,0,1e+20,3.0719589999999921,1e+20,60390,33,0.16028271099999999,0.031118410999999999,0.19141050300000001,true,branched,
33,67,33,1344,1244,4135,t_z_492_491_3,z,0.37639922431286754,0.37639922431286754,0.90963011980056763,0,0.90963011980056763,0.90854009072340669,0.00089378710709591574,0.90418720245361328,0.90963011980056763,5.9604644775390625e-08,none,0,1e+20,3.0719589999999921,1e+20,60391,34,0.163267152,0.030863722999999999,0.194138739,true,branched,
34,69,34,1343,1043,3542,t_z_7_452_3,z,0.37473255764620084,0.37473255764620084,0.94148826599121094,0,0.94148826599121094,0.94039661744061642,0.00089553750403833577,0.93604278564453125,0.94148826599121094,1.1682510375976562e-05,none,0,1e+20,3.0719589999999921,1e+20,60392,35,0.1600027,0.030712059,0.19072335100000001,true,branched,
35,71,35,1342,626,1836,t_z_221_342_2,z,0.41643787581699343,0.41643787581699343,0.97333598136901855,0,0.97333598136901855,0.9722502774346603,0.00090591643894449099,0.96789538860321045,0.97333598136901855,3.6954879760742188e-06,none,0,1e+20,3.0719589999999921,1e+20,60394,36,0.16662823299999999,0.030711919000000001,0.19735043299999999,true,branched,
36,73,36,1338,881,2663,t_z_345_344_3,z,0.39723874988828278,0.39723874988828278,1.0051864385604858,0,1.0051864385604858,1.0040961053161166,0.00091143671533559605,0.99975442886352539,1.0051864385604858,4.76837158203125e-07,none,0,1e+20,3.0719589999999921,1e+20,60399,37,0.16244477399999999,0.030579380999999999,0.19303399500000001,true,branched,
37,75,37,1337,706,2207,t_z_290_289_3,z,0.42501689700838408,0.42501689700838408,1.0370385646820068,0,1.0370385646820068,1.0359524393046,0.00091373694506578752,1.0316109657287598,1.0370385646820068,4.76837158203125e-07,none,0,1e+20,3.0719589999999921,1e+20,60401,38,0.16112495399999999,0.030642921,0.19177617799999999,true,branched,
38,77,38,1335,728,2247,t_z_295_294_3,z,0.42510075891513677,0.42510075891513677,1.068897008895874,0,1.068897008895874,1.0678078125478623,0.00091959516519817507,1.0634580850601196,1.068897008895874,0,none,0,1e+20,3.0719589999999921,1e+20,60403,39,0.16689612700000001,0.030602793,0.19750910899999999,true,branched,
