root,edge_file,edge_rows,nodes,center_legacy,center_strict,pair_file,pair_rows,row_widths
code/data,edges-2.csv,244,218,126,0,pairs-2.csv,246,7
code/data,edges-3.csv,488,437,410,19,pairs-3-40.csv,40,7
code/data,edges-4.csv,641,546,454,63,pairs-4-246.csv,246,7
code/data,edges.csv,564,556,152,0,pairs.csv,202,11
code/data,edges_0.03x.csv,15,15,15,12,pairs_0.03x.csv,6,6
code/data,edges_0.05x.csv,25,25,25,19,pairs_0.05x.csv,10,6
code/data,edges_0.1x.csv,51,50,50,38,pairs_0.1x.csv,20,6
code/data,edges_0.25x.csv,131,125,0,0,pairs_0.25x.csv,50,11
code/data,edges_0.5x.csv,262,250,0,0,pairs_0.5x.csv,100,11
code/data,edges_1.25x.csv,637,625,625,469,pairs_1.25x.csv,200,11
code/data,edges_1.5x.csv,765,750,750,563,pairs_1.5x.csv,200,11
code/data,edges_1.75x.csv,892,875,875,657,pairs_1.75x.csv,200,11
code/data,edges_2.0x.csv,1020,1000,1000,750,pairs_2.0x.csv,200,11
code/data,edges_2.25x.csv,1147,1125,1125,844,pairs_2.25x.csv,200,11
code/data,edges_2.5x.csv,1275,1250,1250,938,pairs_2.5x.csv,200,11
code/data,edges_2.75x.csv,1402,1375,1375,1032,pairs_2.75x.csv,200,11
code/data,edges_3.0x.csv,1530,1500,1500,1125,pairs_3.0x.csv,200,11
code/data,edges_4.0x.csv,2040,2000,2000,1500,pairs_4.0x.csv,200,11
dataset,edges-1.csv,564,556,152,0,pairs-1.csv,202,11
dataset,edges-2.csv,244,218,126,0,pairs-2.csv,246,7
dataset,edges-3.csv,488,437,410,19,pairs-3.csv,40,7
dataset,edges-4.csv,641,546,454,63,pairs-4.csv,246,7
dataset,edges-5.csv,409,347,311,26,pairs-5.csv,41,10
dataset,edges-6.csv,339,295,286,8,pairs-6.csv,23,10
dataset,edges-7.csv,400,339,310,25,pairs-7.csv,33,10
dataset,edges-8.csv,376,322,295,21,pairs-8.csv,27,10
dataset,edges-9.csv,340,297,287,9,pairs-9.csv,8,10
