instance_id,method,seed,scip_version,status,objective,business_objective,primal_bound,dual_bound,final_gap,wall_clock_time,presolve_time,solving_time,solve_time_after_presolve,nodes,lp_iterations,primal_dual_integral,first_solution_time,number_of_variables,number_of_integer_variables,number_of_constraints,active_branching_rule,branchrule_calls,node_selection_rule,threads,time_limit,node_limit,has_solution,solution_feasible,return_code,json_path,log_path
1,default,0,8.0.4,time_limit,,,,2.93411,,30.675639269,2.135709,30.014816,27.879107,2,17237,3001.4812,,52708,1700,135556,relpscost,2,estimate,1,30,-1,False,False,0,results/baseline/raw/instance_1_default_seed0.json,results/baseline/raw/instance_1_default_seed0.log
1,relpscost,0,8.0.4,time_limit,,,,2.93411,,30.899048467,2.132226,30.017795,27.885569,2,17237,3001.7791,,52708,1700,135556,relpscost,2,estimate,1,30,-1,False,False,0,results/baseline/raw/instance_1_relpscost_seed0.json,results/baseline/raw/instance_1_relpscost_seed0.log
1,random,0,8.0.4,time_limit,,,,2.93411,,30.77567642,2.136704,30.090156,27.953452,49,19437,3009.015,,52708,1700,135556,random,49,estimate,1,30,-1,False,False,0,results/baseline/raw/instance_1_random_seed0.json,results/baseline/raw/instance_1_random_seed0.log
1,mostinf,0,8.0.4,time_limit,2.93418992,,2.93418992,2.93411,2.72382426017164e-05,30.789691842,2.122442,30.005998,27.883556,27,20071,2936.74683923154,29.364172,52708,1700,135556,mostinf,27,estimate,1,30,-1,True,True,0,results/baseline/raw/instance_1_mostinf_seed0.json,results/baseline/raw/instance_1_mostinf_seed0.log
2,default,0,8.0.4,time_limit,,,,3.13736,,31.748533594,5.903015,30.102021,24.199006,1,45039,3010.2017,,83878,1924,214744,relpscost,0,estimate,1,30,-1,False,False,0,results/baseline/raw/instance_2_default_seed0.json,results/baseline/raw/instance_2_default_seed0.log
2,relpscost,0,8.0.4,time_limit,,,,3.13736,,31.271814674,5.905845,30.036833,24.130988,1,45039,3003.6828,,83878,1924,214744,relpscost,0,estimate,1,30,-1,False,False,0,results/baseline/raw/instance_2_relpscost_seed0.json,results/baseline/raw/instance_2_relpscost_seed0.log
2,random,0,8.0.4,time_limit,,,,3.13736,,31.594585352,5.857622,30.036886,24.179264,1,45039,3003.6882,,83878,1924,214744,random,0,estimate,1,30,-1,False,False,0,results/baseline/raw/instance_2_random_seed0.json,results/baseline/raw/instance_2_random_seed0.log
2,mostinf,0,8.0.4,time_limit,,,,3.13736,,31.274607401,5.933268,30.034848,24.10158,1,45039,3003.4843,,83878,1924,214744,mostinf,0,estimate,1,30,-1,False,False,0,results/baseline/raw/instance_2_mostinf_seed0.json,results/baseline/raw/instance_2_mostinf_seed0.log
3,default,0,8.0.4,time_limit,,,,0.32225,,30.796640423,9.968152,30.095097,20.126945,1,13802,3009.5094,,41390,3792,100803,relpscost,1,estimate,1,30,-1,False,False,0,results/baseline/raw/instance_3_default_seed0.json,results/baseline/raw/instance_3_default_seed0.log
3,relpscost,0,8.0.4,time_limit,,,,0.32225,,30.764874634,9.99497,30.073109,20.078139,1,13802,3007.3106,,41390,3792,100803,relpscost,1,estimate,1,30,-1,False,False,0,results/baseline/raw/instance_3_relpscost_seed0.json,results/baseline/raw/instance_3_relpscost_seed0.log
3,random,0,8.0.4,time_limit,,,,0.32225,,30.589124798,9.988251,30.057709,20.069458,1,13802,3005.7706,,41390,3792,100803,random,1,estimate,1,30,-1,False,False,0,results/baseline/raw/instance_3_random_seed0.json,results/baseline/raw/instance_3_random_seed0.log
3,mostinf,0,8.0.4,time_limit,,,,0.32225,,30.620801143,9.897434,30.087768,20.190334,1,13802,3008.7764,,41390,3792,100803,mostinf,1,estimate,1,30,-1,False,False,0,results/baseline/raw/instance_3_mostinf_seed0.json,results/baseline/raw/instance_3_mostinf_seed0.log
4,default,0,8.0.4,time_limit,,,,,,34.152863522,27.362153,30.003079,2.640926,0,0,0,,326502,5168,863691,relpscost,0,estimate,1,30,-1,False,False,0,results/baseline/raw/instance_4_default_seed0.json,results/baseline/raw/instance_4_default_seed0.log
4,relpscost,0,8.0.4,time_limit,,,,,,35.294902019,27.397224,30.002665,2.605441,0,0,0,,326502,5168,863691,relpscost,0,estimate,1,30,-1,False,False,0,results/baseline/raw/instance_4_relpscost_seed0.json,results/baseline/raw/instance_4_relpscost_seed0.log
4,random,0,8.0.4,time_limit,,,,,,34.163071233,27.379592,30.006247,2.626655,0,0,0,,326502,5168,863691,random,0,estimate,1,30,-1,False,False,0,results/baseline/raw/instance_4_random_seed0.json,results/baseline/raw/instance_4_random_seed0.log
