event_index,node_id,depth,candidate_count,selected_candidate_index,selected_variable_index,selected_variable_name,variable_family,lp_value,fractionality,selected_q,selected_bias,selected_biased,q_mean,q_std,q_min,q_max,q_top1_top2_margin,bias_mode,lambda_prim,primal_bound,dual_bound,gap,lp_iterations,nodes,graph_extract_time_seconds,inference_time_seconds,selection_time_seconds,selected_is_candidate,result,fallback_reason,source_file,method,instance_id,prim_score,extract_time_seconds
0,1,0,395,184,591,t_z_152_133_1,z,0.4015844251689799,0.4015844251689799,-27.9285831451416,1.0,-27.4285831451416,-30.414299803142303,3.677098656703258,-63.63559722900391,-27.674823760986328,0.0012683868408203,prim,0.5,1e+20,2.934110000000004,1e+20,17207,1,0.0181416559999999,0.687701434,0.713263995,True,branched,,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__full-prim__seed0.branches.csv,full-prim,real_01,1.0,0.0181416559999999
1,2,1,416,377,1409,t_z_515_230_2,z,0.2871077565116313,0.2871077565116313,-27.992355346679688,1.0,-27.492355346679688,-29.53757932094427,2.7882632814089643,-55.27033996582031,-27.599147796630856,0.0454597473144531,prim,0.5,1e+20,2.934110000000004,1e+20,17228,2,0.018297463,0.6778876099999999,0.703708212,True,branched,,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__full-prim__seed0.branches.csv,full-prim,real_01,1.0,0.018297463
2,4,2,418,402,1509,t_z_544_518_0,z,0.1908689293486342,0.1908689293486342,-27.970443725585938,1.0,-27.470443725585938,-29.488251663281016,2.78096541941706,-55.219276428222656,-27.56002616882324,0.0460109710693359,prim,0.5,1e+20,2.934110000000004,1e+20,17232,3,0.018573748,0.679206072,0.705305228,True,branched,,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__full-prim__seed0.branches.csv,full-prim,real_01,1.0,0.018573748
3,6,3,418,360,1332,t_z_285_495_0,z,0.1908689293486342,0.1908689293486342,-27.9857120513916,1.0,-27.4857120513916,-29.448420647799114,2.779264800411968,-55.17083740234375,-27.52273368835449,0.0451374053955078,prim,0.5,1e+20,2.934110000000004,1e+20,17233,4,0.01860894,0.6845469619999999,0.7106733499999999,True,branched,,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__full-prim__seed0.branches.csv,full-prim,real_01,1.0,0.01860894
4,9,4,417,281,1017,t_z_513_512_2,z,0.0782741373018126,0.0782741373018126,-27.989377975463867,1.0,-27.489377975463867,-29.418108709138647,2.7802826597978885,-55.12790298461913,-27.492618560791016,0.0441627502441406,prim,0.5,1e+20,2.934110000000004,1e+20,17237,5,0.018351689,0.6836947119999999,0.7096269389999998,True,branched,,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__full-prim__seed0.branches.csv,full-prim,real_01,1.0,0.018351689
5,10,5,409,370,1408,t_z_230_515_2,z,0.2962013299789174,0.2962013299789174,-27.97066879272461,1.0,-27.47066879272461,-29.397737423773208,2.7971953421420817,-55.08806228637695,-27.467479705810547,0.0432853698730468,prim,0.5,1e+20,2.934110000000004,1e+20,17239,6,0.0186920949999999,0.682421942,0.708632539,True,branched,,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__full-prim__seed0.branches.csv,full-prim,real_01,1.0,0.0186920949999999
6,13,6,408,374,1429,t_z_525_137_0,z,0.1932035349351004,0.1932035349351004,-27.96250915527344,1.0,-27.46250915527344,-29.37731306693133,2.7960200631297725,-55.05199813842773,-27.448492050170895,0.0419635772705078,prim,0.5,1e+20,2.934110000000004,1e+20,17241,7,0.0185245939999999,0.674483824,0.7004860929999999,True,branched,,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__full-prim__seed0.branches.csv,full-prim,real_01,1.0,0.0185245939999999
7,15,7,407,391,1508,t_z_518_544_0,z,0.1932035349351004,0.1932035349351004,-27.948152542114254,1.0,-27.448152542114254,-29.3608801323893,2.79572689301377,-55.017925262451165,-27.435871124267575,0.0411643981933593,prim,0.5,1e+20,2.934110000000004,1e+20,17242,8,0.0184489569999999,0.669199332,0.695138554,True,branched,,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__full-prim__seed0.branches.csv,full-prim,real_01,1.0,0.0184489569999999
8,17,8,406,233,829,t_z_496_1_0,z,0.1932035349351004,0.1932035349351004,-27.960792541503903,1.0,-27.460792541503903,-29.34893609972423,2.794918553459508,-54.98616027832031,-27.429561614990234,0.0403938293457031,prim,0.5,1e+20,2.934110000000004,1e+20,17243,9,0.018582313,0.6791293929999999,0.705156262,True,branched,,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__full-prim__seed0.branches.csv,full-prim,real_01,1.0,0.018582313
9,18,9,406,291,1137,t_z_413_94_2,z,0.0780131549699921,0.0780131549699921,-28.03092384338379,1.0,-27.53092384338379,-29.343684962230363,2.7909337276332966,-54.96372985839844,-27.430721282958984,0.0396270751953125,prim,0.5,1e+20,2.934110000000004,1e+20,17244,10,0.0181455329999999,0.67171199,0.697369452,True,branched,,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__full-prim__seed0.branches.csv,full-prim,real_01,1.0,0.0181455329999999
