event_index,node_id,depth,candidate_count,selected_candidate_index,selected_variable_index,selected_variable_name,variable_family,lp_value,fractionality,selected_q,selected_bias,selected_biased,q_mean,q_std,q_min,q_max,q_top1_top2_margin,bias_mode,lambda_prim,primal_bound,dual_bound,gap,lp_iterations,nodes,graph_extract_time_seconds,inference_time_seconds,selection_time_seconds,selected_is_candidate,result,fallback_reason
0,1,0,180,40,81,t_m_20_1,m,0.13006684755322123,0.13006684755322123,-24.741943359375,0.30000001192092896,-24.591943740844727,-25.571889283921983,0.44789977624654964,-26.717779159545898,-24.733198165893555,0.0087451934814453125,prim,0.5,1e+20,0.0096120999999999984,1e+20,12699,1,0.012970496999999999,0.55774416199999999,0.57759047299999999,true,branched,
1,2,1,185,38,63,t_m_15_3,m,0.14324015115832678,0.14324015115832678,-24.673652648925781,0.30000001192092896,-24.523653030395508,-25.515334000458587,0.43185189236527044,-26.684776306152344,-24.666793823242188,0.00685882568359375,prim,0.5,1e+20,0.0096120999999999984,1e+20,12717,2,0.012740444,0.49953909200000002,0.51921637700000001,true,branched,
2,4,2,168,44,83,t_m_20_3,m,0.15278393920618238,0.15278393920618238,-24.681562423706055,0.30000001192092896,-24.531562805175781,-25.436762707574026,0.37420310961913128,-26.645174026489258,-24.667018890380859,0.012170791625976562,prim,0.5,1e+20,0.0096120999999999984,1e+20,12726,3,0.013126871999999999,0.52307129699999999,0.54290059000000002,true,branched,
3,6,3,184,73,149,t_z_23_16_2,z,0.16033588596946757,0.16033588596946757,-25.104934692382812,1,-24.604934692382812,-25.447794914245605,0.36978162568895367,-26.416038513183594,-24.685752868652344,0.000110626220703125,prim,0.5,1e+20,0.0096120999999999984,1e+20,12741,4,0.012968136,0.48424263000000001,0.50408101199999999,true,branched,
4,8,4,184,67,137,t_z_20_16_0,z,0.17453632523362228,0.17453632523362228,-25.120689392089844,1,-24.620689392089844,-25.453230132227358,0.36361170631915951,-26.396045684814453,-24.708343505859375,0.0013294219970703125,prim,0.5,1e+20,0.0096120999999999984,1e+20,12744,5,0.012947679,0.34625739700000002,0.36614929200000002,true,branched,
5,10,5,178,42,75,t_m_18_3,m,0.17016986806576906,0.17016986806576906,-24.743484497070312,0.30000001192092896,-24.593484878540039,-25.481373347593159,0.35297048945933884,-26.314247131347656,-24.743484497070312,0.033834457397460938,prim,0.5,1e+20,0.0096120999999999984,1e+20,12759,6,0.013353336,0.48822368900000002,0.50847837799999995,true,branched,
6,12,6,183,33,59,t_m_14_3,m,0.16600000000000037,0.16600000000000037,-24.772600173950195,0,-24.772600173950195,-25.530899881665171,0.35453233073687079,-26.375560760498047,-24.772600173950195,0.012836456298828125,prim,0.5,1e+20,0.0096120999999999984,1e+20,12772,7,0.012879059999999999,0.45228334199999998,0.47203262499999998,true,branched,
7,14,7,185,79,207,t_z_38_15_3,z,0.10753787539816617,0.10753787539816617,-25.295124053955078,1,-24.795124053955078,-25.565817126712282,0.35508422788725796,-26.388853073120117,-24.835174560546875,0.0092411041259765625,prim,0.5,1e+20,0.0096120999999999984,1e+20,12783,8,0.012987828,0.48198883799999998,0.50193292599999995,true,branched,
8,16,8,185,82,221,t_z_41_16_2,z,0.0010000000000000009,0.0010000000000000009,-25.315801620483398,1,-24.815801620483398,-25.586311732111749,0.35057483327740308,-26.410158157348633,-24.866941452026367,0.0078372955322265625,prim,0.5,1e+20,0.0096120999999999984,1e+20,12785,9,0.01298385,0.49091343900000001,0.51083681000000003,true,branched,
9,18,9,184,91,287,t_z_54_16_3,z,0.00050000000000016698,0.00050000000000016698,-25.391986846923828,1,-24.891986846923828,-25.60901783860248,0.3472718762569918,-26.431814193725586,-24.898622512817383,0.0065937042236328125,prim,0.5,1e+20,0.0096120999999999984,1e+20,12786,10,0.01882377,0.45667291900000001,0.48242687899999998,true,branched,
