instance_id,split,size,protocol,method,solver_method,seed,status,objective,primal_bound,dual_bound,gap,wall_time,presolve_time,solve_time,solve_time_after_presolve,nodes,lp_iterations,primal_dual_integral,first_solution_time,branch_decisions,rl_inference_total,rl_inference_mean,rl_inference_max,fallback_count,illegal_actions,legality_checks,n_vars,n_int_vars,n_constraints,active_branching_rule,node_selection_rule,threads,time_limit,node_limit,has_solution,solution_feasible,return_code,json_path,log_path,branch_log_path
real_01,transfer,medium,production-scip,gcnn,rl-gcnn,0,optimal,2.93411,2.93411,2.93411,0,120.593101051,0.945247,120.067647,119.1224,132,39895,6246.22349210696,61.549637,127,86.174894343,0.678542475141732,0.698178595,0,0,127,52708,1700,135556,rlgcnn,estimate,1,600,-1,True,True,0,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__gcnn__seed0.json,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__gcnn__seed0.log,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__gcnn__seed0.branches.csv
real_01,transfer,medium,production-scip,gcnn,rl-gcnn,1,optimal,2.93411,2.93411,2.93411,0,55.029434166,1.481379,54.393658,52.912279,65,14641,5437.9443,54.377229,62,37.332905441,0.602143636145161,0.634304187,0,0,62,52708,1700,135556,rlgcnn,estimate,1,600,-1,True,True,0,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__gcnn__seed1.json,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__gcnn__seed1.log,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__gcnn__seed1.branches.csv
real_01,transfer,medium,production-scip,z-bias,rl-gcnn,0,optimal,2.93411,2.93411,2.93411,0,118.391639368,0.94875,117.865813,116.917063,132,39895,6147.03812301942,60.574315,127,83.76035071,0.659530320551181,0.692247543,0,0,127,52708,1700,135556,rlgcnn,estimate,1,600,-1,True,True,0,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__z-bias__seed0.json,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__z-bias__seed0.log,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__z-bias__seed0.branches.csv
real_01,transfer,medium,production-scip,z-bias,rl-gcnn,1,optimal,2.93411,2.93411,2.93411,0,59.691442203,1.438033,59.134417,57.696384,65,14641,5911.8697,59.115766,62,41.631841153,0.671481308919355,0.6984157,0,0,62,52708,1700,135556,rlgcnn,estimate,1,600,-1,True,True,0,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__z-bias__seed1.json,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__z-bias__seed1.log,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__z-bias__seed1.branches.csv
real_01,transfer,medium,production-scip,root-z-bias,rl-gcnn,0,optimal,2.93411,2.93411,2.93411,0,113.151189372,0.983186,112.586647,111.603461,132,39895,5951.35066249955,58.669194,127,78.195950943,0.615716149157481,0.699105599,0,0,127,52708,1700,135556,rlgcnn,estimate,1,600,-1,True,True,0,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__root-z-bias__seed0.json,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__root-z-bias__seed0.log,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__root-z-bias__seed0.branches.csv
real_01,transfer,medium,production-scip,root-z-bias,rl-gcnn,1,optimal,2.93411,2.93411,2.93411,0,60.014873323,1.514523,59.411159,57.896636,65,14641,5939.5434,59.392296,62,41.45216328,0.668583278709677,0.725746208,0,0,62,52708,1700,135556,rlgcnn,estimate,1,600,-1,True,True,0,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__root-z-bias__seed1.json,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__root-z-bias__seed1.log,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__root-z-bias__seed1.branches.csv
real_01,transfer,medium,production-scip,full-prim,rl-gcnn,0,optimal,2.93411,2.93411,2.93411,0,26.035055093,0.969695,25.49262,24.522925,14,18318,2548.0912,25.478488,14,9.472983439,0.676641674214286,0.687701434,0,0,14,52708,1700,135556,rlgcnn,estimate,1,600,-1,True,True,0,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__full-prim__seed0.json,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__full-prim__seed0.log,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__full-prim__seed0.branches.csv
real_01,transfer,medium,production-scip,full-prim,rl-gcnn,1,optimal,2.93411,2.93411,2.93411,0,23.214856302,1.487442,22.614058,21.126616,12,14078,2260.0534,22.597703,12,8.226071458,0.685505954833333,0.718672401,0,0,12,52708,1700,135556,rlgcnn,estimate,1,600,-1,True,True,0,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__full-prim__seed1.json,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__full-prim__seed1.log,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__full-prim__seed1.branches.csv
real_01,transfer,medium,production-scip,topology-only,rl-gcnn,0,optimal,2.93411,2.93411,2.93411,0,25.730014451,0.94035,25.214615,24.274265,14,18318,2520.285,25.200415,14,9.239998325,0.659999880357143,0.706120056,0,0,14,52708,1700,135556,rlgcnn,estimate,1,600,-1,True,True,0,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__topology-only__seed0.json,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__topology-only__seed0.log,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__topology-only__seed0.branches.csv
real_01,transfer,medium,production-scip,topology-only,rl-gcnn,1,optimal,2.93411,2.93411,2.93411,0,23.188686337,1.47678,22.570911,21.094131,12,14078,2255.69,22.553802,12,8.193271887,0.68277265725,0.702586334,0,0,12,52708,1700,135556,rlgcnn,estimate,1,600,-1,True,True,0,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__topology-only__seed1.json,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__topology-only__seed1.log,results/c0_prim_decomposition/raw/production-scip/real_01/production-scip__real_01__topology-only__seed1.branches.csv
real_05,transfer,medium,production-scip,gcnn,rl-gcnn,0,optimal,0.0211703,0.0211703,0.0211703,0,27.405689358,0.904068,26.906928,26.00286,18,13898,2689.561,26.892823,18,14.703642553,0.816869030722222,0.82435102,0,0,18,39408,3056,97427,rlgcnn,estimate,1,600,-1,True,True,0,results/c0_prim_decomposition/raw/production-scip/real_05/production-scip__real_05__gcnn__seed0.json,results/c0_prim_decomposition/raw/production-scip/real_05/production-scip__real_05__gcnn__seed0.log,results/c0_prim_decomposition/raw/production-scip/real_05/production-scip__real_05__gcnn__seed0.branches.csv
real_05,transfer,medium,production-scip,gcnn,rl-gcnn,1,optimal,0.0211703,0.0211703,0.0211703,0,73.160596179,1.338358,72.635372,71.297014,61,20345,4932.82854645434,49.316672,61,48.455313081,0.794349394770492,0.822745018,0,0,61,39408,3056,97427,rlgcnn,estimate,1,600,-1,True,True,0,results/c0_prim_decomposition/raw/production-scip/real_05/production-scip__real_05__gcnn__seed1.json,results/c0_prim_decomposition/raw/production-scip/real_05/production-scip__real_05__gcnn__seed1.log,results/c0_prim_decomposition/raw/production-scip/real_05/production-scip__real_05__gcnn__seed1.branches.csv
real_05,transfer,medium,production-scip,z-bias,rl-gcnn,0,optimal,0.0211703,0.0211703,0.0211703,0,16.957150416,0.942928,16.486225,15.543297,6,13536,1647.4153,16.47121,6,4.718465724,0.786410954,0.823427642,0,0,6,39408,3056,97427,rlgcnn,estimate,1,600,-1,True,True,0,results/c0_prim_decomposition/raw/production-scip/real_05/production-scip__real_05__z-bias__seed0.json,results/c0_prim_decomposition/raw/production-scip/real_05/production-scip__real_05__z-bias__seed0.log,results/c0_prim_decomposition/raw/production-scip/real_05/production-scip__real_05__z-bias__seed0.branches.csv
real_05,transfer,medium,production-scip,z-bias,rl-gcnn,1,optimal,0.0211703,0.0211703,0.0211703,0,23.860174684,1.477549,23.345439,21.86789,4,17225,2333.3409,23.329893,4,3.191136621,0.79778415525,0.847899295,0,0,4,39408,3056,97427,rlgcnn,estimate,1,600,-1,True,True,0,results/c0_prim_decomposition/raw/production-scip/real_05/production-scip__real_05__z-bias__seed1.json,results/c0_prim_decomposition/raw/production-scip/real_05/production-scip__real_05__z-bias__seed1.log,results/c0_prim_decomposition/raw/production-scip/real_05/production-scip__real_05__z-bias__seed1.branches.csv
real_05,transfer,medium,production-scip,root-z-bias,rl-gcnn,0,optimal,0.0211703,0.0211703,0.0211703,0,42.538491845,0.881825,42.078758,41.196933,38,13951,4206.6535,42.063581,36,29.158705261,0.809964035027777,0.835319923,0,0,36,39408,3056,97427,rlgcnn,estimate,1,600,-1,True,True,0,results/c0_prim_decomposition/raw/production-scip/real_05/production-scip__real_05__root-z-bias__seed0.json,results/c0_prim_decomposition/raw/production-scip/real_05/production-scip__real_05__root-z-bias__seed0.log,results/c0_prim_decomposition/raw/production-scip/real_05/production-scip__real_05__root-z-bias__seed0.branches.csv
real_05,transfer,medium,production-scip,root-z-bias,rl-gcnn,1,optimal,0.0211703,0.0211703,0.0211703,0,24.255033826,1.49144,23.711586,22.220146,4,17284,2369.692,23.692911,4,3.330995809,0.83274895225,0.852101244,0,0,4,39408,3056,97427,rlgcnn,estimate,1,600,-1,True,True,0,results/c0_prim_decomposition/raw/production-scip/real_05/production-scip__real_05__root-z-bias__seed1.json,results/c0_prim_decomposition/raw/production-scip/real_05/production-scip__real_05__root-z-bias__seed1.log,results/c0_prim_decomposition/raw/production-scip/real_05/production-scip__real_05__root-z-bias__seed1.branches.csv
real_05,transfer,medium,production-scip,full-prim,rl-gcnn,0,optimal,0.0211703,0.0211703,0.0211703,0,134.520272732,0.926765,133.891209,132.964444,147,14697,10567.3893704365,105.65752,143,113.631719351,0.794627408048951,0.855128938,0,0,143,39408,3056,97427,rlgcnn,estimate,1,600,-1,True,True,0,results/c0_prim_decomposition/raw/production-scip/real_05/production-scip__real_05__full-prim__seed0.json,results/c0_prim_decomposition/raw/production-scip/real_05/production-scip__real_05__full-prim__seed0.log,results/c0_prim_decomposition/raw/production-scip/real_05/production-scip__real_05__full-prim__seed0.branches.csv
real_05,transfer,medium,production-scip,full-prim,rl-gcnn,1,optimal,0.0211703,0.0211703,0.0211703,0,33.754910368,1.504693,33.217667,31.712974,15,17632,3320.4478,33.200678,15,12.091948265,0.806129884333333,0.852077586,0,0,15,39408,3056,97427,rlgcnn,estimate,1,600,-1,True,True,0,results/c0_prim_decomposition/raw/production-scip/real_05/production-scip__real_05__full-prim__seed1.json,results/c0_prim_decomposition/raw/production-scip/real_05/production-scip__real_05__full-prim__seed1.log,results/c0_prim_decomposition/raw/production-scip/real_05/production-scip__real_05__full-prim__seed1.branches.csv
real_05,transfer,medium,production-scip,topology-only,rl-gcnn,0,optimal,0.0211703,0.0211703,0.0211703,0,136.090271914,0.908444,135.657845,134.749401,147,14697,10706.8187995438,107.0514,143,115.617042922,0.808510789664335,0.841480353,0,0,143,39408,3056,97427,rlgcnn,estimate,1,600,-1,True,True,0,results/c0_prim_decomposition/raw/production-scip/real_05/production-scip__real_05__topology-only__seed0.json,results/c0_prim_decomposition/raw/production-scip/real_05/production-scip__real_05__topology-only__seed0.log,results/c0_prim_decomposition/raw/production-scip/real_05/production-scip__real_05__topology-only__seed0.branches.csv
real_05,transfer,medium,production-scip,topology-only,rl-gcnn,1,optimal,0.0211703,0.0211703,0.0211703,0,31.925447025,1.308345,31.272543,29.964198,15,17632,3126.0622,31.257493,15,11.038371292,0.735891419466667,0.771678976,0,0,15,39408,3056,97427,rlgcnn,estimate,1,600,-1,True,True,0,results/c0_prim_decomposition/raw/production-scip/real_05/production-scip__real_05__topology-only__seed1.json,results/c0_prim_decomposition/raw/production-scip/real_05/production-scip__real_05__topology-only__seed1.log,results/c0_prim_decomposition/raw/production-scip/real_05/production-scip__real_05__topology-only__seed1.branches.csv
real_08,validation,medium,production-scip,gcnn,rl-gcnn,0,optimal,0.0096121,0.0096121,0.0096121,0,39.93196816,0.588952,39.549796,38.960844,69,13338,3954.142,39.536159,64,28.639164963,0.447486952546875,0.5549389,0,0,64,27094,2880,65069,rlgcnn,estimate,1,300,-1,True,True,0,results/c0_prim_decomposition/raw/production-scip/real_08/production-scip__real_08__gcnn__seed0.json,results/c0_prim_decomposition/raw/production-scip/real_08/production-scip__real_08__gcnn__seed0.log,results/c0_prim_decomposition/raw/production-scip/real_08/production-scip__real_08__gcnn__seed0.branches.csv
