event_index,node_id,depth,candidate_count,selected_candidate_index,selected_variable_index,selected_variable_name,lp_value,fractionality,selection_time_seconds,selected_is_candidate,result,fallback_reason
0,1,0,51,0,2,t_m_0_2,0.49900000000000005,0.49900000000000005,7.0820000000000001e-06,true,branched,
1,2,1,46,0,4,t_m_1_0,0.499,0.499,5.8329999999999999e-06,true,branched,
2,4,2,46,0,5,t_m_1_1,0.50016666666666665,0.50016666666666665,5.3199999999999999e-06,true,branched,
3,5,2,39,0,12,t_m_3_0,0.99849999999999994,0.99849999999999994,4.7060000000000003e-06,true,branched,
4,9,3,60,7,25,t_m_6_1,0.99849999999999994,0.99849999999999994,6.2940000000000002e-06,true,branched,
5,11,4,17,0,44,t_z_15_17_0,0.0010000000000000009,0.0010000000000000009,2.0870000000000001e-06,true,branched,
6,12,5,9,0,69,t_z_32_3_0,0.0010000000000000009,0.0010000000000000009,1.533e-06,true,branched,
7,15,6,6,4,1072,t_z_14_15_2,0.0010000000000000009,0.0010000000000000009,1.4169999999999999e-06,true,branched,
8,16,7,5,4,1113,t_z_18_15_2,0.999,0.999,1.1510000000000001e-06,true,branched,
9,19,8,4,0,1040,t_z_3_200_2,0.99950000000000006,0.99950000000000006,1.1689999999999999e-06,true,branched,
10,21,9,3,0,1041,t_z_200_3_2,0.00050000000000000044,0.00050000000000000044,1.009e-06,true,branched,
