experiment,protocol,method,runs,solved,solved_rate,shifted_gmean_wall_time,shifted_gmean_nodes,par2,median_wall_time,median_nodes,inference_fraction,fallback_count,shifted_gmean_wall_without_inference
architecture-and-protocol,controlled-bbmdp,default,35,8,0.22857142857142856,21.32700486532797,1.503363941339249,48.27611333982857,30.853077355,1.0,0.0,0,21.32700486532797
architecture-and-protocol,controlled-bbmdp,rl-mlp,35,8,0.22857142857142856,21.841182829968098,4.007112895044916,48.33341567302857,31.18992982,1.0,0.0007352316902784427,0,21.827225730546537
architecture-and-protocol,controlled-bbmdp,rl-gcnn,35,9,0.2571428571428571,24.406656177473383,2.9732602126842727,47.80936004911428,32.690241956,1.0,0.03426134462005486,0,23.490681846462643
architecture-and-protocol,production-scip,default,35,9,0.2571428571428571,21.329242798870133,1.4810765288573688,47.387760517828575,30.736719671,1.0,0.0,0,21.329242798870133
architecture-and-protocol,production-scip,rl-mlp,35,10,0.2857142857142857,21.301173421173154,3.03840305620375,46.16733306814285,31.045872396,1.0,0.00035105425101167776,0,21.294412009893787
architecture-and-protocol,production-scip,rl-gcnn,35,13,0.37142857142857144,23.983906906382998,2.439435846006501,44.387241971142856,32.582460796,1.0,0.031370154363637666,0,23.1179246116504
model-ablation,controlled-bbmdp,rl-gcnn-3step,10,10,1.0,10.164543138732254,4.071191394454729,14.391469432,13.6320098995,1.0,0.07682306722859217,0,9.473820261076472
model-ablation,controlled-bbmdp,rl-gcnn-1step,10,10,1.0,10.078626282502295,3.7421218116292705,14.266271303000002,13.489178087500001,1.0,0.07563193899759411,0,9.389447057598165
model-ablation,controlled-bbmdp,rl-gcnn-hlgauss,10,8,0.8,10.550520602704347,4.588545628332398,20.634061951200003,13.881590832,1.0,0.07748844596117253,0,9.854864738008704
model-ablation,controlled-bbmdp,rl-gcnn-no-categories,10,10,1.0,10.084601611482418,3.662074272792463,14.2892388182,13.470899408,1.0,0.0758864640948385,0,9.390637425058662
model-ablation,controlled-bbmdp,rl-gcnn-no-global,10,10,1.0,10.075761686684482,3.7028166183329505,14.2535269898,13.489770712,1.0,0.0752284977329331,0,9.38168121344626
depth-ablation,production-scip,rl-gcnn-d5,20,8,0.4,19.21928898312358,1.4290067779204536,40.30676441155,32.370577940000004,1.0,0.02557913813811609,22,18.609916934158353
depth-ablation,production-scip,rl-gcnn-d10,20,8,0.4,19.093814832215728,1.5232945247937884,40.24222371865,32.3543566305,1.0,0.026106955626091305,17,18.416612964640944
depth-ablation,production-scip,rl-gcnn-d20,20,10,0.5,18.814651466908536,1.5819424810060392,37.106919429150004,31.2364748495,1.0,0.027112012847510508,11,18.118255240255273
depth-ablation,production-scip,rl-gcnn-d50,20,10,0.5,18.873823937659303,1.6602866105049792,37.118785606450004,31.189544024499998,1.0,0.028050343263295262,9,18.166693781624403
depth-ablation,production-scip,rl-gcnn-unlimited,20,11,0.55,18.74106905005534,1.6808700819867548,35.55749633685,29.4764156415,1.0,0.02843010524223774,0,18.022416916338422
