event_index,node_id,depth,candidate_count,selected_candidate_index,selected_variable_index,selected_variable_name,lp_value,fractionality,selected_q,inference_time_seconds,selection_time_seconds,selected_is_candidate,result,fallback_reason
0,1,0,247,10,17,t_m_4_1,0.18436692744119748,0.18436692744119748,-24.958831787109375,0.057715257999999998,0.125362642,true,branched,
1,2,1,248,11,16,t_m_4_0,0.20569896424019685,0.20569896424019685,-24.980083465576172,1.13778033,1.210920196,true,branched,
2,5,2,221,15,32,t_m_8_0,0.24908341675008261,0.24908341675008261,-25.020656585693359,1.43902014,1.505753288,true,branched,
3,7,3,252,26,50,t_m_12_2,0.14276185709519051,0.14276185709519051,-25.09246826171875,0.015687547999999999,0.083259020000000003,true,branched,
4,9,4,235,38,84,t_m_21_0,0.12391672922922869,0.12391672922922869,-25.129425048828125,0.015418522,0.081734744999999998,true,branched,
5,11,5,217,22,61,t_m_15_1,0.19875384715783795,0.19875384715783795,-25.129886627197266,0.016506691,0.088874139000000005,true,branched,
6,13,6,229,10,26,t_m_6_2,0.24953186807497149,0.24953186807497149,-25.228897094726562,0.015444406000000001,0.081793004000000002,true,branched,
7,15,7,206,22,96,t_m_24_0,0.0010000000000000009,0.0010000000000000009,-25.415876388549805,0.015733302000000001,0.082941474000000001,true,branched,
8,17,8,238,28,83,t_m_20_3,0.0010000000000001119,0.0010000000000001119,-25.452018737792969,0.015426633,0.081844446000000001,true,branched,
9,18,9,211,35,157,t_z_7_5_2,0.99633366700033354,0.99633366700033354,-25.47160530090332,0.015430272,0.081969402999999996,true,branched,
10,21,10,225,61,346,t_z_109_110_1,0.99383333333333246,0.99383333333333246,-25.505571365356445,0.016544281000000001,0.084347462999999998,true,branched,
11,23,11,224,215,1995,t_z_132_22_1,0.996,0.996,-25.553802490234375,0.015505276,0.083600576999999995,true,branched,
12,25,12,217,77,675,t_z_146_145_1,0.999,0.999,-25.609264373779297,0.0155216,0.082045425000000005,true,branched,
13,27,13,216,65,471,t_z_125_124_3,0.999,0.999,-25.598321914672852,0.015451954,0.081630227,true,branched,
14,29,14,215,63,463,t_z_124_123_3,0.999,0.999,-25.607965469360352,0.016540079999999999,0.088415399000000006,true,branched,
15,31,15,213,212,2123,t_z_241_147_1,0.999,0.999,-25.641689300537109,0.015465748,0.082757954999999994,true,branched,
16,33,16,212,37,148,t_z_5_6_2,0.002666666666666706,0.002666666666666706,-25.623777389526367,0.015786583999999999,0.082725623999999998,true,branched,
17,35,17,229,23,71,t_m_17_3,0.14435714285714274,0.14435714285714274,-25.518651962280273,0.015469853,0.081878192000000002,true,branched,
