event_index,node_id,depth,candidate_count,selected_candidate_index,selected_variable_index,selected_variable_name,lp_value,fractionality,selected_q,inference_time_seconds,selection_time_seconds,selected_is_candidate,result,fallback_reason
0,1,0,221,39,65,t_m_16_1,0.17349454098917549,0.17349454098917549,-23.966365814208984,0.14284439400000001,0.19202783900000001,true,branched,
1,2,1,221,45,81,t_m_20_1,0.16437427761183945,0.16437427761183945,-23.864387512207031,1.1374327369999999,1.1860605239999999,true,branched,
2,4,2,221,35,57,t_m_14_1,0.20200438842962787,0.20200438842962787,-23.88311767578125,1.435564249,1.483952446,true,branched,
3,6,3,229,2,3,t_m_0_3,0.18713093692317118,0.18713093692317118,-23.918533325195312,0.011161602,0.063421670999999999,true,branched,
4,8,4,228,51,85,t_m_21_1,0.23411830159984925,0.23411830159984925,-23.952594757080078,0.010818876999999999,0.058526512000000003,true,branched,
5,10,5,235,19,31,t_m_7_3,0.23430164356043381,0.23430164356043381,-24.021005630493164,0.010823609999999999,0.058573326000000002,true,branched,
6,12,6,229,52,87,t_m_21_3,0.18920594324659001,0.18920594324659001,-24.018604278564453,0.010836023,0.069664741000000002,true,branched,
7,14,7,227,28,49,t_m_12_1,0.14598949610290946,0.14598949610290946,-24.065362930297852,0.010807249,0.058895418999999997,true,branched,
8,16,8,223,31,51,t_m_12_3,0.18850451809177449,0.18850451809177449,-24.097108840942383,0.010830808000000001,0.05883422,true,branched,
9,18,9,216,33,56,t_m_14_0,0.13091406680033252,0.13091406680033252,-24.12043571472168,0.010837365999999999,0.058888719999999999,true,branched,
10,19,9,206,33,60,t_m_15_0,0.19198813322379393,0.19198813322379393,-24.157142639160156,0.011289046,0.063769331999999998,true,branched,
11,23,10,217,157,739,t_z_59_2_1,0.999,0.999,-24.331699371337891,0.011262490999999999,0.060331006999999999,true,branched,
12,25,11,216,-1,-1,,,,,0,0,false,did_not_run,depth_limit:relpscost
13,26,12,166,-1,-1,,,,,0,0,false,did_not_run,depth_limit:relpscost
14,24,11,214,-1,-1,,,,,0,0,false,did_not_run,depth_limit:relpscost
15,31,12,154,-1,-1,,,,,0,0,false,did_not_run,depth_limit:relpscost
