event_index,node_id,depth,candidate_count,selected_candidate_index,selected_variable_index,selected_variable_name,lp_value,fractionality,selected_q,inference_time_seconds,selection_time_seconds,selected_is_candidate,result,fallback_reason
0,1,0,221,52,93,t_z_2_1_2,0.34698908197835099,0.34698908197835099,-16.688810348510742,0.112095732,0.16115167999999999,true,branched,
1,3,1,225,66,139,t_z_20_16_1,0.31901042708759642,0.31901042708759642,-16.519119262695312,1.143578282,1.1937144559999999,true,branched,
2,5,2,224,101,417,t_z_90_89_0,0.36197914582480717,0.36197914582480717,-16.694116592407227,1.4396265100000001,1.491100069,true,branched,
3,6,3,224,105,425,t_z_91_90_0,0.36197914582480717,0.36197914582480717,-16.346231460571289,0.011461548,0.065309839999999994,true,branched,
4,8,4,224,101,416,t_z_89_90_0,0.36197914582480717,0.36197914582480717,-15.986599922180176,0.010945168999999999,0.058747001,true,branched,
5,11,5,223,104,424,t_z_90_91_0,0.36197914582480717,0.36197914582480717,-15.584515571594238,0.010936934000000001,0.058684873999999998,true,branched,
6,13,6,222,107,467,t_z_16_15_1,0.31901042708759642,0.31901042708759642,-15.167610168457031,0.011177183,0.059301908,true,branched,
7,15,7,220,133,689,t_z_121_120_0,0.35286813134738049,0.35286813134738049,-14.849270820617676,0.010930703,0.058974973,true,branched,
8,16,8,216,178,1385,t_z_239_238_0,0.33891090425829873,0.33891090425829873,-14.414283752441406,0.010956057,0.058874674000000002,true,branched,
9,18,9,215,105,465,t_z_16_15_0,0.33891090425829828,0.33891090425829828,-14.039760589599609,0.010934098,0.058674454000000001,true,branched,
10,20,10,215,105,464,t_z_15_16_0,0.33891090425829828,0.33891090425829828,-13.589933395385742,0.01094319,0.058546508999999997,true,branched,
11,23,11,214,75,192,t_z_16_35_0,0.3795608015326869,0.3795608015326869,-12.808130264282227,0.011327307,0.059970916999999999,true,branched,
12,25,12,213,141,721,t_z_60_59_0,0.27131201906675029,0.27131201906675029,-12.967226982116699,0.010922042,0.058932176000000003,true,branched,
13,26,13,212,185,1400,t_z_240_241_0,0.37071576130265083,0.37071576130265083,-12.611137390136719,0.011001669,0.058989664999999997,true,branched,
14,29,14,211,180,1393,t_z_240_239_0,0.37071576130265083,0.37071576130265083,-12.275670051574707,0.010947818,0.059204277999999999,true,branched,
