event_index,node_id,depth,candidate_count,selected_candidate_index,selected_variable_index,selected_variable_name,lp_value,fractionality,selected_q,inference_time_seconds,selection_time_seconds,selected_is_candidate,result,fallback_reason
0,1,0,221,2,3,t_m_0_3,0.1999999999999999,0.1999999999999999,-30.215398788452148,0.067199492,0.11605022600000001,true,branched,
1,2,1,220,18,31,t_m_7_3,0.24999999999999983,0.24999999999999983,-30.216442108154297,1.1388050970000001,1.191382658,true,branched,
2,5,2,204,3,6,t_m_1_2,0.00099999999999997205,0.00099999999999997205,-30.2142333984375,1.4307776270000001,1.480484833,true,branched,
3,6,3,202,20,40,t_m_10_0,0.0010000000000000009,0.0010000000000000009,-30.215387344360352,0.010879368,0.062014759000000003,true,branched,
4,9,4,197,3,7,t_m_1_3,0.0010000000000000009,0.0010000000000000009,-30.213188171386719,0.01079978,0.058295411999999998,true,branched,
5,11,5,199,29,57,t_m_14_1,0.00066666666666659324,0.00066666666666659324,-30.214426040649414,0.011195437000000001,0.059722839,true,branched,
6,12,6,199,34,65,t_m_16_1,0.018032407407407691,0.018032407407407691,-30.215219497680664,0.010789681000000001,0.058696349000000002,true,branched,
7,15,7,203,29,61,t_m_15_1,0.0029999999999998916,0.0029999999999998916,-30.214166641235352,0.010791718,0.058263214000000001,true,branched,
8,16,8,202,29,63,t_m_15_3,0.0019999999999998908,0.0019999999999998908,-30.214260101318359,0.010850911,0.058954303999999999,true,branched,
9,19,9,206,25,49,t_m_12_1,0.0010000000000000009,0.0010000000000000009,-30.212804794311523,0.010852367999999999,0.067263232000000006,true,branched,
10,20,10,201,25,53,t_m_13_1,0.0010000000000000009,0.0010000000000000009,-30.212465286254883,0.010825341,0.058768041,true,branched,
11,23,11,178,20,45,t_m_11_1,0.28218560606060583,0.28218560606060583,-30.213813781738281,0.010800074999999999,0.058159651,true,branched,
12,25,12,164,6,23,t_m_5_3,0.31646666666666667,0.31646666666666667,-30.214462280273438,0.010797452000000001,0.058284678999999999,true,branched,
13,26,13,167,11,35,t_m_8_3,0.00049999999999994493,0.00049999999999994493,-30.211435317993164,0.011297201999999999,0.063060538999999999,true,branched,
14,29,14,168,11,25,t_m_6_1,0.00099999999999997205,0.00099999999999997205,-30.210664749145508,0.010804220999999999,0.058452337,true,branched,
15,30,15,167,1,2,t_m_0_2,0.0010000000000000009,0.0010000000000000009,-30.210390090942383,0.010824527,0.058262947000000002,true,branched,
16,33,16,165,55,201,t_z_38_15_0,0.65641249999999995,0.65641249999999995,-30.201072692871094,0.011143161,0.058890107999999997,true,branched,
17,35,17,163,10,37,t_m_9_1,0.031062500000000104,0.031062500000000104,-30.210248947143555,0.010794253,0.05829169,true,branched,
18,36,18,161,3,17,t_m_4_1,0.18737499999999985,0.18737499999999985,-30.210973739624023,0.010811169000000001,0.058509512999999999,true,branched,
19,38,19,157,10,39,t_m_9_3,0.083500000000000046,0.083500000000000046,-30.211769104003906,0.010824113999999999,0.058280077,true,branched,
