event_index,node_id,depth,candidate_count,selected_candidate_index,selected_variable_index,selected_variable_name,lp_value,fractionality,selected_q,inference_time_seconds,selection_time_seconds,selected_is_candidate,result,fallback_reason
0,1,0,51,9,18,t_m_4_2,0.50099999999999989,0.50099999999999989,-25.509160995483398,0.092890573000000004,0.111053438,true,branched,
1,3,1,49,6,10,t_m_2_2,0.49883333333333335,0.49883333333333335,-25.493473052978516,1.147281778,1.1684389449999999,true,branched,
2,5,2,47,9,25,t_m_6_1,0.4995,0.4995,-25.442525863647461,1.42841705,1.448092285,true,branched,
3,7,3,33,6,21,t_m_5_1,0.5003333333333333,0.5003333333333333,-25.397319793701172,0.0048372500000000004,0.024731574999999999,true,branched,
4,9,4,32,1,3,t_m_0_3,0.25,0.25,-25.397701263427734,0.0045151419999999998,0.022346023999999999,true,branched,
5,11,5,24,19,1113,t_z_18_15_2,0.999,0.999,-25.396884918212891,0.0045149630000000003,0.022494512000000001,true,branched,
6,13,6,22,12,1046,t_z_3_33_1,0.999,0.999,-25.405954360961914,0.0044707710000000001,0.022294814999999999,true,branched,
7,15,7,20,13,1049,t_z_33_3_2,0.99950000000000006,0.99950000000000006,-25.429098129272461,0.0044917409999999996,0.022356178000000001,true,branched,
8,17,8,16,9,1045,t_z_33_3_0,0.999,0.999,-25.417060852050781,0.0049769829999999999,0.023343274000000001,true,branched,
9,18,9,14,3,69,t_z_32_3_0,0.999,0.999,-25.400091171264648,0.0045187700000000001,0.022470728999999998,true,branched,
10,21,10,13,7,1108,t_z_15_18_0,0.99900000000000011,0.99900000000000011,-25.395492553710938,0.0045089300000000004,0.022346087000000001,true,branched,
11,23,11,8,4,71,t_z_32_3_1,0.999,0.999,-25.396856307983398,0.0044582600000000003,0.022197275999999998,true,branched,
12,25,12,5,3,919,t_z_188_10_1,0.999,0.999,-25.398977279663086,0.0046216529999999999,0.022667897999999999,true,branched,
13,27,13,3,1,45,t_z_17_15_0,0.999,0.999,-25.491098403930664,0.0045006050000000004,0.022402603,true,branched,
