event_index,node_id,depth,candidate_count,selected_candidate_index,selected_variable_index,selected_variable_name,lp_value,fractionality,selected_q,inference_time_seconds,selection_time_seconds,selected_is_candidate,result,fallback_reason
0,1,0,51,12,22,t_m_5_2,0.0019999999999996505,0.0019999999999996505,-61.828804016113281,0.10456021,0.122799299,true,branched,
1,3,1,49,9,19,t_m_4_3,0.00066666666666659324,0.00066666666666659324,-61.679672241210938,1.1494537380000001,1.1679548,true,branched,
2,5,2,52,4,6,t_m_1_2,0.00040000000000262048,0.00040000000000262048,-61.741188049316406,1.43798446,1.457811325,true,branched,
3,7,3,45,14,71,t_z_32_3_1,0.24975000000000003,0.24975000000000003,-62.365070343017578,0.0047410600000000001,0.024532442000000002,true,branched,
4,9,4,43,0,8,t_m_2_0,0.24975000000000003,0.24975000000000003,-62.553489685058594,0.0045557469999999997,0.022514352000000001,true,branched,
5,11,5,42,2,12,t_m_3_0,0.0010000000000000009,0.0010000000000000009,-62.079063415527344,0.0045254780000000003,0.022350195999999999,true,branched,
6,12,6,33,29,1849,t_z_188_29_2,0.0010000000000000009,0.0010000000000000009,-62.736831665039062,0.0045144829999999997,0.022263748999999999,true,branched,
7,15,7,26,8,69,t_z_32_3_0,0.50049999999999994,0.50049999999999994,-63.041778564453125,0.0049171980000000002,0.023005383000000001,true,branched,
8,17,8,25,19,1048,t_z_3_33_2,0.00099999999999997205,0.00099999999999997205,-63.115535736083984,0.0045255900000000003,0.022461317000000001,true,branched,
9,19,9,25,4,40,t_z_1_3_2,0.00099999999999997205,0.00099999999999997205,-63.222667694091797,0.0045027499999999998,0.022203029999999999,true,branched,
10,21,10,22,3,25,t_m_6_1,0.4995,0.4995,-63.400493621826172,0.0045108839999999997,0.02222205,true,branched,
11,23,11,5,2,1108,t_z_15_18_0,0.0010000000000000009,0.0010000000000000009,-63.746879577636719,0.0045023830000000004,0.022232142999999999,true,branched,
