instance_id,split,size,protocol,method,solver_method,seed,status,objective,primal_bound,dual_bound,gap,wall_time,presolve_time,solve_time,solve_time_after_presolve,nodes,lp_iterations,primal_dual_integral,first_solution_time,branch_decisions,rl_inference_total,rl_inference_mean,rl_inference_max,fallback_count,illegal_actions,legality_checks,n_vars,n_int_vars,n_constraints,active_branching_rule,node_selection_rule,threads,time_limit,node_limit,has_solution,solution_feasible,return_code,json_path,log_path,branch_log_path
real_08,validation,medium,controlled-bbmdp,rl-gcnn-3step,rl-gcnn,0,optimal,0.00961209999999999,0.00961209999999999,0.00961209999999999,0,26.779851444,1.424026,24.563377,23.139351,51,13280,2451.089,24.495484,51,3.287119416,0.0644533218823529,1.428795945,0,0,51,27094,2880,65069,rlgcnn,dfs,1,30,-1,True,True,0,results/final/ablations/models/raw/controlled-bbmdp/real_08/controlled-bbmdp__real_08__rl-gcnn-3step__seed0.json,results/final/ablations/models/raw/controlled-bbmdp/real_08/controlled-bbmdp__real_08__rl-gcnn-3step__seed0.log,results/final/ablations/models/raw/controlled-bbmdp/real_08/controlled-bbmdp__real_08__rl-gcnn-3step__seed0.branches.csv
real_08,validation,medium,controlled-bbmdp,rl-gcnn-3step,rl-gcnn,1,optimal,0.00961209999999999,0.00961209999999999,0.00961209999999999,0,19.89342813,1.599923,17.584848,15.984925,1,9350,1750.939,17.471177,0,0,0,0,0,0,0,27094,2880,65069,rlgcnn,dfs,1,30,-1,True,True,0,results/final/ablations/models/raw/controlled-bbmdp/real_08/controlled-bbmdp__real_08__rl-gcnn-3step__seed1.json,results/final/ablations/models/raw/controlled-bbmdp/real_08/controlled-bbmdp__real_08__rl-gcnn-3step__seed1.log,results/final/ablations/models/raw/controlled-bbmdp/real_08/controlled-bbmdp__real_08__rl-gcnn-3step__seed1.branches.csv
real_08,validation,medium,controlled-bbmdp,rl-gcnn-3step,rl-gcnn,2,optimal,0.00961209999999999,0.00961209999999999,0.00961209999999999,0,22.552462507,1.614375,20.202255,18.58788,1,12476,2012.5111,20.103103,0,0,0,0,0,0,0,27094,2880,65069,rlgcnn,dfs,1,30,-1,True,True,0,results/final/ablations/models/raw/controlled-bbmdp/real_08/controlled-bbmdp__real_08__rl-gcnn-3step__seed2.json,results/final/ablations/models/raw/controlled-bbmdp/real_08/controlled-bbmdp__real_08__rl-gcnn-3step__seed2.log,results/final/ablations/models/raw/controlled-bbmdp/real_08/controlled-bbmdp__real_08__rl-gcnn-3step__seed2.branches.csv
real_08,validation,medium,controlled-bbmdp,rl-gcnn-3step,rl-gcnn,3,optimal,0.00961209999999999,0.00961209999999999,0.00961209999999999,0,22.262728687,1.611722,19.96045,18.348728,1,9441,1989.6508,19.873973,0,0,0,0,0,0,0,27094,2880,65069,rlgcnn,dfs,1,30,-1,True,True,0,results/final/ablations/models/raw/controlled-bbmdp/real_08/controlled-bbmdp__real_08__rl-gcnn-3step__seed3.json,results/final/ablations/models/raw/controlled-bbmdp/real_08/controlled-bbmdp__real_08__rl-gcnn-3step__seed3.log,results/final/ablations/models/raw/controlled-bbmdp/real_08/controlled-bbmdp__real_08__rl-gcnn-3step__seed3.branches.csv
real_08,validation,medium,controlled-bbmdp,rl-gcnn-3step,rl-gcnn,4,optimal,0.0096121,0.0096121,0.0096121,0,31.761641003,1.610878,29.452573,27.841695,64,11719,2944.4988,29.441745,63,3.332857643,0.0529025022698413,1.430622065,0,0,63,27094,2880,65069,rlgcnn,dfs,1,30,-1,True,True,0,results/final/ablations/models/raw/controlled-bbmdp/real_08/controlled-bbmdp__real_08__rl-gcnn-3step__seed4.json,results/final/ablations/models/raw/controlled-bbmdp/real_08/controlled-bbmdp__real_08__rl-gcnn-3step__seed4.log,results/final/ablations/models/raw/controlled-bbmdp/real_08/controlled-bbmdp__real_08__rl-gcnn-3step__seed4.branches.csv
real_08,validation,medium,controlled-bbmdp,rl-gcnn-1step,rl-gcnn,0,optimal,0.0096121,0.0096121,0.0096121,0,26.944106145,1.424386,24.641893,23.217507,53,13178,2463.3442,24.630233,51,3.255953013,0.0638422159411765,1.43071855,0,0,51,27094,2880,65069,rlgcnn,dfs,1,30,-1,True,True,0,results/final/ablations/models/raw/controlled-bbmdp/real_08/controlled-bbmdp__real_08__rl-gcnn-1step__seed0.json,results/final/ablations/models/raw/controlled-bbmdp/real_08/controlled-bbmdp__real_08__rl-gcnn-1step__seed0.log,results/final/ablations/models/raw/controlled-bbmdp/real_08/controlled-bbmdp__real_08__rl-gcnn-1step__seed0.branches.csv
real_08,validation,medium,controlled-bbmdp,rl-gcnn-1step,rl-gcnn,1,optimal,0.00961209999999999,0.00961209999999999,0.00961209999999999,0,19.929052078,1.604296,17.614761,16.010465,1,9350,1753.8424,17.500363,0,0,0,0,0,0,0,27094,2880,65069,rlgcnn,dfs,1,30,-1,True,True,0,results/final/ablations/models/raw/controlled-bbmdp/real_08/controlled-bbmdp__real_08__rl-gcnn-1step__seed1.json,results/final/ablations/models/raw/controlled-bbmdp/real_08/controlled-bbmdp__real_08__rl-gcnn-1step__seed1.log,results/final/ablations/models/raw/controlled-bbmdp/real_08/controlled-bbmdp__real_08__rl-gcnn-1step__seed1.branches.csv
real_08,validation,medium,controlled-bbmdp,rl-gcnn-1step,rl-gcnn,2,optimal,0.00961209999999999,0.00961209999999999,0.00961209999999999,0,22.562588215,1.608908,20.21783,18.608922,1,12476,2014.0688,20.117518,0,0,0,0,0,0,0,27094,2880,65069,rlgcnn,dfs,1,30,-1,True,True,0,results/final/ablations/models/raw/controlled-bbmdp/real_08/controlled-bbmdp__real_08__rl-gcnn-1step__seed2.json,results/final/ablations/models/raw/controlled-bbmdp/real_08/controlled-bbmdp__real_08__rl-gcnn-1step__seed2.log,results/final/ablations/models/raw/controlled-bbmdp/real_08/controlled-bbmdp__real_08__rl-gcnn-1step__seed2.branches.csv
real_08,validation,medium,controlled-bbmdp,rl-gcnn-1step,rl-gcnn,3,optimal,0.00961209999999999,0.00961209999999999,0.00961209999999999,0,22.270423503,1.608705,19.956085,18.34738,1,9441,1989.1833,19.869798,0,0,0,0,0,0,0,27094,2880,65069,rlgcnn,dfs,1,30,-1,True,True,0,results/final/ablations/models/raw/controlled-bbmdp/real_08/controlled-bbmdp__real_08__rl-gcnn-1step__seed3.json,results/final/ablations/models/raw/controlled-bbmdp/real_08/controlled-bbmdp__real_08__rl-gcnn-1step__seed3.log,results/final/ablations/models/raw/controlled-bbmdp/real_08/controlled-bbmdp__real_08__rl-gcnn-1step__seed3.branches.csv
real_08,validation,medium,controlled-bbmdp,rl-gcnn-1step,rl-gcnn,4,optimal,0.00961209999999999,0.00961209999999999,0.00961209999999999,0,30.665845068,1.621093,28.324282,26.703189,51,11618,2825.175,28.227253,51,3.190785993,0.0625644312352941,1.431204087,0,0,51,27094,2880,65069,rlgcnn,dfs,1,30,-1,True,True,0,results/final/ablations/models/raw/controlled-bbmdp/real_08/controlled-bbmdp__real_08__rl-gcnn-1step__seed4.json,results/final/ablations/models/raw/controlled-bbmdp/real_08/controlled-bbmdp__real_08__rl-gcnn-1step__seed4.log,results/final/ablations/models/raw/controlled-bbmdp/real_08/controlled-bbmdp__real_08__rl-gcnn-1step__seed4.branches.csv
