protocol,instance_id,split,size,method,runs,solved,solved_rate,shifted_gmean_wall_time,shifted_gmean_nodes,mean_final_gap,finite_gap_runs,par2,branch_decisions,rl_inference_total,fallback_count
controlled-bbmdp,real_01,transfer,medium,default,5,0,0.0,30.8531350972698,4.431007000198877,0.0840867577107423,3,60.0,0,0.0,0
controlled-bbmdp,real_01,transfer,medium,mostinf,5,1,0.2,30.226253868126637,138.06991301932138,0.06678711204874156,3,53.4736747252,0,0.0,0
controlled-bbmdp,real_01,transfer,medium,random,5,2,0.4,29.951652120153028,139.24828272677198,0.05934173338195667,3,47.454223079200005,0,0.0,0
controlled-bbmdp,real_01,transfer,medium,relpscost,5,0,0.0,30.811470739043287,4.193957121017385,0.0840867577107423,3,60.0,0,0.0,0
controlled-bbmdp,real_01,transfer,medium,rl-gcnn,5,0,0.0,32.91061745142392,39.71178808377242,0.0840867577107423,3,60.0,302,17.250727706,0
controlled-bbmdp,real_01,transfer,medium,rl-mlp,5,0,0.0,31.469844286430963,144.01263922221517,0.0741526743487233,3,60.0,795,0.502520741,0
controlled-bbmdp,real_02,transfer,large,default,5,0,0.0,33.494521158739204,1.0,,0,60.0,0,0.0,0
controlled-bbmdp,real_02,transfer,large,mostinf,5,0,0.0,33.30296091973996,1.0,,0,60.0,0,0.0,0
controlled-bbmdp,real_02,transfer,large,random,5,0,0.0,33.20895566926013,1.0,,0,60.0,0,0.0,0
controlled-bbmdp,real_02,transfer,large,relpscost,5,0,0.0,33.41658237183897,1.0,,0,60.0,0,0.0,0
controlled-bbmdp,real_02,transfer,large,rl-gcnn,5,0,0.0,35.589938574256074,1.0,,0,60.0,0,0.0,0
controlled-bbmdp,real_02,transfer,large,rl-mlp,5,0,0.0,33.9676860658733,1.0,,0,60.0,0,0.0,0
controlled-bbmdp,real_03,transfer,medium,default,5,0,0.0,30.798169925509367,1.0,,0,60.0,0,0.0,0
controlled-bbmdp,real_03,transfer,medium,mostinf,5,0,0.0,30.694216639514913,1.0,,0,60.0,0,0.0,0
controlled-bbmdp,real_03,transfer,medium,random,5,0,0.0,30.749092606489572,1.0,,0,60.0,0,0.0,0
