protocol,method,paired_runs,paired_speedup,paired_speedup_ci_low,paired_speedup_ci_high,wins,ties,losses,jointly_solved,geomean_node_speedup_joint
controlled-bbmdp,default,35,1.0,1.0,1.0,0,35,0,8,1.0
controlled-bbmdp,relpscost,35,0.9985071627470171,0.9968999289138595,0.9998839523015793,2,27,6,8,1.0
controlled-bbmdp,random,35,1.1427167944451293,1.038547879673407,1.2779248891367727,9,22,4,8,0.8716855428717356
controlled-bbmdp,mostinf,35,1.1229920916983478,1.026547184001793,1.2490223425155917,8,23,4,8,0.8528934004392494
controlled-bbmdp,strong,5,0.8853992649152933,0.7125650379503248,0.9896619169633735,0,0,5,5,0.9135684039934859
controlled-bbmdp,rl-mlp,35,0.9776330425328387,0.9405026053597004,1.0135702576885595,1,27,7,8,0.9091297038263463
controlled-bbmdp,rl-gcnn,35,0.9060796974195503,0.8115767038195946,0.998303684242758,1,26,8,8,0.8528934004392494
production-scip,default,35,1.0,1.0,1.0,0,35,0,9,1.0
production-scip,relpscost,35,0.9991345100252234,0.9973338833087596,1.0011820122913848,1,26,8,9,1.0
production-scip,random,35,1.077492981602078,0.9796415236197731,1.1962908333796272,5,23,7,8,1.1066819197003217
production-scip,mostinf,35,1.1089824919684852,1.024106880709611,1.2211824397162852,8,23,4,9,0.7833810369372723
production-scip,strong,5,0.8067364611943378,0.5593039632687692,0.9743381036723293,0,0,5,5,0.8705505632961241
production-scip,rl-mlp,35,1.0214429973543455,0.9635725770252199,1.0889754828118288,3,25,7,9,0.9364566600370358
production-scip,rl-gcnn,35,0.965850122921742,0.8548657486311486,1.0946552186653837,5,22,8,9,0.834211313295122
