protocol,method,paired_runs,paired_speedup,paired_speedup_ci_low,paired_speedup_ci_high,wins,ties,losses,jointly_solved,geomean_node_speedup_joint
controlled-bbmdp,default,2,1.0,1.0,1.0,0,2,0,1,1.0
controlled-bbmdp,relpscost,2,1.0204568766017104,1.0,1.0413322370037184,1,1,0,1,1.0
controlled-bbmdp,random,2,2.2347283799320308,1.717864499723316,2.907104100980018,2,0,0,1,0.3333333333333333
controlled-bbmdp,mostinf,2,2.2835851612500564,1.7139409385624464,3.042555943062591,2,0,0,1,0.28
controlled-bbmdp,strong,1,0.5958754876738432,0.5958754876738432,0.5958754876738432,0,0,1,1,0.6363636363636364
controlled-bbmdp,rl-mlp,2,1.217148084387447,1.0,1.4814494593280318,1,1,0,1,0.4666666666666667
controlled-bbmdp,rl-gcnn,2,1.0479633114073845,0.5364925339331926,2.0470501127098424,1,0,1,1,0.28
production-scip,default,2,1.0,1.0,1.0,0,2,0,2,1.0
production-scip,relpscost,2,0.9987667838095936,0.997149971786358,1.0003862173854465,1,0,1,2,1.0
production-scip,random,2,0.9423442540318693,0.4791216389666667,1.8534180485399885,1,0,1,1,2.25
production-scip,mostinf,2,1.6291275256962618,1.426458049192657,1.8605920422849875,2,0,0,2,0.33333333333333337
production-scip,strong,1,0.3847973034654256,0.3847973034654256,0.3847973034654256,0,0,1,1,0.5
production-scip,rl-mlp,2,1.4673885177736148,1.389322784548066,1.5498407469033706,2,0,0,2,0.7442084075352507
production-scip,rl-gcnn,2,0.7744795915851848,0.5954891608634285,1.0072704546162496,1,0,1,2,0.44232586846469135
