event_index,node_id,depth,candidate_count,selected_candidate_index,selected_variable_index,selected_variable_name,lp_value,fractionality,selected_q,inference_time_seconds,selection_time_seconds,selected_is_candidate,result,fallback_reason
0,1,0,180,34,61,t_m_15_1,0.13006684755322123,0.13006684755322123,-24.733194351196289,0.19917813400000001,0.24745682299999999,true,branched,
1,3,1,184,39,80,t_m_20_0,0.22337563160409465,0.22337563160409465,-24.70159912109375,1.1326987770000001,1.179799746,true,branched,
2,5,2,191,1,3,t_m_0_3,0.22188888888888891,0.22188888888888891,-24.744134902954102,1.4481132940000001,1.4954164839999999,true,branched,
3,7,3,176,8,16,t_m_4_0,0.16638095238095252,0.16638095238095252,-24.754379272460938,0.01076593,0.061367076,true,branched,
4,9,4,149,2,7,t_m_1_3,0.083333333333333037,0.083333333333333037,-24.878408432006836,0.010347512999999999,0.057520262000000003,true,branched,
5,10,5,153,3,9,t_m_2_1,0.30555555555555569,0.30555555555555569,-24.913692474365234,0.010376186000000001,0.057136956000000003,true,branched,
6,13,6,138,1,5,t_m_1_1,0.18997619047619069,0.18997619047619069,-24.868497848510742,0.010604307,0.067575630999999997,true,branched,
7,15,7,134,6,27,t_m_6_3,0.084333333333333149,0.084333333333333149,-24.977035522460938,0.010459913,0.058565990999999998,true,branched,
8,16,8,135,9,31,t_m_7_3,0.16866666666666608,0.16866666666666608,-24.928520202636719,0.010304337,0.058211923999999998,true,branched,
9,19,9,138,5,25,t_m_6_1,0.16700000000000004,0.16700000000000004,-24.965190887451172,0.010549647000000001,0.057939288999999998,true,branched,
10,20,10,137,1,15,t_m_3_3,0.16933333333333345,0.16933333333333345,-25.004419326782227,0.010811415,0.063208340000000002,true,branched,
11,22,11,151,20,71,t_m_17_3,0.16666666666666674,0.16666666666666674,-25.03779411315918,0.010351249,0.057949829000000001,true,branched,
12,25,12,146,24,87,t_m_21_3,0.16666666666666652,0.16666666666666652,-25.076595306396484,0.010320124,0.057371857999999998,true,branched,
13,26,13,149,22,84,t_m_21_0,0.18038888888888899,0.18038888888888899,-25.108669281005859,0.010376952,0.058162750999999999,true,branched,
14,29,14,146,12,48,t_m_12_0,0.25,0.25,-25.195150375366211,0.011641642000000001,0.058862069000000003,true,branched,
15,30,15,143,13,50,t_m_12_2,0.25,0.25,-25.233709335327148,0.010368822,0.057435642000000002,true,branched,
16,33,16,138,15,55,t_m_13_3,0.16666666666666674,0.16666666666666674,-25.231191635131836,0.010373373,0.057811899,true,branched,
17,35,17,136,8,36,t_m_9_0,0.16666666666666674,0.16666666666666674,-25.284418106079102,0.010363518,0.057609866000000003,true,branched,
18,36,18,135,9,38,t_m_9_2,0.16616666666666724,0.16616666666666724,-25.294565200805664,0.010429434,0.066130760999999996,true,branched,
19,39,19,131,10,65,t_m_16_1,0.00049999999999994493,0.00049999999999994493,-25.477880477905273,0.010275316,0.057093389000000001,true,branched,
20,40,20,129,15,79,t_m_19_3,0.00050000000000001486,0.00050000000000001486,-25.500179290771484,0.010388028000000001,0.057613364,true,branched,
21,42,21,124,12,75,t_m_18_3,0.00099999999999988987,0.00099999999999988987,-25.52094841003418,0.010302881999999999,0.057800261999999998,true,branched,
22,44,22,129,11,59,t_m_14_3,0.00049999999999983391,0.00049999999999983391,-25.539077758789062,0.011872435000000001,0.062770833999999998,true,branched,
23,46,23,128,12,67,t_m_16_3,0.00050000000000000044,0.00050000000000000044,-25.566450119018555,0.010307729999999999,0.057890206999999999,true,branched,
24,48,24,123,30,147,t_z_23_16_1,0.5,0.5,-25.606040954589844,0.010362313999999999,0.057418485999999998,true,branched,
25,51,25,122,24,121,t_z_18_15_0,0.999,0.999,-25.624120712280273,0.010416879,0.057704460999999999,true,branched,
26,53,26,112,20,127,t_z_18_15_3,0.99949999999999994,0.99949999999999994,-25.634544372558594,0.010339051,0.057688991000000002,true,branched,
27,55,27,110,4,45,t_m_11_1,0.0015000000000000568,0.0015000000000000568,-25.677253723144531,0.010271699,0.056769357999999999,true,branched,
28,57,28,111,10,76,t_m_19_0,0.25150000000000011,0.25150000000000011,-25.528776168823242,0.010631853,0.058219717999999997,true,branched,
29,59,29,111,8,43,t_m_10_3,0.25150000000000006,0.25150000000000006,-25.566123962402344,0.010392945000000001,0.057826300999999997,true,branched,
30,61,30,105,65,639,t_z_112_7_3,0.99750000000000005,0.99750000000000005,-25.713905334472656,0.010286712999999999,0.057152213,true,branched,
31,63,31,104,11,106,t_z_5_6_1,0.99800000000000011,0.99800000000000011,-25.745752334594727,0.01037239,0.057572927000000003,true,branched,
32,65,32,92,2,14,t_m_3_2,0.0010000000000000009,0.0010000000000000009,-25.777111053466797,0.010376384000000001,0.057716967000000001,true,branched,
33,67,33,86,4,72,t_m_18_0,0.0010000000000000009,0.0010000000000000009,-25.75776481628418,0.010310150000000001,0.068054096999999994,true,branched,
34,69,34,85,8,109,t_z_6_5_2,0.999,0.999,-25.775369644165039,0.010363414,0.057581819999999999,true,branched,
35,71,35,87,4,56,t_m_14_0,0.0012499999999999734,0.0012499999999999734,-25.787885665893555,0.010370539999999999,0.057660712000000003,true,branched,
36,73,36,80,37,634,t_z_7_112_1,0.999,0.999,-25.800567626953125,0.010356639000000001,0.057660055000000002,true,branched,
37,75,37,78,11,197,t_z_35_16_2,0.999,0.999,-25.812511444091797,0.010293228,0.057297847999999998,true,branched,
38,77,38,72,33,647,t_z_113_112_3,0.997,0.997,-25.826377868652344,0.011352685,0.063470968000000003,true,branched,
39,79,39,70,13,407,t_z_88_6_3,0.999,0.999,-25.844566345214844,0.01047229,0.058333584000000001,true,branched,
40,81,40,68,63,2056,t_z_7_219_0,0.999,0.999,-25.843788146972656,0.010264989,0.056739178000000001,true,branched,
41,83,41,67,25,601,t_z_109_88_0,0.999,0.999,-25.906105041503906,0.010329899999999999,0.056741443000000003,true,branched,
42,85,42,65,23,470,t_z_15_16_3,0.998,0.998,-25.986972808837891,0.010367685,0.057296047000000003,true,branched,
43,87,43,63,23,632,t_z_7_112_0,0.999,0.999,-26.015857696533203,0.010299463,0.057373506999999997,true,branched,
