event_index,node_id,depth,candidate_count,selected_candidate_index,selected_variable_index,selected_variable_name,lp_value,fractionality,selected_q,inference_time_seconds,selection_time_seconds,selected_is_candidate,result,fallback_reason
0,1,0,51,7,12,t_m_3_0,0.99800000000000022,0.99800000000000022,-214.33099365234375,0.00037512199999999998,0.00046033000000000001,true,branched,
1,3,1,48,5,8,t_m_2_0,0.49950000000000006,0.49950000000000006,-214.4815673828125,0.00030738500000000003,0.00036957100000000002,true,branched,
2,5,2,55,51,1853,t_z_29_18_0,0.999,0.999,-214.43682861328125,0.00029729000000000002,0.00036641000000000001,true,branched,
3,7,3,53,11,25,t_m_6_1,0.99849999999999994,0.99849999999999994,-216.40293884277344,0.00028618900000000001,0.00035386499999999997,true,branched,
4,9,4,39,10,22,t_m_5_2,0.50075000000000003,0.50075000000000003,-216.98583984375,0.000266247,0.00031692899999999997,true,branched,
5,11,5,37,3,5,t_m_1_1,0.5,0.5,-217.60995483398438,0.000270375,0.00032000799999999999,true,branched,
6,13,6,22,0,2,t_m_0_2,0.5,0.5,-217.87721252441406,0.00033850500000000001,0.000367852,true,branched,
7,15,7,18,7,919,t_z_188_10_1,0.999,0.999,-218.55455017089844,0.00026697400000000001,0.00029701199999999998,true,branched,
8,17,8,17,16,1113,t_z_18_15_2,0.999,0.999,-219.24989318847656,0.00024554500000000001,0.00027210400000000001,true,branched,
9,19,9,15,10,1045,t_z_33_3_0,0.999,0.999,-219.94522094726562,0.000218135,0.00024214000000000001,true,branched,
10,20,10,13,4,69,t_z_32_3_0,0.999,0.999,-220.53352355957031,0.00021652999999999999,0.00023743200000000001,true,branched,
11,23,11,12,10,1054,t_z_33_201_1,0.999,0.999,-221.19319152832031,0.00021356399999999999,0.00023376700000000001,true,branched,
12,25,12,11,4,70,t_z_3_32_1,0.999,0.999,-221.85285949707031,0.000215128,0.00023343300000000001,true,branched,
13,27,13,9,0,38,t_z_1_3_1,0.999,0.999,-222.54817199707031,0.000193177,0.00021036500000000001,true,branched,
14,29,14,4,0,40,t_z_1_3_2,0.50049999999999994,0.50049999999999994,-223.27487182617188,0.00021332299999999999,0.00022362599999999999,true,branched,
