event_index,node_id,depth,candidate_count,selected_candidate_index,selected_variable_index,selected_variable_name,lp_value,fractionality,selected_q,inference_time_seconds,selection_time_seconds,selected_is_candidate,result,fallback_reason
0,1,0,180,34,61,t_m_15_1,0.13006684755322123,0.13006684755322123,-24.733196258544922,0.090772728999999996,0.14219807600000001,true,branched,
1,2,1,183,37,63,t_m_15_3,0.14324015115832678,0.14324015115832678,-24.6710205078125,1.1338779699999999,1.1805030729999999,true,branched,
2,4,2,169,43,81,t_m_20_1,0.15266802194702189,0.15266802194702189,-24.674943923950195,1.4352859630000001,1.480869604,true,branched,
3,6,3,168,41,79,t_m_19_3,0.19999834313120146,0.19999834313120146,-24.686321258544922,0.011313973,0.061425928999999997,true,branched,
4,8,4,168,44,83,t_m_20_3,0.13008521286199537,0.13008521286199537,-24.738307952880859,0.010967368999999999,0.056725701000000003,true,branched,
5,10,5,167,39,70,t_m_17_2,0.16616666666666657,0.16616666666666657,-24.776313781738281,0.010876907999999999,0.056998119999999999,true,branched,
6,12,6,190,43,71,t_m_17_3,0.13187183504419608,0.13187183504419608,-24.824234008789062,0.011497283000000001,0.057810955999999997,true,branched,
7,14,7,193,45,76,t_m_19_0,0.20029999999999995,0.20029999999999995,-24.816183090209961,0.010843289000000001,0.056821984999999998,true,branched,
8,16,8,188,35,57,t_m_14_1,0.16674999999999984,0.16674999999999984,-24.842769622802734,0.010878682000000001,0.056919552999999998,true,branched,
9,18,9,164,39,69,t_m_17_1,0.2037867868270683,0.2037867868270683,-24.911733627319336,0.010864433999999999,0.056747566999999999,true,branched,
10,21,10,175,29,43,t_m_10_3,0.17555750064394363,0.17555750064394363,-25.105077743530273,0.011077597999999999,0.058505755999999999,true,branched,
11,23,11,166,5,9,t_m_2_1,0.15545989304812816,0.15545989304812816,-25.122312545776367,0.011445031,0.063535230999999998,true,branched,
12,25,12,168,10,21,t_m_5_1,0.1853157894736841,0.1853157894736841,-25.178447723388672,0.010907795,0.057227976999999999,true,branched,
13,27,13,153,11,28,t_m_7_0,0.1671851851851851,0.1671851851851851,-25.187952041625977,0.010903042999999999,0.057338685,true,branched,
14,29,14,134,1,2,t_m_0_2,0.056333333333333346,0.056333333333333346,-25.376459121704102,0.010952648000000001,0.056009042000000002,true,branched,
15,31,15,110,14,53,t_m_13_1,0.1012999999999995,0.1012999999999995,-25.327095031738281,0.011154867000000001,0.058013440999999999,true,branched,
16,33,16,113,24,84,t_m_21_0,0.23610526315789482,0.23610526315789482,-25.324089050292969,0.010890187000000001,0.056976822000000003,true,branched,
17,35,17,118,35,142,t_z_16_20_3,0.60020000000000007,0.60020000000000007,-25.469165802001953,0.010897011,0.056862959999999997,true,branched,
18,37,18,117,22,80,t_m_20_0,0.39979999999999999,0.39979999999999999,-25.518335342407227,0.010894017000000001,0.056769210000000001,true,branched,
19,39,19,119,14,46,t_m_11_2,0.055555555555555636,0.055555555555555636,-25.511518478393555,0.010914946,0.057257531,true,branched,
20,41,20,114,16,64,t_m_16_0,0.33366666666666667,0.33366666666666667,-25.504003524780273,0.010927579,0.057892688999999997,true,branched,
21,43,21,114,15,51,t_m_12_3,0.0020000000000001128,0.0020000000000001128,-25.614589691162109,0.010918996,0.056983345999999997,true,branched,
22,44,22,104,11,50,t_m_12_2,0.0010000000000000009,0.0010000000000000009,-25.636798858642578,0.01089352,0.056960695999999998,true,branched,
23,46,23,101,21,121,t_z_18_15_0,0.999,0.999,-25.597389221191406,0.010896836,0.057147499999999997,true,branched,
24,49,24,99,11,49,t_m_12_1,0.0010000000000000009,0.0010000000000000009,-25.647842407226562,0.011791753,0.062129348000000001,true,branched,
25,51,25,94,0,4,t_m_1_0,0.0010000000000000009,0.0010000000000000009,-25.683242797851562,0.010923802999999999,0.057610995999999998,true,branched,
26,53,26,89,2,38,t_m_9_2,0.25,0.25,-25.556854248046875,0.010989222,0.056179187999999998,true,branched,
27,55,27,95,4,60,t_m_15_0,0.0010000000000001119,0.0010000000000001119,-25.697788238525391,0.010895713,0.056995214000000002,true,branched,
28,57,28,92,86,2052,t_z_112_321_2,0.99849999999999994,0.99849999999999994,-25.718305587768555,0.010910173,0.057047735000000002,true,branched,
29,58,29,90,19,269,t_z_52_15_2,0.99899999999999989,0.99899999999999989,-25.786909103393555,0.010942774000000001,0.057046526,true,branched,
30,61,30,85,22,407,t_z_88_6_3,0.998,0.998,-25.840854644775391,0.011304264,0.057944770999999999,true,branched,
31,63,31,83,49,1217,t_z_65_64_0,0.998,0.998,-25.855375289916992,0.010911973,0.057269066,true,branched,
32,64,32,82,3,25,t_m_6_1,0.5,0.5,-25.874179840087891,0.010915206,0.057335371000000003,true,branched,
33,66,33,80,3,105,t_z_6_5_0,0.999,0.999,-25.881587982177734,0.010912207,0.057374732999999997,true,branched,
34,69,34,68,63,2037,t_z_321_238_2,0.998,0.998,-25.899133682250977,0.010927519,0.057480187000000002,true,branched,
35,71,35,62,57,2036,t_z_238_321_2,0.998,0.998,-25.781787872314453,0.010953011,0.057169042000000003,true,branched,
36,72,36,61,3,140,t_z_16_20_2,0.5,0.5,-25.908138275146484,0.010957632,0.058116393000000002,true,branched,
37,74,37,60,22,639,t_z_112_7_3,0.999,0.999,-25.86962890625,0.011026357000000001,0.058218165000000002,true,branched,
38,77,38,57,0,74,t_m_18_2,0.5,0.5,-25.895545959472656,0.010913193,0.057239249999999998,true,branched,
39,78,39,58,20,636,t_z_7_112_2,0.999,0.999,-25.791118621826172,0.010910108999999999,0.057028781000000001,true,branched,
40,81,40,77,8,106,t_z_5_6_1,0.33299999999999996,0.33299999999999996,-25.640323638916016,0.01094229,0.057087925999999997,true,branched,
41,83,41,78,10,127,t_z_18_15_3,0.999,0.999,-25.800559997558594,0.011725915999999999,0.062246838999999998,true,branched,
42,85,42,72,2,58,t_m_14_2,0.0020000000000001128,0.0020000000000001128,-25.874814987182617,0.010917084000000001,0.057923044999999999,true,branched,
43,87,43,67,28,604,t_z_88_109_2,0.999,0.999,-25.960334777832031,0.010891792000000001,0.057386619,true,branched,
44,89,44,66,58,2034,t_z_238_321_1,0.999,0.999,-25.974521636962891,0.010944397999999999,0.057288117999999999,true,branched,
45,91,45,65,27,603,t_z_109_88_1,0.999,0.999,-26.057683944702148,0.010904301,0.057124198000000001,true,branched,
46,93,46,64,60,2055,t_z_321_112_3,0.999,0.999,-26.140052795410156,0.010881343,0.05669279,true,branched,
47,95,47,62,27,646,t_z_112_113_3,0.998,0.998,-26.088489532470703,0.010912699999999999,0.057091604999999997,true,branched,
48,97,48,60,6,179,t_z_32_11_1,0.999,0.999,-26.198898315429688,0.010904529,0.057021921000000003,true,branched,
49,99,49,59,10,299,t_z_56_44_1,0.00099999999999997205,0.00099999999999997205,-26.247398376464844,0.010867139,0.056752204000000001,true,branched,
50,101,50,58,57,2059,t_z_219_7_1,0.999,0.999,-26.265380859375,0.011163354,0.058016186999999997,true,branched,
51,103,51,54,1,109,t_z_6_5_2,0.999,0.999,-26.304849624633789,0.011063895000000001,0.058156080999999998,true,branched,
52,105,52,49,5,401,t_z_88_6_0,0.999,0.999,-26.320783615112305,0.010947113,0.057180628999999997,true,branched,
53,107,53,44,0,108,t_z_5_6_2,0.00099999999999988987,0.00099999999999988987,-26.342784881591797,0.010948480999999999,0.057713439999999998,true,branched,
54,108,54,44,12,601,t_z_109_88_0,0.999,0.999,-26.316776275634766,0.01096594,0.057478679999999997,true,branched,
55,111,55,41,37,2033,t_z_321_238_0,0.999,0.999,-26.334381103515625,0.010966099,0.057707960000000003,true,branched,
56,113,56,39,5,413,t_z_89_6_2,0.99900000000000011,0.99900000000000011,-26.335865020751953,0.01181048,0.062749892000000002,true,branched,
57,115,57,37,34,2038,t_z_238_321_3,0.999,0.999,-26.356328964233398,0.010959069,0.058164358999999999,true,branched,
58,117,58,36,20,1382,t_z_237_238_3,0.0010000000000000009,0.0010000000000000009,-25.396446228027344,0.010925773,0.057018297000000003,true,branched,
59,119,59,29,20,1383,t_z_238_237_3,0.998,0.998,-26.120820999145508,0.010929149000000001,0.057087687999999998,true,branched,
60,120,60,28,21,1387,t_z_239_238_1,0.99899999999999989,0.99899999999999989,-26.346153259277344,0.010936148,0.056864216000000002,true,branched,
61,123,61,13,12,1403,t_z_241_240_1,0.999,0.999,-26.374086380004883,0.010912524999999999,0.056862916999999999,true,branched,
62,125,62,8,3,412,t_z_6_89_2,0.0010000000000000009,0.0010000000000000009,-26.548583984375,0.010955579999999999,0.057007041000000001,true,branched,
63,126,63,7,6,429,t_z_91_90_2,0.999,0.999,-26.519706726074219,0.010948790999999999,0.057196754000000002,true,branched,
