instance_id,split,size,protocol,method,solver_method,seed,status,objective,primal_bound,dual_bound,gap,wall_time,presolve_time,solve_time,solve_time_after_presolve,nodes,lp_iterations,primal_dual_integral,first_solution_time,branch_decisions,rl_inference_total,rl_inference_mean,rl_inference_max,fallback_count,illegal_actions,legality_checks,n_vars,n_int_vars,n_constraints,active_branching_rule,node_selection_rule,threads,time_limit,node_limit,has_solution,solution_feasible,return_code,json_path,log_path,branch_log_path
real_08,validation,medium,controlled-bbmdp,default,default,0,time_limit,,,0.0096121,,30.42399553,1.481829,30.010635,28.528806,14,13240,3001.0631,,0,0,0,0,0,0,0,27094,2880,65069,relpscost,dfs,1,30,-1,False,False,0,results/final/pilot/raw/controlled-bbmdp/real_08/controlled-bbmdp__real_08__default__seed0.json,results/final/pilot/raw/controlled-bbmdp/real_08/controlled-bbmdp__real_08__default__seed0.log,
real_08,validation,medium,controlled-bbmdp,relpscost,relpscost,0,time_limit,,,0.0096121,,30.539102747,1.48303,30.012054,28.529024,14,13240,3001.205,,0,0,0,0,0,0,0,27094,2880,65069,relpscost,dfs,1,30,-1,False,False,0,results/final/pilot/raw/controlled-bbmdp/real_08/controlled-bbmdp__real_08__relpscost__seed0.json,results/final/pilot/raw/controlled-bbmdp/real_08/controlled-bbmdp__real_08__relpscost__seed0.log,
real_08,validation,medium,controlled-bbmdp,random,random,0,optimal,0.0096121,0.0096121,0.0096121,0,20.639095786,1.471645,20.089742,18.618097,86,13493,2008.5312,20.080766,0,0,0,0,0,0,0,27094,2880,65069,random,dfs,1,30,-1,True,True,0,results/final/pilot/raw/controlled-bbmdp/real_08/controlled-bbmdp__real_08__random__seed0.json,results/final/pilot/raw/controlled-bbmdp/real_08/controlled-bbmdp__real_08__random__seed0.log,
real_08,validation,medium,controlled-bbmdp,mostinf,mostinf,0,optimal,0.0096121,0.0096121,0.0096121,0,19.720261886,1.463827,19.312335,17.848508,74,13271,1929.6241,19.28567,0,0,0,0,0,0,0,27094,2880,65069,mostinf,dfs,1,30,-1,True,True,0,results/final/pilot/raw/controlled-bbmdp/real_08/controlled-bbmdp__real_08__mostinf__seed0.json,results/final/pilot/raw/controlled-bbmdp/real_08/controlled-bbmdp__real_08__mostinf__seed0.log,
real_08,validation,medium,controlled-bbmdp,rl-mlp,rl-mlp,0,time_limit,,,0.0096121,,31.444407722,1.438918,30.157422,28.718504,102,13137,3015.7415,,101,0.043398308,0.000429686217821782,0.001507786,0,0,101,27094,2880,65069,rlmlp,dfs,1,30,-1,False,False,0,results/final/pilot/raw/controlled-bbmdp/real_08/controlled-bbmdp__real_08__rl-mlp__seed0.json,results/final/pilot/raw/controlled-bbmdp/real_08/controlled-bbmdp__real_08__rl-mlp__seed0.log,results/final/pilot/raw/controlled-bbmdp/real_08/controlled-bbmdp__real_08__rl-mlp__seed0.branches.csv
real_08,validation,medium,controlled-bbmdp,rl-gcnn,rl-gcnn,0,optimal,0.00961209999999999,0.00961209999999999,0.00961209999999999,0,29.310469552,1.435516,24.920314,23.484798,51,13280,2485.1358,24.829237,51,3.282612794,0.0643649567450981,1.448113294,0,0,51,27094,2880,65069,rlgcnn,dfs,1,30,-1,True,True,0,results/final/pilot/raw/controlled-bbmdp/real_08/controlled-bbmdp__real_08__rl-gcnn__seed0.json,results/final/pilot/raw/controlled-bbmdp/real_08/controlled-bbmdp__real_08__rl-gcnn__seed0.log,results/final/pilot/raw/controlled-bbmdp/real_08/controlled-bbmdp__real_08__rl-gcnn__seed0.branches.csv
real_09,test,small,controlled-bbmdp,default,default,0,optimal,0.0022776,0.0022776,0.0022776,0,4.052225325,0.461738,3.833318,3.37158,7,3579,174.888254667987,0.744258,0,0,0,0,0,0,0,10746,2668,22075,relpscost,dfs,1,30,-1,True,True,0,results/final/pilot/raw/controlled-bbmdp/real_09/controlled-bbmdp__real_09__default__seed0.json,results/final/pilot/raw/controlled-bbmdp/real_09/controlled-bbmdp__real_09__default__seed0.log,
real_09,test,small,controlled-bbmdp,relpscost,relpscost,0,optimal,0.0022776,0.0022776,0.0022776,0,3.891385651,0.464724,3.743658,3.278934,7,3579,172.457123322341,0.748205,0,0,0,0,0,0,0,10746,2668,22075,relpscost,dfs,1,30,-1,True,True,0,results/final/pilot/raw/controlled-bbmdp/real_09/controlled-bbmdp__real_09__relpscost__seed0.json,results/final/pilot/raw/controlled-bbmdp/real_09/controlled-bbmdp__real_09__relpscost__seed0.log,
real_09,test,small,controlled-bbmdp,random,random,0,optimal,0.0022776,0.0022776,0.0022776,0,2.358873663,0.458133,2.191456,1.733323,21,3579,123.476522253034,0.743712,0,0,0,0,0,0,0,10746,2668,22075,random,dfs,1,30,-1,True,True,0,results/final/pilot/raw/controlled-bbmdp/real_09/controlled-bbmdp__real_09__random__seed0.json,results/final/pilot/raw/controlled-bbmdp/real_09/controlled-bbmdp__real_09__random__seed0.log,
real_09,test,small,controlled-bbmdp,mostinf,mostinf,0,optimal,0.0022776,0.0022776,0.0022776,0,2.364273607,0.467822,2.217879,1.750057,25,3601,125.563618507334,0.762758,0,0,0,0,0,0,0,10746,2668,22075,mostinf,dfs,1,30,-1,True,True,0,results/final/pilot/raw/controlled-bbmdp/real_09/controlled-bbmdp__real_09__mostinf__seed0.json,results/final/pilot/raw/controlled-bbmdp/real_09/controlled-bbmdp__real_09__mostinf__seed0.log,
real_09,test,small,controlled-bbmdp,strong,strong,0,optimal,0.0022776,0.0022776,0.0022776,0,6.800456486,0.458419,6.649236,6.190817,11,3578,263.886261581708,0.747853,0,0,0,0,0,0,0,10746,2668,22075,fullstrong,dfs,1,30,-1,True,True,0,results/final/pilot/raw/controlled-bbmdp/real_09/controlled-bbmdp__real_09__strong__seed0.json,results/final/pilot/raw/controlled-bbmdp/real_09/controlled-bbmdp__real_09__strong__seed0.log,
real_09,test,small,controlled-bbmdp,rl-mlp,rl-mlp,0,optimal,0.0022776,0.0022776,0.0022776,0,2.735311218,0.466148,2.162101,1.695953,15,3565,123.789555033956,0.759594,15,0.003923489,0.000261565933333333,0.000375122,0,0,15,10746,2668,22075,rlmlp,dfs,1,30,-1,True,True,0,results/final/pilot/raw/controlled-bbmdp/real_09/controlled-bbmdp__real_09__rl-mlp__seed0.json,results/final/pilot/raw/controlled-bbmdp/real_09/controlled-bbmdp__real_09__rl-mlp__seed0.log,results/final/pilot/raw/controlled-bbmdp/real_09/controlled-bbmdp__real_09__rl-mlp__seed0.branches.csv
real_09,test,small,controlled-bbmdp,rl-gcnn,rl-gcnn,0,optimal,0.0022776,0.0022776,0.0022776,0,7.553181207,0.458338,5.383323,4.924985,25,3625,223.572987371947,0.740973,22,2.793467612,0.126975800545455,1.442409889,0,0,22,10746,2668,22075,rlgcnn,dfs,1,30,-1,True,True,0,results/final/pilot/raw/controlled-bbmdp/real_09/controlled-bbmdp__real_09__rl-gcnn__seed0.json,results/final/pilot/raw/controlled-bbmdp/real_09/controlled-bbmdp__real_09__rl-gcnn__seed0.log,results/final/pilot/raw/controlled-bbmdp/real_09/controlled-bbmdp__real_09__rl-gcnn__seed0.branches.csv
real_08,validation,medium,production-scip,default,default,0,optimal,0.0096121,0.0096121,0.0096121,0,28.747298338,1.428015,28.336456,26.908441,12,13136,2832.3102,28.311683,0,0,0,0,0,0,0,27094,2880,65069,relpscost,estimate,1,30,-1,True,True,0,results/final/pilot/raw/production-scip/real_08/production-scip__real_08__default__seed0.json,results/final/pilot/raw/production-scip/real_08/production-scip__real_08__default__seed0.log,
real_08,validation,medium,production-scip,relpscost,relpscost,0,optimal,0.0096121,0.0096121,0.0096121,0,28.736199918,1.438949,28.329984,26.891035,12,13136,2831.658,28.304959,0,0,0,0,0,0,0,27094,2880,65069,relpscost,estimate,1,30,-1,True,True,0,results/final/pilot/raw/production-scip/real_08/production-scip__real_08__relpscost__seed0.json,results/final/pilot/raw/production-scip/real_08/production-scip__real_08__relpscost__seed0.log,
real_08,validation,medium,production-scip,random,random,0,time_limit,0.0108285823,0.0108285823,0.0096121,0.126557391204836,30.731650159,1.429636,30.113681,28.684045,23,23146,1964.68538358263,18.319419,0,0,0,0,0,0,0,27094,2880,65069,random,estimate,1,30,-1,True,True,0,results/final/pilot/raw/production-scip/real_08/production-scip__real_08__random__seed0.json,results/final/pilot/raw/production-scip/real_08/production-scip__real_08__random__seed0.log,
real_08,validation,medium,production-scip,mostinf,mostinf,0,optimal,0.0096121,0.0096121,0.0096121,0,20.152922376,1.445235,19.753012,18.307777,81,13553,1974.6624,19.742364,0,0,0,0,0,0,0,27094,2880,65069,mostinf,estimate,1,30,-1,True,True,0,results/final/pilot/raw/production-scip/real_08/production-scip__real_08__mostinf__seed0.json,results/final/pilot/raw/production-scip/real_08/production-scip__real_08__mostinf__seed0.log,
real_08,validation,medium,production-scip,rl-mlp,rl-mlp,0,optimal,0.0096121,0.0096121,0.0096121,0,18.54854984,1.438349,17.81874,16.380391,15,13370,1779.8412,17.795183,15,0.008014098,0.0005342732,0.001519731,0,0,15,27094,2880,65069,rlmlp,estimate,1,30,-1,True,True,0,results/final/pilot/raw/production-scip/real_08/production-scip__real_08__rl-mlp__seed0.json,results/final/pilot/raw/production-scip/real_08/production-scip__real_08__rl-mlp__seed0.log,results/final/pilot/raw/production-scip/real_08/production-scip__real_08__rl-mlp__seed0.branches.csv
real_08,validation,medium,production-scip,rl-gcnn,rl-gcnn,0,optimal,0.0096121,0.0096121,0.0096121,0,28.53980101,1.433602,26.18338,24.749778,69,13338,2616.4706,26.150327,64,3.331361472,0.052052523,1.435285963,0,0,64,27094,2880,65069,rlgcnn,estimate,1,30,-1,True,True,0,results/final/pilot/raw/production-scip/real_08/production-scip__real_08__rl-gcnn__seed0.json,results/final/pilot/raw/production-scip/real_08/production-scip__real_08__rl-gcnn__seed0.log,results/final/pilot/raw/production-scip/real_08/production-scip__real_08__rl-gcnn__seed0.branches.csv
real_09,test,small,production-scip,default,default,0,optimal,0.0022776,0.0022776,0.0022776,0,4.137143374,0.463422,3.989455,3.526033,9,3596,179.840882275869,0.745043,0,0,0,0,0,0,0,10746,2668,22075,relpscost,estimate,1,30,-1,True,True,0,results/final/pilot/raw/production-scip/real_09/production-scip__real_09__default__seed0.json,results/final/pilot/raw/production-scip/real_09/production-scip__real_09__default__seed0.log,
real_09,test,small,production-scip,relpscost,relpscost,0,optimal,0.0022776,0.0022776,0.0022776,0,4.14896805,0.438264,4.001603,3.563339,9,3596,179.052022931527,0.725912,0,0,0,0,0,0,0,10746,2668,22075,relpscost,estimate,1,30,-1,True,True,0,results/final/pilot/raw/production-scip/real_09/production-scip__real_09__relpscost__seed0.json,results/final/pilot/raw/production-scip/real_09/production-scip__real_09__relpscost__seed0.log,
real_09,test,small,production-scip,random,random,0,optimal,0.0022776,0.0022776,0.0022776,0,2.232169573,0.46146,2.082639,1.621179,4,3655,120.078107399878,0.745932,0,0,0,0,0,0,0,10746,2668,22075,random,estimate,1,30,-1,True,True,0,results/final/pilot/raw/production-scip/real_09/production-scip__real_09__random__seed0.json,results/final/pilot/raw/production-scip/real_09/production-scip__real_09__random__seed0.log,
real_09,test,small,production-scip,mostinf,mostinf,0,optimal,0.0022776,0.0022776,0.0022776,0,2.223562866,0.457379,2.075385,1.618006,12,3583,119.753896380729,0.746474,0,0,0,0,0,0,0,10746,2668,22075,mostinf,estimate,1,30,-1,True,True,0,results/final/pilot/raw/production-scip/real_09/production-scip__real_09__mostinf__seed0.json,results/final/pilot/raw/production-scip/real_09/production-scip__real_09__mostinf__seed0.log,
real_09,test,small,production-scip,strong,strong,0,optimal,0.0022776,0.0022776,0.0022776,0,10.751487437,0.456103,10.602881,10.146778,18,3622,387.905586094108,0.740449,0,0,0,0,0,0,0,10746,2668,22075,fullstrong,estimate,1,30,-1,True,True,0,results/final/pilot/raw/production-scip/real_09/production-scip__real_09__strong__seed0.json,results/final/pilot/raw/production-scip/real_09/production-scip__real_09__strong__seed0.log,
real_09,test,small,production-scip,rl-mlp,rl-mlp,0,optimal,0.0022776,0.0022776,0.0022776,0,2.977812946,0.458209,2.121978,1.663769,13,3579,121.49408218638,0.74349,12,0.002968435,0.000247369583333333,0.000519372,0,0,12,10746,2668,22075,rlmlp,estimate,1,30,-1,True,True,0,results/final/pilot/raw/production-scip/real_09/production-scip__real_09__rl-mlp__seed0.json,results/final/pilot/raw/production-scip/real_09/production-scip__real_09__rl-mlp__seed0.log,results/final/pilot/raw/production-scip/real_09/production-scip__real_09__rl-mlp__seed0.branches.csv
real_09,test,small,production-scip,rl-gcnn,rl-gcnn,0,optimal,0.0022776,0.0022776,0.0022776,0,6.947470493,0.435127,4.997658,4.562531,8,3625,210.785202793147,0.733197,8,2.726482485,0.340810310625,1.445686,0,0,8,10746,2668,22075,rlgcnn,estimate,1,30,-1,True,True,0,results/final/pilot/raw/production-scip/real_09/production-scip__real_09__rl-gcnn__seed0.json,results/final/pilot/raw/production-scip/real_09/production-scip__real_09__rl-gcnn__seed0.log,results/final/pilot/raw/production-scip/real_09/production-scip__real_09__rl-gcnn__seed0.branches.csv
