event_index,node_id,depth,candidate_count,selected_candidate_index,selected_variable_index,selected_variable_name,lp_value,fractionality,selected_q,inference_time_seconds,selection_time_seconds,selected_is_candidate,result,fallback_reason
0,1,0,462,292,1006,t_z_511_512_1,0.16369780509401333,0.16369780509401333,-22.634696960449219,0.136895976,0.195615961,true,branched,
1,3,1,505,404,1234,t_z_133_134_3,0.92531023069743756,0.92531023069743756,-24.329408645629883,1.156822008,1.2149960259999999,true,branched,
2,5,2,503,454,1410,t_z_230_515_3,0.99720111955217949,0.99720111955217949,-24.390853881835938,1.440424527,1.4984131060000001,true,branched,
3,7,3,503,454,1409,t_z_515_230_2,0.99849999999999994,0.99849999999999994,-24.453971862792969,0.012839273,0.070312057999999997,true,branched,
4,8,4,505,332,1019,t_z_513_512_3,0.99799999999999989,0.99799999999999989,-24.524297714233398,0.012923239,0.071409579000000001,true,branched,
5,11,5,504,362,1127,t_z_518_413_1,0.9790633204988366,0.9790633204988366,-24.569492340087891,0.012893002000000001,0.070687877999999996,true,branched,
6,13,6,503,437,1347,t_z_529_285_3,0.999,0.999,-24.612894058227539,0.014002288999999999,0.075435459999999996,true,branched,
7,15,7,502,194,546,t_z_134_135_3,0.97186014779382346,0.97186014779382346,-24.6402587890625,0.01283436,0.069901985999999999,true,branched,
8,17,8,503,311,963,t_z_508_507_3,0.999,0.999,-24.705173492431641,0.013158626,0.069937998000000001,true,branched,
9,19,9,502,353,1107,t_z_497_94_3,0.999,0.999,-24.746511459350586,0.012799615,0.069434989000000003,true,branched,
10,21,10,502,363,1138,t_z_94_413_3,0.998,0.998,-24.775848388671875,0.013740011,0.072493771999999998,true,branched,
11,23,11,492,274,875,t_z_502_501_3,0.998,0.998,-24.802762985229492,0.012799692,0.069834946999999994,true,branched,
12,25,12,489,419,1337,t_z_495_285_2,0.999,0.999,-24.835994720458984,0.012819064999999999,0.070742555999999998,true,branched,
13,27,13,488,481,1564,t_z_516_544_0,0.99916666666666654,0.99916666666666654,-24.859088897705078,0.012791581,0.081180739000000002,true,branched,
14,29,14,484,340,1087,t_z_517_516_1,0.99849999999999994,0.99849999999999994,-24.891147613525391,0.013136060999999999,0.069861793000000005,true,branched,
15,31,15,483,190,531,t_z_132_131_3,0.92369830691642585,0.92369830691642585,-24.927131652832031,0.013039176,0.071690202999999994,true,branched,
16,32,16,486,341,1085,t_z_517_516_0,0.99899999999999989,0.99899999999999989,-24.960472106933594,0.012843113,0.070634738000000002,true,branched,
17,35,17,488,440,1412,t_z_500_517_0,0.99974999999999992,0.99974999999999992,-24.803827285766602,0.012772284,0.070074969000000001,true,branched,
18,37,18,487,440,1413,t_z_517_500_0,0.998,0.998,-24.922670364379883,0.014090446,0.077516193999999997,true,branched,
19,38,19,486,268,861,t_z_501_500_0,0.999,0.999,-24.943008422851562,0.012801168,0.070555076999999994,true,branched,
20,41,20,484,199,554,t_z_135_136_3,0.997,0.997,-24.978475570678711,0.012821737,0.070914709000000006,true,branched,
21,43,21,482,191,530,t_z_131_132_3,0.92448139229421955,0.92448139229421955,-24.99510383605957,0.013030107000000001,0.071450617999999994,true,branched,
22,45,22,482,222,642,t_z_132_152_3,0.97582168377042966,0.97582168377042966,-24.863286972045898,0.012781995000000001,0.070334754999999999,true,branched,
23,46,23,536,99,258,t_m_64_2,0.2143992232886246,0.2143992232886246,-25.112489700317383,0.012825726000000001,0.069945064000000001,true,branched,
24,49,24,523,427,1281,t_z_525_524_2,0.99899999999999989,0.99899999999999989,-25.194892883300781,0.012827801999999999,0.072248066,true,branched,
25,51,25,522,393,1185,t_z_512_507_2,0.99866666666666637,0.99866666666666637,-25.229574203491211,0.012784034,0.069661188999999998,true,branched,
26,53,26,516,48,124,t_m_31_0,0.20793614398422344,0.20793614398422344,-25.252687454223633,0.012768251,0.069459963999999999,true,branched,
27,55,27,509,337,1013,t_z_513_512_0,0.98904628906250247,0.98904628906250247,-25.174533843994141,0.012867999,0.071039274999999999,true,branched,
28,56,28,496,450,1417,t_z_517_500_2,0.999,0.999,-25.339397430419922,0.012772194000000001,0.069353810000000002,true,branched,
29,59,29,495,101,318,t_m_79_2,0.13946428571428571,0.13946428571428571,-25.368549346923828,0.012805063,0.069302076000000004,true,branched,
30,60,30,509,184,495,t_z_91_90_1,0.99716666666666687,0.99716666666666687,-25.391508102416992,0.013912961999999999,0.075800411999999998,true,branched,
31,62,31,512,390,1180,t_z_507_512_0,0.999,0.999,-25.452173233032227,0.012784689,0.069458530000000004,true,branched,
32,65,32,511,36,96,t_m_24_0,0.16034586566255937,0.16034586566255937,-25.47344970703125,0.012792303999999999,0.071001601999999997,true,branched,
33,67,33,499,326,975,t_z_510_509_1,0.99967774470899551,0.99967774470899551,-25.409317016601562,0.012774723999999999,0.070080481999999999,true,branched,
34,69,34,498,383,1214,t_z_509_521_1,0.998,0.998,-25.324790954589844,0.013045091,0.070060213999999996,true,branched,
35,71,35,497,323,967,t_z_509_508_1,0.99832225529100405,0.99832225529100405,-25.421979904174805,0.012776177,0.069384495000000004,true,branched,
36,73,36,495,288,867,t_z_501_500_3,0.99937500000000012,0.99937500000000012,-25.55908203125,0.012818721,0.070567027000000004,true,branched,
37,75,37,492,278,849,t_z_499_3_2,0.997,0.997,-25.631193161010742,0.012771319,0.069570262999999993,true,branched,
38,77,38,499,428,1344,t_z_285_529_2,0.9993333333333333,0.9993333333333333,-25.654111862182617,0.012842073000000001,0.079506374000000005,true,branched,
39,79,39,497,81,226,t_m_56_2,0.1233805631244318,0.1233805631244318,-25.69105339050293,0.012805989,0.071512626999999995,true,branched,
40,81,40,491,336,1014,t_z_512_513_1,0.998,0.998,-25.580053329467773,0.012788048999999999,0.069188917000000003,true,branched,
41,83,41,487,321,965,t_z_509_508_0,0.998,0.998,-25.752944946289062,0.012945954000000001,0.069291807999999996,true,branched,
42,85,42,486,280,847,t_z_499_3_1,0.99899999999999978,0.99899999999999978,-25.787395477294922,0.013064391999999999,0.072277556000000007,true,branched,
43,87,43,491,55,161,t_m_40_1,0.018344976282880898,0.018344976282880898,-25.835149765014648,0.012810047999999999,0.070144810000000002,true,branched,
44,89,44,467,459,1562,t_z_92_524_3,0.99850000000000005,0.99850000000000005,-25.728755950927734,0.012788425000000001,0.069511903999999999,true,branched,
45,91,45,464,86,274,t_m_68_2,0.18358139534883688,0.18358139534883688,-25.766841888427734,0.012818958,0.070014654999999995,true,branched,
46,93,46,499,288,857,t_z_500_499_2,0.90099999999999991,0.90099999999999991,-25.806537628173828,0.014504049,0.076298228999999995,true,branched,
47,94,47,484,18,50,t_m_12_2,0.099999999999999756,0.099999999999999756,-25.858261108398438,0.012823108999999999,0.070499574999999995,true,branched,
48,97,48,496,191,538,t_z_132_133_3,0.999,0.999,-25.918842315673828,0.012798364,0.070249558000000004,true,branched,
49,99,49,494,56,178,t_m_44_2,0.25,0.25,-25.943264007568359,0.012799534,0.069660691999999996,true,branched,
50,101,50,490,216,627,t_z_189_188_3,0.999,0.999,-25.961921691894531,0.012868348999999999,0.070689358999999993,true,branched,
51,102,51,489,318,959,t_z_508_507_1,0.99866666666666659,0.99866666666666659,-25.997003555297852,0.013126474000000001,0.072130844,true,branched,
52,105,52,487,199,571,t_z_140_139_3,0.999,0.999,-26.04962158203125,0.012813000999999999,0.071007733000000003,true,branched,
53,107,53,486,351,1122,t_z_508_518_3,0.999,0.999,-26.102062225341797,0.012840010000000001,0.070953749999999996,true,branched,
54,109,54,484,6,12,t_m_3_0,0.099999999999999867,0.099999999999999867,-26.133838653564453,0.01277997,0.070792116000000002,true,branched,
55,111,55,480,275,869,t_z_502_501_0,0.998,0.998,-25.997749328613281,0.014442234999999999,0.077348661999999999,true,branched,
56,113,56,475,56,191,t_m_47_3,0.22920658436213937,0.22920658436213937,-26.044471740722656,0.012840473999999999,0.070718224999999996,true,branched,
57,115,57,473,122,363,t_m_90_3,0.13757777777777713,0.13757777777777713,-26.104513168334961,0.012810014,0.070184416999999999,true,branched,
58,116,58,467,250,787,t_z_435_423_3,0.16050740740740693,0.16050740740740693,-26.200345993041992,0.012811645,0.070247538999999998,true,branched,
59,119,59,466,461,1579,t_z_551_528_3,0.16050740740740671,0.16050740740740671,-26.252414703369141,0.014050879,0.072129682000000001,true,branched,
60,120,60,466,428,1452,t_z_135_340_0,0.999,0.999,-26.280740737915039,0.012806896,0.070366202000000003,true,branched,
61,123,61,465,320,1061,t_z_514_93_0,0.99733333333333329,0.99733333333333329,-26.308103561401367,0.012765883,0.069529851000000004,true,branched,
62,125,62,463,256,827,t_z_498_357_3,0.095938888888888685,0.095938888888888685,-26.336957931518555,0.0131684,0.071111338999999996,true,branched,
63,127,63,462,239,763,t_z_410_401_3,0.16061851851851905,0.16061851851851905,-26.368444442749023,0.012802526999999999,0.070298347999999997,true,branched,
64,129,64,461,391,1353,t_z_529_521_2,0.998,0.998,-26.401178359985352,0.012819001999999999,0.070664353999999999,true,branched,
65,131,65,457,452,1578,t_z_528_551_3,0.16061851851851905,0.16061851851851905,-26.434770584106445,0.013582771,0.073979991999999994,true,branched,
66,133,66,456,443,1555,t_z_549_408_3,0.16061851851851905,0.16061851851851905,-26.466218948364258,0.012809577000000001,0.070911907999999996,true,branched,
67,135,67,460,18,60,t_m_15_0,0.20362888888888875,0.20362888888888875,-26.324005126953125,0.012885213,0.071503497999999999,true,branched,
68,137,68,464,242,755,t_z_408_407_3,0.32186136363636414,0.32186136363636414,-26.430910110473633,0.012804192000000001,0.070712648000000003,true,branched,
69,139,69,463,457,1582,t_z_413_420_1,0.1182954545454552,0.1182954545454552,-26.495504379272461,0.012814580000000001,0.070292854000000002,true,branched,
70,141,70,462,459,1604,t_z_188_502_0,0.999,0.999,-26.565349578857422,0.012819261,0.072027943999999997,true,branched,
71,142,71,462,86,298,t_m_74_2,0.0010000000000000009,0.0010000000000000009,-26.625537872314453,0.012796049,0.071040092999999999,true,branched,
72,145,72,460,458,1605,t_z_502_188_0,0.999,0.999,-26.628217697143555,0.012834854999999999,0.071708779,true,branched,
73,147,73,459,264,863,t_z_501_500_1,0.999,0.999,-26.701000213623047,0.012789702,0.070573430000000006,true,branched,
74,149,74,458,263,859,t_z_500_499_3,0.89999999999999991,0.89999999999999991,-26.740184783935547,0.012789811999999999,0.070471893999999993,true,branched,
