event_index,node_id,depth,candidate_count,selected_candidate_index,selected_variable_index,selected_variable_name,lp_value,fractionality,selected_q,inference_time_seconds,selection_time_seconds,selected_is_candidate,result,fallback_reason
0,1,0,247,79,349,t_z_110_109_2,0.00099999999999997205,0.00099999999999997205,-194.52359008789062,0.00053169899999999995,0.00082569900000000005,true,branched,
1,3,1,247,81,413,t_z_109_86_2,0.0010000000000001119,0.0010000000000001119,-194.13101196289062,0.00046414299999999998,0.000741729,true,branched,
2,5,2,246,122,1021,t_z_202_156_2,0.0010000000000000009,0.0010000000000000009,-193.54052734375,0.00046925599999999998,0.00074304000000000004,true,branched,
3,7,3,245,118,1005,t_z_203_202_2,0.0010000000000000009,0.0010000000000000009,-192.83604431152344,0.00045512599999999998,0.00072673099999999999,true,branched,
4,9,4,244,119,1013,t_z_205_203_2,0.0010000000000000009,0.0010000000000000009,-192.13156127929688,0.000466892,0.00073663799999999996,true,branched,
5,11,5,243,240,2069,t_z_305_293_2,0.0010000000000001674,0.0010000000000001674,-191.43150329589844,0.00046413599999999998,0.00073778799999999996,true,branched,
6,13,6,242,123,1125,t_z_215_205_2,0.0010000000000000009,0.0010000000000000009,-190.80366516113281,0.00048842700000000005,0.00075834800000000005,true,branched,
7,15,7,241,62,193,t_z_22_21_0,0.0010000000000000009,0.0010000000000000009,-190.13798522949219,0.00046737699999999999,0.00073670400000000003,true,branched,
8,17,8,240,96,673,t_z_146_145_0,0.0013333333333334085,0.0013333333333334085,-189.51016235351562,0.000466331,0.000734134,true,branched,
9,19,9,239,147,1289,t_z_250_26_0,0.0010000000000000009,0.0010000000000000009,-188.87396240234375,0.000467687,0.00073408600000000001,true,branched,
10,21,10,237,188,1533,t_z_277_276_2,0.0010000000000000009,0.0010000000000000009,-188.31405639648438,0.000459362,0.00072939599999999999,true,branched,
11,23,11,236,221,1636,t_z_276_296_2,0.0010000000000001674,0.0010000000000001674,-187.72282409667969,0.00046439300000000001,0.00072960500000000003,true,branched,
12,25,12,235,214,1612,t_z_293_294_2,0.0010000000000000009,0.0010000000000000009,-187.09379577636719,0.00044321699999999998,0.00070555499999999996,true,branched,
13,27,13,234,215,1620,t_z_294_295_2,0.0010000000000000009,0.0010000000000000009,-186.50926208496094,0.00045468100000000002,0.00071613000000000004,true,branched,
14,29,14,240,120,1019,t_z_202_156_1,0.0010000000000000009,0.0010000000000000009,-186.3089599609375,0.000448558,0.00072434799999999998,true,branched,
15,31,15,239,196,1547,t_z_278_6_1,0.0016663329996663423,0.0016663329996663423,-185.69667053222656,0.00044075899999999999,0.00070712699999999999,true,branched,
16,33,16,238,198,1555,t_z_279_278_1,0.0016663329996663423,0.0016663329996663423,-185.09902954101562,0.000467226,0.00073444000000000005,true,branched,
17,35,17,237,184,1483,t_z_34_27_1,0.11673153471392778,0.11673153471392778,-184.48385620117188,0.00043438199999999998,0.00069954499999999998,true,branched,
18,37,18,243,175,1438,t_z_67_268_3,0.084617650984317949,0.084617650984317949,-184.31500244140625,0.00046895999999999998,0.00073853999999999999,true,branched,
19,39,19,243,182,1455,t_z_270_269_3,0.12499160827494193,0.12499160827494193,-183.97154235839844,0.00046038699999999998,0.00072628299999999999,true,branched,
20,41,20,250,135,1158,t_z_230_231_3,0.12376905769516547,0.12376905769516547,-186.6429443359375,0.000535386,0.00075860700000000001,true,branched,
21,43,21,249,110,765,t_z_161_154_2,0.14049957099957133,0.14049957099957133,-186.14363098144531,0.00063838999999999996,0.00086804000000000004,true,branched,
22,45,22,250,158,1294,t_z_26_250_3,0.025657579940189246,0.025657579940189246,-186.12350463867188,0.00060879300000000005,0.000839158,true,branched,
23,47,23,250,67,215,t_z_26_25_3,0.026706987054811115,0.026706987054811115,-185.67292785644531,0.00048643100000000001,0.00076783500000000002,true,branched,
24,49,24,248,69,251,t_z_57_26_1,0.028129666703740841,0.028129666703740841,-186.22663879394531,0.00047407500000000002,0.00075544299999999996,true,branched,
25,51,25,241,137,1219,t_z_243_83_1,0.050366700033366907,0.050366700033366907,-186.64726257324219,0.00047384599999999999,0.00074556700000000004,true,branched,
26,53,26,239,140,1227,t_z_244_243_1,0.050366700033366907,0.050366700033366907,-186.03416442871094,0.00046527500000000002,0.00073492900000000005,true,branched,
