event_index,node_id,depth,candidate_count,selected_candidate_index,selected_variable_index,selected_variable_name,lp_value,fractionality,selected_q,inference_time_seconds,selection_time_seconds,selected_is_candidate,result,fallback_reason
0,1,0,325,168,851,t_z_499_3_3,0.96230964945344544,0.96230964945344544,-25.664020538330078,0.10024622900000001,0.15898483299999999,true,branched,
1,3,1,343,223,1019,t_z_513_512_3,0.999,0.999,-25.64924430847168,1.132572256,1.188601582,true,branched,
2,5,2,342,10,36,t_m_9_0,0.10215713882845866,0.10215713882845866,-25.706813812255859,1.419192926,1.4753707199999999,true,branched,
3,7,3,376,281,1187,t_z_512_507_3,0.998,0.998,-25.901884078979492,0.013358149,0.077156649999999993,true,branched,
4,9,4,425,337,1229,t_z_134_133_0,0.99399999999999999,0.99399999999999999,-25.983058929443359,0.012808539000000001,0.069209628999999995,true,branched,
5,11,5,415,131,421,t_z_3_2_0,0.999,0.999,-26.010387420654297,0.013155455999999999,0.070164950000000004,true,branched,
6,13,6,361,103,420,t_z_2_3_0,0.998,0.998,-26.010828018188477,0.012787896,0.069563824999999996,true,branched,
7,6,3,387,295,1187,t_z_512_507_3,0.998,0.998,-25.976123809814453,0.012804684,0.079856330000000003,true,branched,
8,17,4,381,125,421,t_z_3_2_0,0.999,0.999,-26.075244903564453,0.012807870000000001,0.069455873000000001,true,branched,
9,18,5,391,39,112,t_m_28_0,0.071202066105989115,0.071202066105989115,-26.116458892822266,0.014337465000000001,0.072134767000000002,true,branched,
10,21,6,256,167,1084,t_z_516_517_0,0.999,0.999,-26.35102653503418,0.013127971,0.074881219999999998,true,branched,
11,23,7,255,188,1218,t_z_509_521_3,0.997,0.997,-26.372125625610352,0.012793528,0.069226040000000003,true,branched,
12,25,8,309,271,1354,t_z_521_529_3,0.99849999999999994,0.99849999999999994,-26.394889831542969,0.012794322,0.068941865000000005,true,branched,
13,27,9,304,167,962,t_z_507_508_3,0.99866666666666648,0.99866666666666648,-26.449378967285156,0.013031153,0.069784219999999994,true,branched,
14,29,10,454,307,1122,t_z_508_518_3,0.99750000000000005,0.99750000000000005,-26.932073593139648,0.014386593,0.078197871000000002,true,branched,
15,31,11,448,378,1365,t_z_531_530_0,0.95541767428236124,0.95541767428236124,-27.069217681884766,0.013605311,0.070657595000000004,true,branched,
16,33,12,466,6,48,t_m_12_0,0.0020000000000000018,0.0020000000000000018,-27.090702056884766,0.012871077,0.069549411000000005,true,branched,
17,35,13,345,173,1020,t_z_3_513_0,0.99750000000000005,0.99750000000000005,-27.371042251586914,0.013005798000000001,0.081713063000000002,true,branched,
18,37,14,342,137,871,t_z_502_501_1,0.98411168612496447,0.98411168612496447,-27.407737731933594,0.012891451999999999,0.069545353000000004,true,branched,
19,39,15,340,283,1364,t_z_530_531_0,0.998,0.998,-27.414499282836914,0.012860964000000001,0.069688614999999995,true,branched,
20,40,16,339,283,1372,t_z_527_531_0,0.999,0.999,-27.276071548461914,0.013974802,0.074778396999999996,true,branched,
21,43,17,338,167,978,t_z_509_510_3,0.91598360655737698,0.91598360655737698,-27.348777770996094,0.01285441,0.068875771000000002,true,branched,
22,45,18,384,322,1373,t_z_531_527_0,0.998,0.998,-27.257892608642578,0.012871616000000001,0.069178434999999996,true,branched,
23,46,19,383,297,1300,t_z_189_527_0,0.9988445455267756,0.9988445455267756,-27.205951690673828,0.013229337000000001,0.069929658000000006,true,branched,
24,49,20,386,302,1301,t_z_527_189_0,0.998,0.998,-27.213844299316406,0.012919880999999999,0.069638506000000003,true,branched,
25,22,7,256,189,1218,t_z_509_521_3,0.99699999999999989,0.99699999999999989,-27.375089645385742,0.012783572,0.069130503999999995,true,branched,
26,53,8,310,167,962,t_z_507_508_3,0.99866666666666648,0.99866666666666648,-27.274223327636719,0.01281157,0.078275362000000001,true,branched,
27,55,9,311,222,1122,t_z_508_518_3,0.999,0.999,-27.337301254272461,0.012777946,0.069687259000000001,true,branched,
28,57,10,402,118,420,t_z_2_3_0,0.9993333333333333,0.9993333333333333,-27.581411361694336,0.012965994999999999,0.071724654999999998,true,branched,
29,59,11,399,311,1212,t_z_509_521_0,0.93226064791621877,0.93226064791621877,-27.610221862792969,0.012824744000000001,0.069471944999999993,true,branched,
30,61,12,418,376,1361,t_z_530_2_2,0.99980458026986629,0.99980458026986629,-27.675083160400391,0.014335014,0.073817966999999998,true,branched,
31,63,13,416,216,872,t_z_501_502_2,0.97384579511227509,0.97384579511227509,-27.694738388061523,0.012812235999999999,0.070155976999999994,true,branched,
32,65,14,431,223,864,t_z_500_501_2,0.998,0.998,-27.695201873779297,0.01283051,0.069045899999999993,true,branched,
33,67,15,430,303,1101,t_z_497_94_0,0.999,0.999,-27.694049835205078,0.012787985,0.06910703,true,branched,
34,69,16,429,22,48,t_m_12_0,0.0010000000000000009,0.0010000000000000009,-27.712604522705078,0.012833473999999999,0.069840484999999994,true,branched,
35,71,17,258,118,1020,t_z_3_513_0,0.99849999999999994,0.99849999999999994,-27.919061660766602,0.013094648,0.070048072000000003,true,branched,
36,73,18,255,205,1354,t_z_521_529_3,0.99888709677419363,0.99888709677419363,-28.050987243652344,0.012830431,0.069248507000000001,true,branched,
37,75,19,279,30,256,t_m_64_0,0.24843777292576252,0.24843777292576252,-28.052131652832031,0.012839184999999999,0.080522722000000005,true,branched,
38,77,20,412,291,1229,t_z_134_133_0,0.99399999999999999,0.99399999999999999,-28.205913543701172,0.012839512000000001,0.069818481000000002,true,branched,
39,79,21,417,267,1085,t_z_517_516_0,0.99898765432098768,0.99898765432098768,-28.211257934570312,0.012834824999999999,0.068965560999999995,true,branched,
40,81,22,416,181,767,t_z_414_413_1,0.98953217587445397,0.98953217587445397,-28.205755233764648,0.01285903,0.068962138000000006,true,branched,
41,83,23,413,260,1077,t_z_516_515_0,0.99848148148148153,0.99848148148148153,-28.21147346496582,0.012876332000000001,0.070911281000000007,true,branched,
42,85,24,411,366,1405,t_z_515_230_0,0.99696296296296327,0.99696296296296327,-28.178932189941406,0.01282027,0.068833026000000005,true,branched,
43,87,25,408,227,970,t_z_508_509_3,0.99914397905759189,0.99914397905759189,-28.190227508544922,0.012805165,0.068963619000000004,true,branched,
44,88,26,371,1,38,t_m_9_2,0.12917543859649655,0.12917543859649655,-28.137887954711914,0.014108473,0.075022936999999998,true,branched,
45,91,27,388,80,424,t_z_2_3_2,0.96461443932411661,0.96461443932411661,-28.387275695800781,0.012824363,0.069110166000000001,true,branched,
46,93,28,484,22,120,t_m_30_0,0.24713383838383274,0.24713383838383274,-28.459112167358398,0.012821529,0.068960834999999998,true,branched,
47,94,29,520,77,281,t_m_70_1,0.10382543515553067,0.10382543515553067,-28.441965103149414,0.01281417,0.068985679999999994,true,branched,
48,64,14,265,179,1121,t_z_518_508_2,0.999,0.999,-29.565372467041016,0.014247433,0.07607332,true,branched,
49,99,15,264,238,1415,t_z_517_500_1,0.999,0.999,-29.625106811523438,0.012828833,0.069354990000000005,true,branched,
50,100,16,267,120,863,t_z_501_500_1,0.997,0.997,-29.486066818237305,0.012798158,0.068523465000000006,true,branched,
