protocol,split,size,method,runs,solved,solved_rate,shifted_gmean_wall_time,shifted_gmean_nodes,median_wall_time,median_nodes,mean_final_gap,finite_gap_runs,par2,average_rank,rl_inference_total,rl_inference_fraction,fallback_count,paired_speedup,paired_speedup_ci_low,paired_speedup_ci_high,wins,ties,losses
controlled-bbmdp,test,small,default,5,5,1.0,1.828939777471125,1.6390158215457884,1.6563404,1.0,0.0,5,1.9691599384,1.8,0.0,0.0,0,1.0,1.0,1.0,0,35,0
controlled-bbmdp,test,small,mostinf,5,5,1.0,1.6452583365620672,2.3405553046696213,1.68296551,1.0,0.0,5,1.6853603246000002,2.6,0.0,0.0,0,1.1229920916983478,1.026547184001793,1.2490223425155917,8,23,4
controlled-bbmdp,test,small,random,5,5,1.0,1.6653697325653143,2.2307885324043553,1.809875604,1.0,0.0,5,1.7023206974,4.2,0.0,0.0,0,1.1427167944451293,1.038547879673407,1.2779248891367727,9,22,4
controlled-bbmdp,test,small,relpscost,5,5,1.0,1.8452773801829316,1.6390158215457884,1.684605866,1.0,0.0,5,1.9857989294,3.2,0.0,0.0,0,0.9985071627470171,0.9968999289138595,0.9998839523015793,2,27,6
controlled-bbmdp,test,small,rl-gcnn,5,5,1.0,3.9541791176154204,2.3405553046696213,3.645265215,1.0,0.0,5,4.1673033592,7.0,2.762882268,0.2558518551855686,0,0.9060796974195503,0.8115767038195946,0.998303684242758,1,26,8
controlled-bbmdp,test,small,rl-mlp,5,5,1.0,2.062571166492472,2.031433133020796,2.152446799,1.0,0.0,5,2.100360512,5.4,0.004936456,0.0006531538755068223,0,0.9776330425328387,0.9405026053597004,1.0135702576885595,1,27,7
controlled-bbmdp,test,small,strong,5,5,1.0,2.1234545351774905,1.8619381622105111,1.683284735,1.0,0.0,5,2.5593218078,3.8,0.0,0.0,0,0.8853992649152933,0.7125650379503248,0.9896619169633735,0,0,5
controlled-bbmdp,transfer,large,default,10,0,0.0,34.09586760078052,0.4142135623730949,34.7842269105,0.5,,0,60.0,3.5,0.0,0.0,0,1.0,1.0,1.0,0,35,0
controlled-bbmdp,transfer,large,mostinf,10,0,0.0,34.10496492430256,0.4142135623730949,34.7806545505,0.5,,0,60.0,3.5,0.0,0.0,0,1.1229920916983478,1.026547184001793,1.2490223425155917,8,23,4
controlled-bbmdp,transfer,large,random,10,0,0.0,33.9966870943979,0.4142135623730949,34.809882949,0.5,,0,60.0,3.5,0.0,0.0,0,1.1427167944451293,1.038547879673407,1.2779248891367727,9,22,4
controlled-bbmdp,transfer,large,relpscost,10,0,0.0,34.09881868587321,0.4142135623730949,34.88816428449999,0.5,,0,60.0,3.5,0.0,0.0,0,0.9985071627470171,0.9968999289138595,0.9998839523015793,2,27,6
