event_index,node_id,depth,candidate_count,selected_candidate_index,selected_variable_index,selected_variable_name,lp_value,fractionality,selected_q,inference_time_seconds,selection_time_seconds,selected_is_candidate,result,fallback_reason
0,1,0,51,-1,-1,,,,,0,0,false,did_not_run,minimum_candidates:default
1,3,1,53,-1,-1,,,,,0,0,false,did_not_run,minimum_candidates:default
2,5,2,46,-1,-1,,,,,0,0,false,did_not_run,minimum_candidates:default
3,7,3,42,-1,-1,,,,,0,0,false,did_not_run,minimum_candidates:default
4,9,4,41,-1,-1,,,,,0,0,false,did_not_run,minimum_candidates:default
5,10,5,36,-1,-1,,,,,0,0,false,did_not_run,minimum_candidates:default
6,10,5,33,-1,-1,,,,,0,0,false,did_not_run,minimum_candidates:default
7,12,6,20,-1,-1,,,,,0,0,false,did_not_run,minimum_candidates:default
8,15,7,8,-1,-1,,,,,0,0,false,did_not_run,minimum_candidates:default
9,17,8,3,-1,-1,,,,,0,0,false,did_not_run,minimum_candidates:default
