event_index,node_id,depth,candidate_count,selected_candidate_index,selected_variable_index,selected_variable_name,lp_value,fractionality,selected_q,inference_time_seconds,selection_time_seconds,selected_is_candidate,result,fallback_reason
0,1,0,51,7,12,t_m_3_0,0.99800000000000022,0.99800000000000022,-214.33099365234375,0.00094282600000000002,0.0010506179999999999,true,branched,
1,3,1,48,5,8,t_m_2_0,0.49950000000000006,0.49950000000000006,-214.4815673828125,0.00044564399999999998,0.00051074499999999995,true,branched,
2,4,2,53,2,4,t_m_1_0,0.5,0.5,-214.83688354492188,0.00049982800000000001,0.00057182700000000001,true,branched,
3,5,2,55,51,1853,t_z_29_18_0,0.999,0.999,-214.96656799316406,0.00049556100000000005,0.00056010800000000003,true,branched,
4,9,3,53,11,25,t_m_6_1,0.99849999999999994,0.99849999999999994,-216.61065673828125,0.00040028900000000002,0.00046224100000000001,true,branched,
5,11,4,39,10,22,t_m_5_2,0.50075000000000003,0.50075000000000003,-217.19451904296875,0.00040875599999999997,0.00045826299999999999,true,branched,
6,13,5,37,3,5,t_m_1_1,0.5,0.5,-217.81864929199219,0.00038505000000000001,0.00043617699999999999,true,branched,
7,15,6,20,0,2,t_m_0_2,0.5,0.5,-218.08589172363281,0.00042283400000000002,0.000456935,true,branched,
8,16,7,23,2,16,t_m_4_0,0.16683333333333333,0.16683333333333333,-217.10148620605469,0.00041996999999999998,0.00045926499999999999,true,branched,
9,17,7,16,5,919,t_z_188_10_1,0.999,0.999,-219.37763977050781,0.00043799300000000002,0.00047307600000000001,true,branched,
10,21,8,15,14,1113,t_z_18_15_2,0.999,0.999,-219.73860168457031,0.00036928599999999997,0.00040305199999999999,true,branched,
11,23,9,13,0,38,t_z_1_3_1,0.99900000000000011,0.99900000000000011,-220.43394470214844,0.00032490600000000002,0.000348306,true,branched,
