protocol,instance_id,split,size,method,runs,solved,solved_rate,shifted_gmean_wall_time,shifted_gmean_nodes,mean_final_gap,finite_gap_runs,par2,branch_decisions,rl_inference_total,fallback_count
production-scip,real_01,transfer,medium,default,2,2,1.0,41.43270223058655,58.70762095411272,0.0,2,44.782073173499995,0,0.0,0
production-scip,real_01,transfer,medium,rl-gcnn,2,2,1.0,82.78146466584903,92.69098142297368,0.0,2,87.320097369,189,121.93560690999999,0
production-scip,real_01,transfer,medium,rl-gcnn-prim-gated,2,2,1.0,47.97377024525355,38.874804074753754,0.0,2,58.393463075,119,77.496783213,0
production-scip,real_01,transfer,medium,rl-gcnn-prim-l025,2,2,1.0,88.45548431171788,71.16647421067489,0.0,2,112.3857749,237,156.37681864200002,0
production-scip,real_01,transfer,medium,rl-gcnn-prim-l05,2,2,1.0,24.512977730132793,12.96424004376894,0.0,2,24.566107823,26,17.337309063,0
production-scip,real_01,transfer,medium,rl-gcnn-prim-l10,2,2,1.0,24.595872371828417,12.96424004376894,0.0,2,24.6339349175,26,17.398383551000002,0
production-scip,real_03,transfer,medium,default,2,2,1.0,18.562762845194417,1.0,0.0,2,18.729809230999997,0,0.0,0
production-scip,real_03,transfer,medium,rl-gcnn,2,2,1.0,19.136156970858863,1.0,0.0,2,19.3047628125,0,0.0,0
production-scip,real_03,transfer,medium,rl-gcnn-prim-gated,2,2,1.0,18.816277728821113,1.0,0.0,2,18.956239098,0,0.0,0
production-scip,real_03,transfer,medium,rl-gcnn-prim-l025,2,2,1.0,19.022891005815463,1.0,0.0,2,19.1975384945,0,0.0,0
production-scip,real_03,transfer,medium,rl-gcnn-prim-l05,2,2,1.0,18.821211388492447,1.0,0.0,2,19.00429958,0,0.0,0
production-scip,real_03,transfer,medium,rl-gcnn-prim-l10,2,2,1.0,18.83798852269842,1.0,0.0,2,18.9949490215,0,0.0,0
production-scip,real_05,transfer,medium,default,2,2,1.0,30.358093572782945,27.460498941515397,0.0,2,30.704113076,0,0.0,0
production-scip,real_05,transfer,medium,rl-gcnn,2,2,1.0,43.99010244299949,33.322004603461025,0.0,2,48.881826388,79,60.354572413,0
production-scip,real_05,transfer,medium,rl-gcnn-prim-gated,2,2,1.0,66.93777642807034,47.16637831516919,0.0,2,82.36953299150001,154,123.08256329299999,0
production-scip,real_05,transfer,medium,rl-gcnn-prim-l025,2,2,1.0,42.628663202646614,31.526911934581186,0.0,2,44.834679301,67,53.55281171,0
production-scip,real_05,transfer,medium,rl-gcnn-prim-l05,2,2,1.0,67.8533871239186,47.66210024238576,0.0,2,84.59979065350001,158,126.908989778,0
production-scip,real_05,transfer,medium,rl-gcnn-prim-l10,2,2,1.0,121.51937137737703,87.81441324469807,0.0,2,212.35450297,469,361.662806431,0
production-scip,real_08,validation,medium,default,2,2,1.0,11.053732428358922,4.099019513592785,0.0,2,11.206625281,0,0.0,0
production-scip,real_08,validation,medium,rl-gcnn,2,2,1.0,19.69476684861196,10.83215956619923,0.0,2,24.4899264135,64,28.303772139,0
production-scip,real_08,validation,medium,rl-gcnn-prim-gated,2,2,1.0,22.018592997780974,11.649110640673515,0.0,2,28.599474516,75,35.273959031,0
production-scip,real_08,validation,medium,rl-gcnn-prim-l025,2,2,1.0,19.187745713658437,9.295630140986999,0.0,2,22.939540405499997,51,24.587571453,0
production-scip,real_08,validation,medium,rl-gcnn-prim-l05,2,2,1.0,19.69507478743584,9.295630140986999,0.0,2,23.719029558499997,52,25.82706187,0
production-scip,real_08,validation,medium,rl-gcnn-prim-l10,2,2,1.0,19.08262425969154,9.198039027185569,0.0,2,22.7049464575,51,23.956293264,0
production-scip,real_09,test,small,default,2,2,1.0,0.9424107917744842,3.4721359549995796,0.0,2,1.0281586065,0,0.0,0
production-scip,real_09,test,small,rl-gcnn,2,2,1.0,1.2583923727054849,3.2426406871192848,0.0,2,1.393318825,8,1.016355469,0
production-scip,real_09,test,small,rl-gcnn-prim-gated,2,2,1.0,2.148176438828989,6.615773105863908,0.0,2,2.7795302234999997,26,3.368314253,0
production-scip,real_09,test,small,rl-gcnn-prim-l025,2,2,1.0,1.2778276376020008,3.0,0.0,2,1.3882614229999999,7,0.836967581,0
production-scip,real_09,test,small,rl-gcnn-prim-l05,2,2,1.0,2.4034483012129755,7.4852813742385695,0.0,2,3.3354918295,33,4.419233956,0
production-scip,real_09,test,small,rl-gcnn-prim-l10,2,2,1.0,1.324352192160255,2.741657386773941,0.0,2,1.4404399035,6,0.936245516,0
