phase8 runner: jobs=60 workers=4 cuda_devices=1,2,4,5 default_time_limit=300.0 max_concurrent_large=2
[1/60] production-scip real_09 default seed=1 tl=120s rc=0
[2/60] production-scip real_09 rl-gcnn seed=1 tl=120s rc=0
[3/60] production-scip real_09 default seed=0 tl=120s rc=0
[4/60] production-scip real_09 rl-gcnn-prim-l025 seed=1 tl=120s rc=0
[5/60] production-scip real_09 rl-gcnn seed=0 tl=120s rc=0
[6/60] production-scip real_09 rl-gcnn-prim-l05 seed=1 tl=120s rc=0
[7/60] production-scip real_09 rl-gcnn-prim-l025 seed=0 tl=120s rc=0
[8/60] production-scip real_09 rl-gcnn-prim-l10 seed=1 tl=120s rc=0
[9/60] production-scip real_09 rl-gcnn-prim-l10 seed=0 tl=120s rc=0
[10/60] production-scip real_09 rl-gcnn-prim-gated seed=1 tl=120s rc=0
[11/60] production-scip real_09 rl-gcnn-prim-l05 seed=0 tl=120s rc=0
[12/60] production-scip real_09 rl-gcnn-prim-gated seed=0 tl=120s rc=0
[13/60] production-scip real_08 default seed=1 tl=300s rc=0
[14/60] production-scip real_08 default seed=0 tl=300s rc=0
[15/60] production-scip real_08 rl-gcnn seed=1 tl=300s rc=0
