phase8 runner: jobs=60 workers=4 cuda_devices=1,2,4,5 default_time_limit=300.0 max_concurrent_large=2
[1/60] production-scip real_09 default seed=1 tl=120s rc=0
[2/60] production-scip real_09 rl-gcnn-prim-l05 seed=0 tl=120s rc=0
[3/60] production-scip real_09 rl-gcnn seed=0 tl=120s rc=0
[4/60] production-scip real_09 rl-gcnn-prim-l025 seed=0 tl=120s rc=0
[5/60] production-scip real_09 rl-gcnn-prim-l05 seed=1 tl=120s rc=0
[6/60] production-scip real_09 rl-gcnn seed=1 tl=120s rc=0
[7/60] production-scip real_09 rl-gcnn-prim-l10 seed=0 tl=120s rc=0
[8/60] production-scip real_09 default seed=0 tl=120s rc=0
[9/60] production-scip real_09 rl-gcnn-prim-l025 seed=1 tl=120s rc=0
[10/60] production-scip real_09 rl-gcnn-prim-l10 seed=1 tl=120s rc=0
[11/60] production-scip real_09 rl-gcnn-prim-gated seed=0 tl=120s rc=0
[12/60] production-scip real_09 rl-gcnn-prim-gated seed=1 tl=120s rc=0
[13/60] production-scip real_08 default seed=0 tl=300s rc=0
[14/60] production-scip real_08 default seed=1 tl=300s rc=0
[15/60] production-scip real_08 rl-gcnn seed=0 tl=300s rc=0
[16/60] production-scip real_08 rl-gcnn seed=1 tl=300s rc=0
[17/60] production-scip real_08 rl-gcnn-prim-l025 seed=0 tl=300s rc=0
[18/60] production-scip real_08 rl-gcnn-prim-l05 seed=0 tl=300s rc=0
[19/60] production-scip real_08 rl-gcnn-prim-l025 seed=1 tl=300s rc=0
[20/60] production-scip real_08 rl-gcnn-prim-l05 seed=1 tl=300s rc=0
[21/60] production-scip real_08 rl-gcnn-prim-l10 seed=1 tl=300s rc=0
[22/60] production-scip real_08 rl-gcnn-prim-gated seed=1 tl=300s rc=0
[23/60] production-scip real_03 default seed=0 tl=300s rc=0
[24/60] production-scip real_03 default seed=1 tl=300s rc=0
[25/60] production-scip real_03 rl-gcnn seed=0 tl=300s rc=0
[26/60] production-scip real_08 rl-gcnn-prim-l10 seed=0 tl=300s rc=0
[27/60] production-scip real_03 rl-gcnn seed=1 tl=300s rc=0
[28/60] production-scip real_08 rl-gcnn-prim-gated seed=0 tl=300s rc=0
[29/60] production-scip real_03 rl-gcnn-prim-l025 seed=0 tl=300s rc=0
[30/60] production-scip real_03 rl-gcnn-prim-l025 seed=1 tl=300s rc=0
[31/60] production-scip real_03 rl-gcnn-prim-l05 seed=0 tl=300s rc=0
[32/60] production-scip real_03 rl-gcnn-prim-l10 seed=0 tl=300s rc=0
[33/60] production-scip real_03 rl-gcnn-prim-l05 seed=1 tl=300s rc=0
[34/60] production-scip real_03 rl-gcnn-prim-gated seed=0 tl=300s rc=0
[35/60] production-scip real_03 rl-gcnn-prim-l10 seed=1 tl=300s rc=0
[36/60] production-scip real_03 rl-gcnn-prim-gated seed=1 tl=300s rc=0
[37/60] production-scip real_01 default seed=1 tl=600s rc=0
[38/60] production-scip real_01 default seed=0 tl=600s rc=0
[39/60] production-scip real_01 rl-gcnn seed=1 tl=600s rc=0
[40/60] production-scip real_01 rl-gcnn-prim-l025 seed=1 tl=600s rc=0
[41/60] production-scip real_01 rl-gcnn-prim-l05 seed=0 tl=600s rc=0
[42/60] production-scip real_01 rl-gcnn seed=0 tl=600s rc=0
[43/60] production-scip real_01 rl-gcnn-prim-l05 seed=1 tl=600s rc=0
[44/60] production-scip real_01 rl-gcnn-prim-l10 seed=0 tl=600s rc=0
[45/60] production-scip real_01 rl-gcnn-prim-l10 seed=1 tl=600s rc=0
[46/60] production-scip real_01 rl-gcnn-prim-gated seed=1 tl=600s rc=0
[47/60] production-scip real_05 default seed=1 tl=600s rc=0
[48/60] production-scip real_05 default seed=0 tl=600s rc=0
[49/60] production-scip real_05 rl-gcnn seed=0 tl=600s rc=0
[50/60] production-scip real_01 rl-gcnn-prim-l025 seed=0 tl=600s rc=0
[51/60] production-scip real_01 rl-gcnn-prim-gated seed=0 tl=600s rc=0
[52/60] production-scip real_05 rl-gcnn-prim-l025 seed=0 tl=600s rc=0
[53/60] production-scip real_05 rl-gcnn seed=1 tl=600s rc=0
[54/60] production-scip real_05 rl-gcnn-prim-l025 seed=1 tl=600s rc=0
[55/60] production-scip real_05 rl-gcnn-prim-l05 seed=1 tl=600s rc=0
[56/60] production-scip real_05 rl-gcnn-prim-l10 seed=1 tl=600s rc=0
[57/60] production-scip real_05 rl-gcnn-prim-gated seed=1 tl=600s rc=0
[58/60] production-scip real_05 rl-gcnn-prim-l05 seed=0 tl=600s rc=0
[59/60] production-scip real_05 rl-gcnn-prim-gated seed=0 tl=600s rc=0
[60/60] production-scip real_05 rl-gcnn-prim-l10 seed=0 tl=600s rc=0
completed=60 failures=0
