event_index,node_id,depth,candidate_count,selected_candidate_index,selected_variable_index,selected_variable_name,lp_value,fractionality,selected_q,inference_time_seconds,selection_time_seconds,selected_is_candidate,result,fallback_reason
0,1,0,733,569,1235,t_z_134_133_3,0.5,0.5,-25.37098503112793,0.70942134400000001,0.74288965500000004,true,branched,
1,2,1,733,249,533,t_z_133_132_0,0.44362896189874146,0.44362896189874146,-25.388315200805664,0.68547368500000005,0.71720462500000004,true,branched,
2,5,2,732,566,1229,t_z_134_133_0,0.44362896189874146,0.44362896189874146,-25.336053848266602,0.68743101399999995,0.71898584700000001,true,branched,
3,7,3,729,383,865,t_z_501_500_2,0.19458048617179147,0.19458048617179147,-25.3658447265625,0.67491436599999999,0.70723980600000003,true,branched,
4,9,4,726,593,1287,t_z_526_525_1,0.999,0.999,-24.981649398803711,0.68205209899999997,0.71365218500000005,true,branched,
5,11,5,725,588,1279,t_z_525_524_1,0.998,0.998,-24.920742034912109,0.67450380899999995,0.70559496899999996,true,branched,
6,13,6,724,526,1161,t_z_504_127_2,0.999,0.999,-24.993923187255859,0.67824157100000004,0.70983700000000005,true,branched,
7,14,7,716,649,1431,t_z_525_137_1,0.999,0.999,-25.040519714355469,0.67483797099999998,0.70655880100000001,true,branched,
8,17,8,715,248,559,t_z_137_136_1,0.99866666666666659,0.99866666666666659,-25.002662658691406,0.66660263099999995,0.69863518999999996,true,branched,
9,19,9,713,261,591,t_z_152_133_1,0.99945238095238098,0.99945238095238098,-25.086454391479492,0.66603816999999998,0.69723984299999997,true,branched,
10,21,10,731,383,857,t_z_500_499_2,0.28766066072435037,0.28766066072435037,-25.568792343139648,0.67922657799999997,0.71027077400000005,true,branched,
11,22,11,735,545,1182,t_z_507_512_1,0.999,0.999,-25.249015808105469,0.68205538499999996,0.71343323300000006,true,branched,
12,10,5,731,570,1234,t_z_133_134_3,0.5,0.5,-26.241342544555664,0.668687637,0.70058706000000004,true,branched,
13,27,6,730,383,857,t_z_500_499_2,0.21492735745888192,0.21492735745888192,-26.242975234985352,0.67570062099999995,0.70814233400000004,true,branched,
14,8,4,729,567,1234,t_z_133_134_3,0.5,0.5,-26.603006362915039,0.66472721800000001,0.69654336100000003,true,branched,
15,31,5,728,388,872,t_z_501_502_2,0.19458048617179102,0.19458048617179102,-26.644569396972656,0.66677222899999999,0.69866184099999995,true,branched,
16,6,3,732,568,1234,t_z_133_134_3,0.5,0.5,-26.817089080810547,0.67156364000000002,0.70339369500000004,true,branched,
17,35,4,731,388,872,t_z_501_502_2,0.19453375993736,0.19453375993736,-26.863895416259766,0.67601767999999995,0.70830160399999997,true,branched,
18,16,8,711,557,1234,t_z_133_134_3,0.5,0.5,-27.290616989135742,0.67105362300000004,0.70287763599999997,true,branched,
19,39,9,710,364,857,t_z_500_499_2,0.2913370433688407,0.2913370433688407,-27.293224334716797,0.66761216499999998,0.69936409700000002,true,branched,
20,41,10,713,367,849,t_z_499_3_2,0.48600552589293361,0.48600552589293361,-27.396064758300781,0.66782976900000002,0.70061321099999996,true,branched,
21,18,9,711,557,1234,t_z_133_134_3,0.5,0.5,-27.835245132446289,0.66661611700000001,0.69843248700000005,true,branched,
22,45,10,725,518,1129,t_z_518_413_2,0.14681379431590147,0.14681379431590147,-27.962158203125,0.67324612500000003,0.706273437,true,branched,
