event_index,node_id,depth,candidate_count,selected_candidate_index,selected_variable_index,selected_variable_name,lp_value,fractionality,selected_q,inference_time_seconds,selection_time_seconds,selected_is_candidate,result,fallback_reason
0,1,0,247,10,17,t_m_4_1,0.18436692744119748,0.18436692744119748,-24.958831787109375,0.82976078200000003,0.85011428,true,branched,
1,2,1,248,11,16,t_m_4_0,0.20569896424019685,0.20569896424019685,-24.980083465576172,0.79893855499999999,0.81911025599999998,true,branched,
2,5,2,221,15,32,t_m_8_0,0.24908341675008261,0.24908341675008261,-25.020652770996094,0.80191591100000004,0.82267118900000002,true,branched,
3,7,3,252,26,50,t_m_12_2,0.14276185709519051,0.14276185709519051,-25.092466354370117,0.80160590899999995,0.82264069299999998,true,branched,
4,9,4,235,38,84,t_m_21_0,0.12391672922922869,0.12391672922922869,-25.129425048828125,0.80344853400000005,0.82408780800000003,true,branched,
5,11,5,217,22,61,t_m_15_1,0.19875384715783795,0.19875384715783795,-25.129886627197266,0.80078555900000004,0.82148017799999995,true,branched,
6,13,6,229,10,26,t_m_6_2,0.24953186807497149,0.24953186807497149,-25.22889518737793,0.80696462300000005,0.82779347599999997,true,branched,
7,15,7,206,22,96,t_m_24_0,0.0010000000000000009,0.0010000000000000009,-25.415874481201172,0.80280832199999996,0.82331691399999996,true,branched,
8,17,8,238,28,83,t_m_20_3,0.0010000000000001119,0.0010000000000001119,-25.452022552490234,0.80299824799999997,0.82415532599999997,true,branched,
9,18,9,211,35,157,t_z_7_5_2,0.99633366700033354,0.99633366700033354,-25.471607208251953,0.80194780899999996,0.822420386,true,branched,
10,21,10,225,61,346,t_z_109_110_1,0.99383333333333246,0.99383333333333246,-25.505571365356445,0.80809551599999996,0.82837533399999996,true,branched,
11,23,11,224,215,1995,t_z_132_22_1,0.996,0.996,-25.553802490234375,0.80443197300000002,0.82954621399999995,true,branched,
12,25,12,217,77,675,t_z_146_145_1,0.999,0.999,-25.609264373779297,0.80130467599999999,0.82285364299999997,true,branched,
13,27,13,216,65,471,t_z_125_124_3,0.999,0.999,-25.598320007324219,0.79817950199999999,0.81883398600000001,true,branched,
14,29,14,215,63,463,t_z_124_123_3,0.999,0.999,-25.607967376708984,0.80456074,0.82546763000000001,true,branched,
15,31,15,213,212,2123,t_z_241_147_1,0.999,0.999,-25.641689300537109,0.80660667100000005,0.828767649,true,branched,
16,33,16,212,37,148,t_z_5_6_2,0.002666666666666706,0.002666666666666706,-25.623775482177734,0.79892270200000004,0.81908478200000001,true,branched,
17,35,17,229,23,71,t_m_17_3,0.14435714285714274,0.14435714285714274,-25.518657684326172,0.80265946600000004,0.82389139600000005,true,branched,
