event_index,node_id,depth,candidate_count,selected_candidate_index,selected_variable_index,selected_variable_name,lp_value,fractionality,selected_q,inference_time_seconds,selection_time_seconds,selected_is_candidate,result,fallback_reason
0,1,0,51,12,22,t_m_5_2,0.0019999999999996505,0.0019999999999996505,-39.735088348388672,0.17852934300000001,0.183507842,true,branched,
1,2,1,48,8,13,t_m_3_1,0.0020000000000000018,0.0020000000000000018,-39.843055725097656,0.141898102,0.150546233,true,branched,
2,4,2,45,6,9,t_m_2_1,0.00050000000000016698,0.00050000000000016698,-39.929275512695312,0.12006143900000001,0.128677188,true,branched,
3,6,3,44,3,5,t_m_1_1,0.0015000000000000568,0.0015000000000000568,-40.06298828125,0.120278514,0.129055578,true,branched,
4,8,4,40,3,6,t_m_1_2,0.5,0.5,-40.253311157226562,0.11129866099999999,0.119772884,true,branched,
5,10,5,46,2,3,t_m_0_3,0.25074999999999997,0.25074999999999997,-40.063671112060547,0.11153359,0.12010439000000001,true,branched,
6,11,5,42,3,10,t_m_2_2,0.0015000000000000568,0.0015000000000000568,-40.299640655517578,0.13540070000000001,0.14395068699999999,true,branched,
7,14,6,47,5,14,t_m_3_2,0.00075000000000002842,0.00075000000000002842,-40.390388488769531,0.11059759800000001,0.119016156,true,branched,
8,16,7,48,5,15,t_m_3_3,0.00075000000000002842,0.00075000000000002842,-40.503105163574219,0.133428566,0.14201237999999999,true,branched,
9,18,8,43,14,69,t_z_32_3_0,0.0015000000000000568,0.0015000000000000568,-41.063919067382812,0.133504389,0.14207145299999999,true,branched,
10,21,9,40,4,17,t_m_4_1,0.0015000000000000568,0.0015000000000000568,-40.706130981445312,0.11066820600000001,0.119361891,true,branched,
11,22,10,38,0,1,t_m_0_1,0.0015000000000000568,0.0015000000000000568,-40.869117736816406,0.148665721,0.15692533,true,branched,
12,25,11,37,2,21,t_m_5_1,0.0024999999999999467,0.0024999999999999467,-40.952003479003906,0.105733547,0.114146915,true,branched,
13,26,12,39,1,19,t_m_4_3,0.0020000000000001128,0.0020000000000001128,-41.072513580322266,0.13359668399999999,0.14209787700000001,true,branched,
14,29,13,31,0,24,t_m_6_0,0.0020000000000001128,0.0020000000000001128,-41.4200439453125,0.141886922,0.150348131,true,branched,
15,31,14,17,3,959,t_z_192_191_1,0.999,0.999,-41.385761260986328,0.109470623,0.118180018,true,branched,
16,33,15,16,13,1853,t_z_29_18_0,0.999,0.999,-41.493637084960938,0.140179728,0.14865598499999999,true,branched,
17,35,16,14,2,919,t_z_188_10_1,0.999,0.999,-41.645957946777344,0.12933794400000001,0.13767205699999999,true,branched,
18,37,17,13,2,1015,t_z_198_192_1,0.995,0.995,-41.72967529296875,0.14378031799999999,0.15245252400000001,true,branched,
19,39,18,17,4,1031,t_z_200_199_1,0.999,0.999,-41.565380096435547,0.143746243,0.15229772499999999,true,branched,
20,41,19,16,10,1112,t_z_15_18_2,0.999,0.999,-42.023159027099609,0.13994189100000001,0.148423307,true,branched,
21,43,20,11,7,1049,t_z_33_3_2,0.999,0.999,-42.167766571044922,0.14392548399999999,0.15220760699999999,true,branched,
22,45,21,7,2,1038,t_z_3_200_1,0.999,0.999,-42.2646484375,0.115351761,0.12377085,true,branched,
23,47,22,6,3,1072,t_z_14_15_2,0.999,0.999,-42.362403869628906,0.13989253500000001,0.14836188,true,branched,
24,49,23,3,2,1039,t_z_200_3_1,0.0010000000000000009,0.0010000000000000009,-42.548519134521484,0.127727481,0.13609502000000001,true,branched,
25,50,24,2,0,38,t_z_1_3_1,0.999,0.999,-42.714851379394531,0.097878262999999993,0.106154148,true,branched,
