protocol,split,size,method,runs,solved,solved_rate,shifted_gmean_wall_time,shifted_gmean_nodes,median_wall_time,median_nodes,mean_final_gap,finite_gap_runs,par2,average_rank,rl_inference_total,rl_inference_fraction,fallback_count,paired_speedup,paired_speedup_ci_low,paired_speedup_ci_high,wins,ties,losses
production-scip,test,small,default,2,2,1.0,0.9424107917744842,3.4721359549995796,1.0281586065,5.0,0.0,2,1.0281586065,1.0,0.0,0.0,0,1.0,1.0,1.0,0,10,0
production-scip,test,small,rl-gcnn,2,2,1.0,1.2583923727054849,3.2426406871192848,1.393318825,4.5,0.0,2,1.393318825,3.0,1.016355469,0.43767431151770353,0,0.6754410006281045,0.5172331081231878,0.8813959055637681,1,0,9
production-scip,test,small,rl-gcnn-prim-gated,2,2,1.0,2.148176438828989,6.615773105863908,2.7795302234999997,14.5,0.0,2,2.7795302234999997,5.0,3.368314253,0.6599328163688821,0,0.6196210025442934,0.44288332146494513,0.8391621214719442,1,0,9
production-scip,test,small,rl-gcnn-prim-l025,2,2,1.0,1.2778276376020008,3.0,1.3882614229999999,4.0,0.0,2,1.3882614229999999,3.0,0.836967581,0.36871549480055776,0,0.6700556478066347,0.5122045780902539,0.8509324218303828,1,0,9
production-scip,test,small,rl-gcnn-prim-l05,2,2,1.0,2.4034483012129755,7.4852813742385695,3.3354918295,18.0,0.0,2,3.3354918295,4.5,4.419233956,0.7105141615387967,0,0.7105116788065464,0.46952404394533304,1.0595416796561363,2,0,8
production-scip,test,small,rl-gcnn-prim-l10,2,2,1.0,1.324352192160255,2.741657386773941,1.4404399035,3.5,0.0,2,1.4404399035,4.5,0.936245516,0.395206055197834,0,0.6990609596915492,0.41318102068417095,1.0722373267559349,2,0,8
production-scip,transfer,medium,default,6,6,1.0,28.636495267648076,14.034907392182207,26.812925434,15.5,0.0,6,31.405331826833333,2.1666666666666665,0.0,0.0,0,1.0,1.0,1.0,0,10,0
production-scip,transfer,medium,rl-gcnn,6,6,1.0,41.33964115216165,17.596596856286066,43.355484438,39.5,0.0,6,51.83556218983333,5.0,182.29017932300002,0.5923731065051449,0,0.6754410006281045,0.5172331081231878,0.8813959055637681,1,0,9
production-scip,transfer,medium,rl-gcnn-prim-gated,6,6,1.0,39.3985380847172,14.661169265234335,29.419464130500003,14.5,0.0,6,53.23974505483333,3.5,200.57934650599998,0.6341677991521498,0,0.6196210025442934,0.44288332146494513,0.8391621214719442,1,0,9
production-scip,transfer,medium,rl-gcnn-prim-l025,6,6,1.0,41.75319283186716,15.744394176718561,36.750519242,22.5,0.0,6,58.80599756516667,4.5,209.929630352,0.6004047058941698,0,0.6700556478066347,0.5122045780902539,0.8509324218303828,1,0,9
