event_index,node_id,depth,candidate_count,selected_candidate_index,selected_variable_index,selected_variable_name,lp_value,fractionality,selected_q,inference_time_seconds,selection_time_seconds,selected_is_candidate,result,fallback_reason
0,1,0,180,34,61,t_m_15_1,0.13006684755322123,0.13006684755322123,-24.733198165893555,0.51169732999999995,0.52438153399999998,true,branched,
1,2,1,183,37,63,t_m_15_3,0.14324015115832678,0.14324015115832678,-24.671018600463867,0.45540901700000003,0.46830157100000003,true,branched,
2,4,2,169,43,81,t_m_20_1,0.15266802194702189,0.15266802194702189,-24.674945831298828,0.448158891,0.46111508299999998,true,branched,
3,6,3,168,41,79,t_m_19_3,0.19999834313120146,0.19999834313120146,-24.686321258544922,0.47462159700000001,0.48749508600000002,true,branched,
4,8,4,168,44,83,t_m_20_3,0.13008521286199537,0.13008521286199537,-24.738307952880859,0.46846809700000003,0.48132539299999999,true,branched,
5,10,5,167,39,70,t_m_17_2,0.16616666666666657,0.16616666666666657,-24.776313781738281,0.46155628999999998,0.47462063700000001,true,branched,
6,12,6,190,43,71,t_m_17_3,0.13187183504419608,0.13187183504419608,-24.824235916137695,0.45265000300000002,0.465506276,true,branched,
7,14,7,193,45,76,t_m_19_0,0.20029999999999995,0.20029999999999995,-24.816184997558594,0.37082539799999997,0.38366906899999997,true,branched,
8,16,8,188,35,57,t_m_14_1,0.16674999999999984,0.16674999999999984,-24.842771530151367,0.45224062100000001,0.46515063800000001,true,branched,
9,18,9,164,39,69,t_m_17_1,0.2037867868270683,0.2037867868270683,-24.911735534667969,0.42895640400000001,0.44203070300000002,true,branched,
10,21,10,175,29,43,t_m_10_3,0.17555750064394363,0.17555750064394363,-25.105075836181641,0.37259994499999999,0.38550725600000002,true,branched,
11,23,11,166,5,9,t_m_2_1,0.15545989304812816,0.15545989304812816,-25.122312545776367,0.483556074,0.496675757,true,branched,
12,25,12,168,10,21,t_m_5_1,0.1853157894736841,0.1853157894736841,-25.178447723388672,0.46873225200000002,0.48156548300000002,true,branched,
13,27,13,153,11,28,t_m_7_0,0.1671851851851851,0.1671851851851851,-25.187952041625977,0.43831873599999999,0.45128228300000001,true,branched,
14,29,14,134,1,2,t_m_0_2,0.056333333333333346,0.056333333333333346,-25.376459121704102,0.47540734099999998,0.48840139399999999,true,branched,
15,31,15,110,14,53,t_m_13_1,0.1012999999999995,0.1012999999999995,-25.327095031738281,0.47637431800000002,0.48926282799999998,true,branched,
16,33,16,113,24,84,t_m_21_0,0.23610526315789482,0.23610526315789482,-25.324089050292969,0.50808769899999995,0.52109090499999999,true,branched,
17,35,17,118,35,142,t_z_16_20_3,0.60020000000000007,0.60020000000000007,-25.469165802001953,0.45086330699999999,0.46378795699999997,true,branched,
18,37,18,117,22,80,t_m_20_0,0.39979999999999999,0.39979999999999999,-25.518337249755859,0.35457517199999999,0.367678532,true,branched,
19,39,19,119,14,46,t_m_11_2,0.055555555555555636,0.055555555555555636,-25.511518478393555,0.48611380599999998,0.49927969300000002,true,branched,
20,41,20,114,16,64,t_m_16_0,0.33366666666666667,0.33366666666666667,-25.504005432128906,0.45519162800000001,0.46816573,true,branched,
21,43,21,114,15,51,t_m_12_3,0.0020000000000001128,0.0020000000000001128,-25.614593505859375,0.45657235600000001,0.46976798400000003,true,branched,
22,44,22,104,11,50,t_m_12_2,0.0010000000000000009,0.0010000000000000009,-25.636796951293945,0.45667395500000002,0.469795289,true,branched,
23,46,23,101,21,121,t_z_18_15_0,0.999,0.999,-25.597387313842773,0.48326887499999999,0.49647596799999999,true,branched,
24,49,24,99,11,49,t_m_12_1,0.0010000000000000009,0.0010000000000000009,-25.647842407226562,0.44242637299999998,0.45551204699999998,true,branched,
25,51,25,94,0,4,t_m_1_0,0.0010000000000000009,0.0010000000000000009,-25.683244705200195,0.33723870299999997,0.35034254399999998,true,branched,
26,53,26,89,2,38,t_m_9_2,0.25,0.25,-25.556856155395508,0.46667098299999998,0.47983614499999999,true,branched,
27,55,27,95,4,60,t_m_15_0,0.0010000000000001119,0.0010000000000001119,-25.697788238525391,0.402192724,0.41538689000000001,true,branched,
28,57,28,92,86,2052,t_z_112_321_2,0.99849999999999994,0.99849999999999994,-25.718299865722656,0.50505387400000001,0.51848488400000003,true,branched,
29,58,29,90,19,269,t_z_52_15_2,0.99899999999999989,0.99899999999999989,-25.786907196044922,0.42295807299999999,0.436125343,true,branched,
30,61,30,85,22,407,t_z_88_6_3,0.998,0.998,-25.840850830078125,0.48414259799999998,0.49703993699999999,true,branched,
31,63,31,83,49,1217,t_z_65_64_0,0.998,0.998,-25.855375289916992,0.47135165899999998,0.48436552799999999,true,branched,
32,64,32,82,3,25,t_m_6_1,0.5,0.5,-25.874177932739258,0.41254718400000001,0.42575414900000003,true,branched,
33,66,33,80,3,105,t_z_6_5_0,0.999,0.999,-25.881587982177734,0.52022690000000005,0.53335051499999997,true,branched,
34,69,34,68,63,2037,t_z_321_238_2,0.998,0.998,-25.899133682250977,0.47525283299999999,0.488395001,true,branched,
35,71,35,62,57,2036,t_z_238_321_2,0.998,0.998,-25.781787872314453,0.37884942999999999,0.392000556,true,branched,
36,72,36,61,3,140,t_z_16_20_2,0.5,0.5,-25.908138275146484,0.49490058300000001,0.51338240899999998,true,branched,
37,74,37,60,22,639,t_z_112_7_3,0.999,0.999,-25.869626998901367,0.46689911299999998,0.48009057300000002,true,branched,
38,77,38,57,0,74,t_m_18_2,0.5,0.5,-25.895545959472656,0.35522212199999997,0.36825255000000001,true,branched,
39,78,39,58,20,636,t_z_7_112_2,0.999,0.999,-25.791116714477539,0.33441416899999998,0.34746553299999999,true,branched,
40,81,40,77,8,106,t_z_5_6_1,0.33299999999999996,0.33299999999999996,-25.640325546264648,0.35307224300000001,0.36582752699999999,true,branched,
41,83,41,78,10,127,t_z_18_15_3,0.999,0.999,-25.800561904907227,0.376699795,0.38972279900000001,true,branched,
42,85,42,72,2,58,t_m_14_2,0.0020000000000001128,0.0020000000000001128,-25.874813079833984,0.40172161099999998,0.41483103399999999,true,branched,
43,87,43,67,28,604,t_z_88_109_2,0.999,0.999,-25.960332870483398,0.47490996000000002,0.48797770299999998,true,branched,
44,89,44,66,58,2034,t_z_238_321_1,0.999,0.999,-25.974525451660156,0.48430621000000001,0.49715573400000002,true,branched,
45,91,45,65,27,603,t_z_109_88_1,0.999,0.999,-26.057683944702148,0.481988588,0.49493385699999998,true,branched,
46,93,46,64,60,2055,t_z_321_112_3,0.999,0.999,-26.140050888061523,0.46487252299999998,0.47769637399999998,true,branched,
47,95,47,62,27,646,t_z_112_113_3,0.998,0.998,-26.088489532470703,0.44400652899999998,0.45706818999999999,true,branched,
48,97,48,60,6,179,t_z_32_11_1,0.999,0.999,-26.198898315429688,0.35388163299999997,0.36671346900000001,true,branched,
49,99,49,59,10,299,t_z_56_44_1,0.00099999999999997205,0.00099999999999997205,-26.247398376464844,0.45795933799999999,0.47081341500000001,true,branched,
50,101,50,58,57,2059,t_z_219_7_1,0.999,0.999,-26.265380859375,0.48033795699999998,0.49334657100000001,true,branched,
51,103,51,54,1,109,t_z_6_5_2,0.999,0.999,-26.304849624633789,0.47059036500000001,0.48340994300000001,true,branched,
52,105,52,49,5,401,t_z_88_6_0,0.999,0.999,-26.320783615112305,0.46143526699999998,0.47461539899999999,true,branched,
53,107,53,44,0,108,t_z_5_6_2,0.00099999999999988987,0.00099999999999988987,-26.342788696289062,0.33313882500000003,0.34610422000000002,true,branched,
54,108,54,44,12,601,t_z_109_88_0,0.999,0.999,-26.316774368286133,0.39230348399999998,0.40534094599999998,true,branched,
55,111,55,41,37,2033,t_z_321_238_0,0.999,0.999,-26.334379196166992,0.33478122900000001,0.34783709800000001,true,branched,
56,113,56,39,5,413,t_z_89_6_2,0.99900000000000011,0.99900000000000011,-26.335868835449219,0.44580802000000003,0.45877475600000001,true,branched,
57,115,57,37,34,2038,t_z_238_321_3,0.999,0.999,-26.356328964233398,0.445545833,0.45861939899999998,true,branched,
58,117,58,36,20,1382,t_z_237_238_3,0.0010000000000000009,0.0010000000000000009,-25.396446228027344,0.430678008,0.44354250699999997,true,branched,
59,119,59,29,20,1383,t_z_238_237_3,0.998,0.998,-26.120819091796875,0.33362031399999997,0.34674178,true,branched,
60,120,60,28,21,1387,t_z_239_238_1,0.99899999999999989,0.99899999999999989,-26.346153259277344,0.43014364999999999,0.44277696500000002,true,branched,
61,123,61,13,12,1403,t_z_241_240_1,0.999,0.999,-26.374090194702148,0.37295734800000002,0.38600907699999998,true,branched,
62,125,62,8,3,412,t_z_6_89_2,0.0010000000000000009,0.0010000000000000009,-26.548583984375,0.48941035100000002,0.50277359499999996,true,branched,
63,126,63,7,6,429,t_z_91_90_2,0.999,0.999,-26.519706726074219,0.488452051,0.50167839599999997,true,branched,
