event_index,node_id,depth,candidate_count,selected_candidate_index,selected_variable_index,selected_variable_name,lp_value,fractionality,selected_q,inference_time_seconds,selection_time_seconds,selected_is_candidate,result,fallback_reason
0,1,0,51,8,13,t_m_3_1,0.0019999999999997802,0.0019999999999997802,-39.765674591064453,0.151164139,0.15963139400000001,true,branched,
1,2,1,48,4,6,t_m_1_2,0.49949999999999994,0.49949999999999994,-39.934711456298828,0.121156163,0.12962762799999999,true,branched,
2,4,2,46,5,9,t_m_2_1,0.0015000000000000846,0.0015000000000000846,-39.904476165771484,0.113026159,0.12134676799999999,true,branched,
3,5,2,40,3,9,t_m_2_1,0.0015000000000000568,0.0015000000000000568,-39.968379974365234,0.111230326,0.119587867,true,branched,
4,8,3,46,6,14,t_m_3_2,0.00075000000000002842,0.00075000000000002842,-40.044315338134766,0.115361373,0.123759536,true,branched,
5,10,4,47,6,15,t_m_3_3,0.00075000000000002842,0.00075000000000002842,-40.160198211669922,0.111270429,0.11964589,true,branched,
6,12,5,42,4,11,t_m_2_3,0.0015000000000000568,0.0015000000000000568,-40.258953094482422,0.114031418,0.122379317,true,branched,
7,14,6,41,13,69,t_z_32_3_0,0.0015000000000000568,0.0015000000000000568,-40.858051300048828,0.116542756,0.124964649,true,branched,
8,16,7,41,13,68,t_z_3_32_0,0.0015000000000000568,0.0015000000000000568,-40.794612884521484,0.116439424,0.124990878,true,branched,
9,18,8,39,12,75,t_z_32_3_3,0.0015000000000000568,0.0015000000000000568,-40.979427337646484,0.11645697100000001,0.124795771,true,branched,
10,21,9,38,3,17,t_m_4_1,0.00075000000000002842,0.00075000000000002842,-40.672008514404297,0.116342718,0.124739897,true,branched,
11,20,9,39,12,74,t_z_3_32_3,0.0015000000000000568,0.0015000000000000568,-41.148777008056641,0.11366132700000001,0.122766717,true,branched,
12,24,10,42,26,1043,t_z_200_3_3,0.5,0.5,-41.324954986572266,0.119522749,0.127665209,true,branched,
13,27,11,39,12,73,t_z_32_3_2,0.0015000000000000568,0.0015000000000000568,-41.424007415771484,0.119716793,0.12816107299999999,true,branched,
14,28,12,39,12,72,t_z_3_32_2,0.0015000000000000568,0.0015000000000000568,-41.360420227050781,0.115780754,0.124253117,true,branched,
15,31,13,38,2,17,t_m_4_1,0.00075000000000002842,0.00075000000000002842,-41.218788146972656,0.115845118,0.12417304699999999,true,branched,
16,33,14,33,0,21,t_m_5_1,0.0025000000000000577,0.0025000000000000577,-41.292625427246094,0.112760506,0.121061317,true,branched,
17,34,15,41,0,1,t_m_0_1,0.0015000000000000568,0.0015000000000000568,-41.385501861572266,0.112757579,0.121141003,true,branched,
18,36,16,39,3,26,t_m_6_2,0.0013333333333334085,0.0013333333333334085,-41.501605987548828,0.112813442,0.121105615,true,branched,
19,38,17,34,0,20,t_m_5_0,0.0010000000000000009,0.0010000000000000009,-41.813465118408203,0.112487852,0.120860853,true,branched,
20,40,18,31,28,1853,t_z_29_18_0,0.999,0.999,-41.733711242675781,0.11258385999999999,0.120958017,true,branched,
21,43,19,29,16,1041,t_z_200_3_2,0.999,0.999,-41.808494567871094,0.112870185,0.121180738,true,branched,
22,45,20,26,5,70,t_z_3_32_1,0.999,0.999,-41.950771331787109,0.112582456,0.120933163,true,branched,
23,47,21,24,2,57,t_z_25_24_2,0.0010000000000000009,0.0010000000000000009,-42.884979248046875,0.113855633,0.122309642,true,branched,
24,49,22,21,8,1031,t_z_200_199_1,0.999,0.999,-42.218223571777344,0.111722416,0.12006425599999999,true,branched,
25,51,23,16,2,919,t_z_188_10_1,0.999,0.999,-42.287906646728516,0.112871709,0.121177758,true,branched,
26,53,24,15,6,1045,t_z_33_3_0,0.999,0.999,-42.402667999267578,0.11162036,0.11994753700000001,true,branched,
27,54,25,13,7,1112,t_z_15_18_2,0.999,0.999,-42.635704040527344,0.115467347,0.12386791799999999,true,branched,
28,57,26,8,3,1038,t_z_3_200_1,0.999,0.999,-42.761444091796875,0.112748142,0.120986339,true,branched,
29,59,27,6,3,1072,t_z_14_15_2,0.999,0.999,-42.891548156738281,0.112706142,0.120983912,true,branched,
30,61,28,3,2,71,t_z_32_3_1,0.0010000000000000009,0.0010000000000000009,-43.065719604492188,0.114761248,0.12301624,true,branched,
31,62,29,3,2,1039,t_z_200_3_1,0.0010000000000000009,0.0010000000000000009,-43.172004699707031,0.110063463,0.11843614600000001,true,branched,
32,64,30,2,0,38,t_z_1_3_1,0.999,0.999,-43.252590179443359,0.10989453,0.11812634599999999,true,branched,
