instance_id,split,size,protocol,method,solver_method,seed,status,objective,primal_bound,dual_bound,gap,wall_time,presolve_time,solve_time,solve_time_after_presolve,nodes,lp_iterations,primal_dual_integral,first_solution_time,branch_decisions,rl_inference_total,rl_inference_mean,rl_inference_max,fallback_count,illegal_actions,legality_checks,n_vars,n_int_vars,n_constraints,active_branching_rule,node_selection_rule,threads,time_limit,node_limit,has_solution,solution_feasible,return_code,json_path,log_path,branch_log_path
real_09,test,small,production-scip,default,default,0,optimal,0.0022776,0.0022776,0.0022776,0,1.627374619,0.185378,1.562415,1.377037,9,3596,73.524825203901,0.326893,0,0,0,0,0,0,0,10746,2668,22075,relpscost,estimate,1,120,-1,True,True,0,results/phaseA_prim_decode/raw/production-scip/real_09/production-scip__real_09__default__seed0.json,results/phaseA_prim_decode/raw/production-scip/real_09/production-scip__real_09__default__seed0.log,
real_09,test,small,production-scip,default,default,1,optimal,0.0022776,0.0022776,0.0022776,0,0.443749628,0.210745,0.370742,0.159997,1,1907,36.314631689436,0.334419,0,0,0,0,0,0,0,10746,2668,22075,relpscost,estimate,1,120,-1,True,True,0,results/phaseA_prim_decode/raw/production-scip/real_09/production-scip__real_09__default__seed1.json,results/phaseA_prim_decode/raw/production-scip/real_09/production-scip__real_09__default__seed1.log,
real_09,test,small,production-scip,rl-gcnn,rl-gcnn,0,optimal,0.0022776,0.0022776,0.0022776,0,2.300698746,0.172883,2.083917,1.911034,8,3625,89.1836631550306,0.316511,8,1.142309721,0.142788715125,0.19115465,0,0,8,10746,2668,22075,rlgcnn,estimate,1,120,-1,True,True,0,results/phaseA_prim_decode/raw/production-scip/real_09/production-scip__real_09__rl-gcnn__seed0.json,results/phaseA_prim_decode/raw/production-scip/real_09/production-scip__real_09__rl-gcnn__seed0.log,results/phaseA_prim_decode/raw/production-scip/real_09/production-scip__real_09__rl-gcnn__seed0.branches.csv
real_09,test,small,production-scip,rl-gcnn,rl-gcnn,1,optimal,0.0022776,0.0022776,0.0022776,0,0.576079411,0.217821,0.38077,0.162949,1,1907,37.3079945021595,0.344738,0,0,0,0,0,0,0,10746,2668,22075,rlgcnn,estimate,1,120,-1,True,True,0,results/phaseA_prim_decode/raw/production-scip/real_09/production-scip__real_09__rl-gcnn__seed1.json,results/phaseA_prim_decode/raw/production-scip/real_09/production-scip__real_09__rl-gcnn__seed1.log,results/phaseA_prim_decode/raw/production-scip/real_09/production-scip__real_09__rl-gcnn__seed1.branches.csv
real_09,test,small,production-scip,rl-gcnn-prim,rl-gcnn,0,optimal,0.0022776,0.0022776,0.0022776,0,5.451722761,0.230553,5.185149,4.954596,35,3641,192.949764697201,0.403266,33,3.802115487,0.115215620818182,0.151164139,0,0,33,10746,2668,22075,rlgcnn,estimate,1,120,-1,True,True,0,results/phaseA_prim_decode/raw/production-scip/real_09/production-scip__real_09__rl-gcnn-prim__seed0.json,results/phaseA_prim_decode/raw/production-scip/real_09/production-scip__real_09__rl-gcnn-prim__seed0.log,results/phaseA_prim_decode/raw/production-scip/real_09/production-scip__real_09__rl-gcnn-prim__seed0.branches.csv
real_09,test,small,production-scip,rl-gcnn-prim,rl-gcnn,1,optimal,0.0022776,0.0022776,0.0022776,0,0.637418446,0.235531,0.414479,0.178948,1,1907,40.4666554342921,0.372205,0,0,0,0,0,0,0,10746,2668,22075,rlgcnn,estimate,1,120,-1,True,True,0,results/phaseA_prim_decode/raw/production-scip/real_09/production-scip__real_09__rl-gcnn-prim__seed1.json,results/phaseA_prim_decode/raw/production-scip/real_09/production-scip__real_09__rl-gcnn-prim__seed1.log,results/phaseA_prim_decode/raw/production-scip/real_09/production-scip__real_09__rl-gcnn-prim__seed1.branches.csv
real_08,validation,medium,production-scip,default,default,0,optimal,0.0096121,0.0096121,0.0096121,0,13.152375788,0.558449,12.971817,12.413368,12,13136,1296.6183,12.961498,0,0,0,0,0,0,0,27094,2880,65069,relpscost,estimate,1,300,-1,True,True,0,results/phaseA_prim_decode/raw/production-scip/real_08/production-scip__real_08__default__seed0.json,results/phaseA_prim_decode/raw/production-scip/real_08/production-scip__real_08__default__seed0.log,
real_08,validation,medium,production-scip,default,default,1,optimal,0.00961209999999999,0.00961209999999999,0.00961209999999999,0,9.301978128,0.769709,9.082541,8.312832,1,9350,904.2356,9.030953,0,0,0,0,0,0,0,27094,2880,65069,relpscost,estimate,1,300,-1,True,True,0,results/phaseA_prim_decode/raw/production-scip/real_08/production-scip__real_08__default__seed1.json,results/phaseA_prim_decode/raw/production-scip/real_08/production-scip__real_08__default__seed1.log,
real_08,validation,medium,production-scip,rl-gcnn,rl-gcnn,0,optimal,0.0096121,0.0096121,0.0096121,0,39.199781099,0.589532,38.827498,38.237966,69,13338,3881.9436,38.814456,64,28.063887565,0.438498243203125,0.5202269,0,0,64,27094,2880,65069,rlgcnn,estimate,1,300,-1,True,True,0,results/phaseA_prim_decode/raw/production-scip/real_08/production-scip__real_08__rl-gcnn__seed0.json,results/phaseA_prim_decode/raw/production-scip/real_08/production-scip__real_08__rl-gcnn__seed0.log,results/phaseA_prim_decode/raw/production-scip/real_08/production-scip__real_08__rl-gcnn__seed0.branches.csv
real_08,validation,medium,production-scip,rl-gcnn,rl-gcnn,1,optimal,0.00961209999999999,0.00961209999999999,0.00961209999999999,0,9.802112882,0.729601,9.326123,8.596522,1,9350,928.2446,9.270657,0,0,0,0,0,0,0,27094,2880,65069,rlgcnn,estimate,1,300,-1,True,True,0,results/phaseA_prim_decode/raw/production-scip/real_08/production-scip__real_08__rl-gcnn__seed1.json,results/phaseA_prim_decode/raw/production-scip/real_08/production-scip__real_08__rl-gcnn__seed1.log,results/phaseA_prim_decode/raw/production-scip/real_08/production-scip__real_08__rl-gcnn__seed1.branches.csv
